ID_0,NAME_0,OCCUPANCY,DATA_YEAR,PUBLISHER,DATA_SOURCES,ADMIN_LEVEL,SOURCE
CAN,Canada,"RES, IND, COM",2016,NRCan,Exposure model,4,https://doi.org/10.4095/330012
MEX,Mexico,RES,2020,Instituto Nacional de Estadística y Geografía - INEGI,Population and Housing Census,3,https://www.inegi.org.mx/programas/ccpv/2020/?ps=microdatos
MEX,Mexico,"IND, COM",2021,Instituto Nacional de Estadística y Geografía - INEGI,DENUE,2,https://www.inegi.org.mx/app/mapa/denue/default.aspx
USA,United_States_of_America,"RES, IND, COM",2010,HAZUS,Exposure model,3,https://www.fema.gov/flood-maps/products-tools/hazus
