ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD,DWELLINGS
CAN,Canada,Com,MR,COM4-RM2L-HC,51.0,56753460.0,102886393.0,63059400.0,0.0,71655.0,222699253.0,1405.0,3107.937380503803,
CAN,Canada,Com,MR,COM4-RM2L-LC,331.0,325183559.0,589514293.0,361315107.0,0.0,465055.0,1276012959.0,1405.0,2743.789356097666,
CAN,Canada,Com,MR,COM4-RM2L-MC,130.0,134349640.0,243557842.0,149277356.0,0.0,182650.0,527184838.0,1405.0,2886.311732822338,
CAN,Canada,Com,MR,COM4-RM2L-PC,1289.0,1243194396.0,2253744930.0,1381327167.0,0.0,1811045.0,4878266493.0,1405.0,2693.6197018848234,
CAN,Canada,Com,MR,COM5-RM1L-HC,17.0,5546556.0,10055160.0,6162840.0,3.0,7106.0,21764556.0,418.0,3062.842105263158,
CAN,Canada,Com,MR,COM5-RM1L-LC,117.0,32049643.0,58101750.0,35610750.0,21.1,48906.0,125762143.0,418.0,2571.507442849548,
CAN,Canada,Com,MR,COM5-RM1L-MC,64.0,19155928.0,34727130.0,21284370.0,11.700000000000001,26752.0,75167428.0,418.0,2809.787230861244,
CAN,Canada,Com,MR,COM5-RM1L-PC,737.0,197448841.0,357948630.0,219387870.0,130.1,308066.0,774785341.0,418.0,2514.9978933085767,
CAN,Canada,Com,MR,COM5-RM2L-LC,4.0,1058830.0,1919520.0,1176480.0,0.8,1672.0,4154830.0,418.0,2484.946172248804,
CAN,Canada,Com,MR,COM5-RM2L-MC,2.0,597132.0,1082520.0,663480.0,0.30000000000000004,836.0,2343132.0,418.0,2802.7894736842104,
CAN,Canada,Com,MR,COM5-RM2L-PC,16.0,4364598.0,7912440.0,4849560.0,3.0,6688.0,17126598.0,418.0,2560.7951555023924,
CAN,Canada,Com,MR,COM7-RM1L-HC,118.0,94865807.0,171979072.0,105406528.0,10.3,74458.0,372251407.0,631.0,4999.481680947649,
CAN,Canada,Com,MR,COM7-RM1L-LC,782.0,558101728.0,1011764112.0,620113488.0,68.3,493442.0,2189979328.0,631.0,4438.169689649442,
CAN,Canada,Com,MR,COM7-RM1L-MC,385.0,299295199.0,542582336.0,332550464.0,34.4,242935.0,1174427999.0,631.0,4834.330166505444,
CAN,Canada,Com,MR,COM7-RM1L-PC,3767.0,2681638453.0,4861452736.0,2979600064.0,310.0,2376977.0,10522691253.0,631.0,4426.921780479996,
CAN,Canada,Com,MR,COM7-RM2L-HC,9.0,7209353.0,13069600.0,8010400.0,0.9,5679.0,28289353.0,631.0,4981.396900862828,
CAN,Canada,Com,MR,COM7-RM2L-LC,148.0,106237978.0,192595312.0,118042288.0,13.9,93388.0,416875578.0,631.0,4463.909474450679,
CAN,Canada,Com,MR,COM7-RM2L-MC,40.0,30218821.0,54782704.0,33576496.0,3.8000000000000003,25240.0,118578021.0,631.0,4698.019849445325,
CAN,Canada,Com,MR,COM7-RM2L-PC,607.0,434207793.0,787160928.0,482453472.0,56.5,383017.0,1703822193.0,631.0,4448.424464188273,
CAN,Canada,Com,MUR,COM1-URML-LC,839.0,361115290.0,654653243.0,401239003.0,148.6,661971.0,1417007536.0,789.0,2140.5885393771027,
CAN,Canada,Com,MUR,COM1-URML-PC,12642.0,4944823593.0,8964297148.0,5494245112.0,2067.7000000000003,9974538.0,19403365853.0,789.0,1945.2896818880233,
CAN,Canada,Com,MUR,COM1-URMM-LC,40.0,17473008.0,31676198.0,19414438.0,7.4,31560.0,68563644.0,789.0,2172.4855513307984,
CAN,Canada,Com,MUR,COM1-URMM-PC,1369.0,546172469.0,990136761.0,606857821.0,247.3,1080141.0,2143167051.0,789.0,1984.1548936666602,
CAN,Canada,Com,MUR,COM2-URML-LC,236.0,160917840.0,291722400.0,178797600.0,0.0,493240.0,631437840.0,2090.0,1280.1837644959858,
CAN,Canada,Com,MUR,COM2-URML-PC,2580.0,1518377265.0,2752614000.0,1687086000.0,0.0,5392200.0,5958077265.0,2090.0,1104.943671414265,
CAN,Canada,Com,MUR,COM2-URMM-LC,129.0,94648500.0,171585000.0,105165000.0,0.0,269610.0,371398500.0,2090.0,1377.5397796817626,
CAN,Canada,Com,MUR,COM2-URMM-PC,842.0,480683540.0,871414650.0,534092850.0,0.0,1759780.0,1886191040.0,2090.0,1071.8334337246702,
CAN,Canada,Com,MUR,COM3-URML-LC,2925.0,442649024.0,802464326.0,491832974.0,237.20000000000002,991575.0,1736946324.0,339.0,1751.7044338552303,
CAN,Canada,Com,MUR,COM3-URML-PC,37611.0,5410269515.0,9808095456.0,6011413344.0,2881.9,12750129.0,21229778315.0,339.0,1665.063805628947,
CAN,Canada,Com,MUR,COM3-URMM-LC,12.0,1637768.0,2969056.0,1819744.0,1.1,4068.0,6426568.0,339.0,1579.7856440511307,
CAN,Canada,Com,MUR,COM3-URMM-PC,750.0,118039234.0,213989280.0,131154720.0,55.7,254250.0,463183234.0,339.0,1821.7629655850542,
