ID_0,NAME_0,OCCUPANCY,MACRO_TAXONOMY,TAXONOMY,TAXONOMY_HAZUS,SETTLEMENT,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD
CAN,Canada,COM,CR-,CR+PC/LDUAL/CDL+ERL/H:1-3/COM:1,PC2L/LC/COM1,TOTAL,173.0,331244166.0,82811039.0,0.0,132233.0,414055194.0,60598.0,0.0,764.0,2505.0,,
CAN,Canada,COM,CR-,CR+PC/LDUAL/CDL+ERL/H:1-3/COM:2,PC2L/LC/COM2,TOTAL,874.0,3377926135.0,844481526.0,0.0,1348474.0,4222407744.0,617957.0,0.0,1543.0,2505.0,,
CAN,Canada,COM,CR-,CR+PC/LDUAL/CDL+ERL/H:1-3/COM:3,PC2L/LC/COM4,TOTAL,316.0,1079828893.0,269957206.0,0.0,431069.0,1349786103.0,197544.0,0.0,1364.0,2505.0,,
CAN,Canada,COM,CR-,CR+PC/LDUAL/CDL+ERL/H:1-3/COM:3A,PC2L/LC/COM5,TOTAL,2.0,2184711.0,546178.0,0.0,872.0,2730889.0,400.0,0.0,436.0,2505.0,,
CAN,Canada,COM,CR-,CR+PC/LDUAL/CDL+ERL/H:1-3/COM:3B,PC2L/LC/COM3,TOTAL,3.0,2576891.0,644223.0,0.0,1029.0,3221114.0,471.0,0.0,343.0,2504.0,,
CAN,Canada,IND,CR-,CR+PC/LDUAL/CDL+ERL/H:1-3/IND:1,PC2L/LC/IND1,TOTAL,21.0,41656377.0,13885463.0,0.0,32342.0,55541834.0,14661.0,0.0,1540.0,1288.0,,
CAN,Canada,IND,CR-,CR+PC/LDUAL/CDL+ERL/H:1-3/IND:2,PC2L/LC/IND2,TOTAL,288.0,420187174.0,140062393.0,0.0,326232.0,560249575.0,147890.0,0.0,1133.0,1288.0,,
CAN,Canada,COM,CR-,CR+PC/LDUAL/CDL+ERL/H:4-7/COM:1,PC2M/LC/COM1,TOTAL,10.0,18937396.0,4734348.0,0.0,7560.0,23671745.0,3476.0,0.0,756.0,2505.0,,
CAN,Canada,COM,CR-,CR+PC/LDUAL/CDL+ERL/H:4-7/COM:2,PC2M/LC/COM2,TOTAL,63.0,325777388.0,81444346.0,0.0,130051.0,407221752.0,59799.0,0.0,2064.0,2505.0,,
CAN,Canada,COM,CR-,CR+PC/LDUAL/CDL+ERL/H:4-7/COM:3,PC2M/LC/COM4,TOTAL,204.0,1713918796.0,428479727.0,0.0,684199.0,2142398535.0,314605.0,0.0,3354.0,2505.0,,
