ID_0,NAME_0,OCCUPANCY,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
CHN,China,COM,35366601.0,6419700732594.0,1604925183038.0,0.0,10665360398.0,8024625915886.0,6153875480.0,0.0,302.0,602.0
CHN,China,IND,19199535.0,3651058363748.0,1278928822815.0,0.0,12480223421.0,4929987186485.0,7060569832.0,0.0,650.0,293.0
CHN,China,RES,189425167.0,24027771346004.0,4553245769948.0,1416096094.0,49994502155.0,28581017111741.0,19583653958.0,529903145.0,264.0,481.0
HKG,Hong Kong,COM,5238.0,153288975632.0,38322243744.0,0.0,63870406.0,191611219343.0,40254296.0,0.0,12194.0,2400.0
HKG,Hong Kong,IND,1056.0,3523759919.0,1183027073.0,0.0,1854610.0,4706786992.0,1132670.0,0.0,1756.0,1900.0
HKG,Hong Kong,RES,35438.0,1095355241072.0,194076450412.0,7046097.0,521597734.0,1289431691485.0,230523401.0,2836309.0,14719.0,2100.0
JPN,Japan,COM,821466.0,2788142203877.0,697035550889.0,0.0,1237951149.0,3485177754778.0,640326036.0,0.0,1507.0,2252.0
JPN,Japan,IND,426640.0,1520494125689.0,599032826666.0,0.0,686837145.0,2119526952405.0,337502107.0,0.0,1610.0,2214.0
JPN,Japan,RES,36298570.0,10787105729909.0,2511820615877.0,123103479.0,5986763850.0,13298926345464.0,1361181775.0,65339284.0,165.0,1802.0
MAC,Macao,COM,928.0,19852304348.0,4963076086.0,0.0,11677826.0,24815380421.0,7243752.0,0.0,12584.0,1700.0
MAC,Macao,IND,607.0,330056674.0,110018891.0,0.0,275047.0,440075554.0,162200.0,0.0,453.0,1200.0
MAC,Macao,RES,3498.0,95345683478.0,17065573993.0,638650.0,63569467.0,112411257471.0,28419264.0,180601.0,18173.0,1500.0
PRK,North Korea,COM,66675.0,5008814682.0,883908472.0,0.0,19089931.0,5892723147.0,11974726.0,0.0,286.0,262.0
PRK,North Korea,IND,10525.0,3902754282.0,1300918092.0,0.0,14478972.0,5203672385.0,6978438.0,0.0,1376.0,270.0
PRK,North Korea,RES,2722677.0,99818046311.0,17892861144.0,26570998.0,493359350.0,117710907457.0,210576600.0,6903486.0,181.0,202.0
KOR,South Korea,COM,1597541.0,654576163126.0,163644040804.0,0.0,487702364.0,818220203959.0,305070823.0,0.0,305.0,1342.0
KOR,South Korea,IND,492438.0,300242597822.0,112961849503.0,0.0,338559422.0,413204447336.0,174675435.0,0.0,688.0,887.0
KOR,South Korea,RES,6633653.0,2182953626677.0,416649877417.0,51667029.0,1834341618.0,2599603504077.0,762291674.0,22185864.0,277.0,1190.0
TWN,Taiwan,COM,139811.0,128393561356.0,32098390354.0,0.0,120024390.0,160491951646.0,70882813.0,0.0,858.0,1070.0
TWN,Taiwan,IND,55042.0,39620336284.0,14859397792.0,0.0,40722309.0,54479734104.0,20546018.0,0.0,740.0,973.0
TWN,Taiwan,RES,3804455.0,1592497406518.0,296646856576.0,23112590.0,1116042107.0,1889144263105.0,500308292.0,9609997.0,293.0,1427.0
