ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD
PNG,Papua New Guinea,Com,MR,MR/LWAL+DUL/H:1/COM,1515746.119,20165.1574,162041443.7003,162041443.7003,216055258.2648,8771.0,540138145.6579
PNG,Papua New Guinea,Com,RC,CR+CIP/LFINF+DUH/HBET:4-10/COM,345993.6684,864.3028,74463008.5819,85100581.234,53187863.2758,640.0,212751453.0786
PNG,Papua New Guinea,Com,RC,CR+CIP/LFINF+DUM/H:2/COM,1119405.7409,7450.1615,180523144.3208,206312164.9445,128945103.0933,8592.0,515780412.3517
PNG,Papua New Guinea,Com,RC,CR+CIP/LFINF+DUM/H:3/COM,691441.2411,3451.732,130103744.0759,148689993.2262,92931245.7696,8650.0,371724983.0869
PNG,Papua New Guinea,Com,RC,CR+CIP/LFM+DUM/H:1/COM,820140.0148,8189.2324,132287599.7991,151185828.3459,94491142.7175,8708.0,377964570.8583
PNG,Papua New Guinea,Com,RC,CR+CIP/LFM+DUM/H:2/COM,58424.4157,388.7627,9420019.1579,10765736.1797,6728585.1124,660.0,26914340.4538
PNG,Papua New Guinea,Com,W,W+WBB/LPB+DUM/H:1/COM,1793803.1863,17903.7387,191825772.0405,159854810.0294,287738658.0534,8829.0,639419240.1279
PNG,Papua New Guinea,Ind,MR,MR/LWAL+DUL/H:1/IND,100803.5066,1008.0351,13569702.8049,9692644.8611,15508231.7774,0.0,38770579.4444
PNG,Papua New Guinea,Ind,RC,CR+CIP/LFINF+DUM/H:2/IND,241502.9174,966.0117,96601166.9415,57960700.1662,38640466.7769,0.0,193202333.8798
PNG,Papua New Guinea,Ind,RC,CR+CIP/LFM+DUL/H:1/IND,2869.4389,11.4778,1004303.6297,602582.1778,401721.4519,0.0,2008607.2596
PNG,Papua New Guinea,Ind,RC,CR+CIP/LFM+DUM/HBET:1-2/IND,11824.8653,47.2995,4138702.8609,2483221.7167,1655481.1445,0.0,8277405.7213
PNG,Papua New Guinea,Ind,RC,CR+PC/LWAL+DUM/HBET:1-2/IND,7914.0977,31.6564,2769934.2049,1661960.5227,1107973.6819,0.0,5539868.4092
PNG,Papua New Guinea,Ind,S,S+SL/LFBR+DUL/HBET:1-2/IND,8469.473,33.8779,2771827.5295,2155865.8562,1231923.3464,0.0,6159616.7326
PNG,Papua New Guinea,Ind,W,W+WBB/LPB+DUM/H:1/IND,865356.2629,8653.5626,116490266.1694,83207332.9742,133131732.7621,0.0,332829331.9049
PNG,Papua New Guinea,Ind,W,W+WLI/LPB+DUM/HBET:1-2/IND,860163.5041,8601.635,175942534.9264,136844193.8299,78196682.1883,0.0,390983410.9493
PNG,Papua New Guinea,Res,ADO/E,EU/LWAL+DNO/H:1/RES,64150.0179,1167.4305,4188644.3019,4188644.3019,8377288.6038,5750.5404,16754577.208
PNG,Papua New Guinea,Res,MUR,MUR/LWAL+DNO/H:1/RES,718743.1037,9902.4995,28210322.7022,112841290.8033,141051613.4984,60749.4555,282103227.022
PNG,Papua New Guinea,Res,MUR,MUR/LWAL+DNO/H:2/RES,718743.1037,6547.7614,28210322.7027,112841290.8058,141051613.4999,60749.4555,282103227.0272
PNG,Papua New Guinea,Res,OT,ME+MEO/LN+DUL/H:1+HFAPP:1/RES,4263149.5395,78089.5782,361642776.2822,361642776.2822,723285552.553,433617.021,1446571105.1069
PNG,Papua New Guinea,Res,OT,ME+MEO/LN+DUL/HBET:1-2/RES,4510906.7081,85410.6728,418723944.322,418723944.322,837447888.7469,529772.901,1674895777.4469
PNG,Papua New Guinea,Res,OT,UNK/H:1/RES,2210639.7065,37176.499,121941770.31,121941770.31,243883540.6238,187858.246,487767081.2528
PNG,Papua New Guinea,Res,RC,CR+CIP/LFINF+DUM/H:1/RES,73425.0938,640.1257,8610534.8398,21526337.1019,12915802.2589,4449.1732,43052674.2005
PNG,Papua New Guinea,Res,RC,CR+CIP/LFINF+DUM/H:2/RES,73425.0938,226.4113,8610534.8391,21526337.1028,12915802.2593,4449.1733,43052674.2042
PNG,Papua New Guinea,Res,RC,CR+CIP/LFINF+DUM/H:3/RES,73384.3037,71.1251,11961641.51,29904103.7708,17942462.2618,4449.1732,59808207.5448
PNG,Papua New Guinea,Res,RC,CR+CIP/LFINF+DUM/HBET:4-10/RES,73384.3037,40.8569,11961641.509,29904103.7748,17942462.2625,4449.1732,59808207.541
PNG,Papua New Guinea,Res,W,W+WBB/LPB+DUM/H:1+HFAPP:1/RES,26838384.2571,444889.4798,2231074882.7532,2231074882.7532,4462149765.4349,2274049.5379,8924299531.0524
