ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
USA,United States,US-AL,Alabama,COM,167300.0,228575353497.0,228370840579.0,180658860475.0,47916493434.0,26420.0,119808485.0,456946194077.0,52003620.0,0.0,716.0,1908.0
USA,United States,US-AL,Alabama,IND,29147.0,64753530413.0,92265042197.0,54587225778.0,10166304612.0,31696.0,38873945.0,157018572609.0,14702773.0,0.0,1334.0,1666.0
USA,United States,US-AL,Alabama,RES,1923739.0,646668810828.0,323331504765.0,505486910260.0,141181883797.0,4989472.0,373711932.0,970000315593.0,91143367.0,2079137.0,194.0,1730.0
USA,United States,US-AK,Alaska,COM,23508.0,36825682403.0,36025363602.0,28761930774.0,8063751866.0,4015.0,14636247.0,72851046005.0,5517421.0,0.0,623.0,2516.0
USA,United States,US-AK,Alaska,IND,6025.0,10298915551.0,14261321213.0,8681985751.0,1616929795.0,4253.0,4628110.0,24560236763.0,1663973.0,0.0,768.0,2225.0
USA,United States,US-AK,Alaska,RES,242398.0,133110648073.0,66554877171.0,105353088428.0,27757556252.0,704964.0,54556386.0,199665525244.0,6873290.0,270567.0,225.0,2440.0
USA,United States,US-AZ,Arizona,IND,41631.0,75148457409.0,107693597077.0,63350149207.0,11798308218.0,44198.0,42760119.0,182842054486.0,16351814.0,0.0,1027.0,1757.0
USA,United States,US-AZ,Arizona,COM,165333.0,213906331877.0,213094181081.0,168996996233.0,44909335783.0,33396.0,111501968.0,427000512958.0,45056376.0,0.0,674.0,1918.0
USA,United States,US-AZ,Arizona,RES,2647553.0,969470880440.0,484732341955.0,759735236792.0,209735618234.0,7367675.0,529710142.0,1454203222395.0,90166858.0,2882009.0,200.0,1830.0
USA,United States,US-AR,Arkansas,IND,15433.0,33955662131.0,48090884355.0,28624622989.0,5331039135.0,20554.0,19928400.0,82046546486.0,7764551.0,0.0,1291.0,1704.0
USA,United States,US-AR,Arkansas,COM,97076.0,124474736678.0,124371673578.0,97834872420.0,26639864784.0,15474.0,70177777.0,248846410256.0,29837588.0,0.0,723.0,1774.0
USA,United States,US-AR,Arkansas,RES,1189884.0,356747725355.0,178372158009.0,278693071656.0,78054644344.0,3107353.0,226236893.0,535119883365.0,49729492.0,1240533.0,190.0,1577.0
USA,United States,US-CA,California,COM,733607.0,1349989896759.0,1346742954779.0,1058729786909.0,291260112423.0,140143.0,550032804.0,2696732851538.0,225193393.0,0.0,750.0,2454.0
USA,United States,US-CA,California,IND,206064.0,531699808620.0,756701640396.0,448222935834.0,83476872739.0,243009.0,238402041.0,1288401449016.0,90300937.0,0.0,1157.0,2230.0
USA,United States,US-CA,California,RES,10538281.0,5199262455786.0,2599614134169.0,4105143227317.0,1094119095244.0,37275281.0,2066873149.0,7798876589955.0,241028865.0,13405257.0,196.0,2516.0
USA,United States,US-CO,Colorado,COM,140876.0,184206138757.0,183780422234.0,144867254567.0,39338884324.0,27198.0,93000326.0,367986560991.0,37649316.0,0.0,660.0,1981.0
USA,United States,US-CO,Colorado,IND,38224.0,60407130294.0,85141695262.0,50923210510.0,9483919775.0,35746.0,34406542.0,145548825556.0,12856121.0,0.0,900.0,1756.0
USA,United States,US-CO,Colorado,RES,1994601.0,812863958996.0,406429459636.0,636193646839.0,176670290671.0,5695444.0,382890654.0,1219293418633.0,61037999.0,2350609.0,192.0,2123.0
USA,United States,US-CT,Connecticut,COM,94331.0,141551982713.0,140819636430.0,109629073694.0,31922909149.0,19408.0,64026768.0,282371619144.0,25598357.0,0.0,679.0,2211.0
USA,United States,US-CT,Connecticut,IND,24873.0,46156239366.0,64226012256.0,38909709532.0,7246529823.0,24410.0,23228555.0,110382251622.0,8820452.0,0.0,934.0,1987.0
USA,United States,US-CT,Connecticut,RES,997684.0,522529098430.0,261262780782.0,411878294473.0,110650789960.0,3567345.0,209164550.0,783791879212.0,27389198.0,1449834.0,210.0,2498.0
USA,United States,US-DE,Delaware,IND,5183.0,10856300276.0,15081219921.0,9151861064.0,1704439196.0,7171.0,5334504.0,25937520196.0,1885250.0,0.0,1029.0,2035.0
USA,United States,US-DE,Delaware,RES,366227.0,168905835354.0,84452404278.0,131375311275.0,37530519178.0,994971.0,75653675.0,253358239631.0,11721907.0,413667.0,207.0,2233.0
USA,United States,US-DE,Delaware,COM,25695.0,47625129032.0,47535015592.0,37817449392.0,9807680124.0,7111.0,20055509.0,95160144624.0,7767940.0,0.0,781.0,2375.0
USA,United States,US-DC,District of Columbia,IND,628.0,3776808034.0,5665232399.0,3183849164.0,592958882.0,4062.0,2219107.0,9442040433.0,877232.0,0.0,3534.0,1702.0
USA,United States,US-DC,District of Columbia,COM,9634.0,156421671588.0,154112537305.0,124013196323.0,32408478288.0,52300.0,65792187.0,310534208893.0,28491836.0,0.0,6829.0,2378.0
USA,United States,US-DC,District of Columbia,RES,129722.0,181209478251.0,90604324569.0,152993363584.0,28216112498.0,0.0,78284848.0,271813802820.0,22137932.0,314270.0,603.0,2315.0
USA,United States,US-FL,Florida,COM,524910.0,630888834559.0,629163745200.0,495719688156.0,135169146061.0,109926.0,338718263.0,1260052579759.0,123146708.0,0.0,645.0,1863.0
USA,United States,US-FL,Florida,IND,123474.0,156008443944.0,216419415728.0,131515117396.0,24493326527.0,109435.0,93258358.0,372427859672.0,32643091.0,0.0,755.0,1673.0
USA,United States,US-FL,Florida,RES,7585627.0,2549001220779.0,1274490818471.0,2000102977154.0,548898177831.0,22083246.0,1454453052.0,3823492039250.0,301532355.0,9290664.0,192.0,1753.0
USA,United States,US-GA,Georgia,COM,286672.0,422150463996.0,421484168116.0,330371465710.0,91778999058.0,54406.0,218701897.0,843634632113.0,83425412.0,0.0,763.0,1930.0
USA,United States,US-GA,Georgia,IND,59350.0,128582040421.0,182887624809.0,108394659402.0,20187381022.0,62485.0,76603168.0,311469665229.0,27771478.0,0.0,1291.0,1679.0
USA,United States,US-GA,Georgia,RES,3660921.0,1465682764534.0,732836459940.0,1148121894642.0,317560830834.0,10740359.0,777785308.0,2198519224474.0,146646492.0,4241788.0,212.0,1884.0
USA,United States,US-HI,Hawaii,IND,5416.0,9040078978.0,12299008576.0,7620786526.0,1419292449.0,5146.0,4147429.0,21339087554.0,1499948.0,0.0,766.0,2180.0
USA,United States,US-HI,Hawaii,COM,24449.0,46494568946.0,46214166786.0,36586807237.0,9907761687.0,6984.0,18067069.0,92708735732.0,7192155.0,0.0,739.0,2573.0
