ID_0,NAME_0,OCCUPANCY,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
AFG,Afghanistan,COM,410191.0,6696264380.0,1334847044.0,0.0,35748497.0,8031111407.0,19135082.0,0.0,87.0,187.0
AFG,Afghanistan,IND,115040.0,5140819164.0,1713606385.0,0.0,28233534.0,6854425567.0,17231238.0,0.0,245.0,182.0
AFG,Afghanistan,RES,6374073.0,57745796997.0,10190434772.0,43844111.0,606051671.0,67936231787.0,148676754.0,6930748.0,95.0,95.0
BGD,Bangladesh,COM,530361.0,11509842827.0,2710884568.0,0.0,45993274.0,14220727350.0,26260070.0,0.0,87.0,250.0
BGD,Bangladesh,IND,112624.0,7623911893.0,2543515540.0,0.0,29348898.0,10167427433.0,15785129.0,0.0,261.0,260.0
BGD,Bangladesh,RES,31798575.0,147525706344.0,26236529704.0,175686899.0,1138965584.0,173762243785.0,344289377.0,38283601.0,36.0,130.0
BTN,Bhutan,COM,6906.0,89899824.0,19177693.0,0.0,767894.0,109077514.0,471675.0,0.0,111.0,117.0
BTN,Bhutan,IND,813.0,26534434.0,8844816.0,0.0,202358.0,35379244.0,108852.0,0.0,249.0,131.0
BTN,Bhutan,RES,194485.0,4425776470.0,826689448.0,796682.0,55467767.0,5252465934.0,17875019.0,232714.0,285.0,80.0
IND,India,COM,25347181.0,568719850236.0,158002493455.0,0.0,1857282621.0,726722343661.0,808516546.0,0.0,73.0,306.0
IND,India,IND,5173641.0,127421027612.0,53905411814.0,0.0,538627096.0,181326439476.0,258008135.0,0.0,104.0,237.0
IND,India,RES,232970094.0,2192895773776.0,388464534934.0,1463864127.0,17343250811.0,2581360309793.0,5065266810.0,318056029.0,74.0,126.0
NPL,Nepal,COM,106947.0,11145254351.0,2319967815.0,0.0,14019460.0,13465222165.0,8372348.0,0.0,131.0,795.0
NPL,Nepal,IND,109377.0,8645797289.0,2881932427.0,0.0,22178693.0,11527729713.0,12203382.0,0.0,203.0,390.0
NPL,Nepal,RES,5992621.0,193917880377.0,34519412423.0,29554294.0,784104802.0,228437292623.0,316875808.0,7297737.0,131.0,247.0
PAK,Pakistan,COM,2724216.0,79933705336.0,19415756881.0,0.0,324734092.0,99349462195.0,196597347.0,0.0,119.0,246.0
PAK,Pakistan,IND,827385.0,38794646129.0,12931548699.0,0.0,267039310.0,51726194836.0,157252800.0,0.0,323.0,145.0
PAK,Pakistan,RES,35369084.0,595524207614.0,106362566132.0,255219554.0,2972152002.0,701886773724.0,1194163855.0,40598929.0,84.0,200.0
LKA,Sri Lanka,COM,70828.0,4889150747.0,949013915.0,0.0,10494264.0,5838164674.0,6619850.0,0.0,148.0,466.0
LKA,Sri Lanka,IND,33801.0,2824658373.0,941552790.0,0.0,8827057.0,3766211167.0,4778067.0,0.0,261.0,320.0
LKA,Sri Lanka,RES,7585872.0,91693734502.0,16220193345.0,23191395.0,532022609.0,107913927873.0,255170917.0,7925204.0,70.0,172.0
