ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
GUM,Guam,GU-AH,Agana Heights,COM,39.0,15419880.0,15419880.0,10886435.0,4533445.0,32.0,8804.0,30839760.0,4736.0,0.0,226.0,1751.0
GUM,Guam,GU-AH,Agana Heights,IND,2.0,235480.0,352640.0,198510.0,36970.0,0.0,111.0,588120.0,48.0,0.0,56.0,2121.0
GUM,Guam,GU-AH,Agana Heights,RES,799.0,456636308.0,228316994.0,354785463.0,101850829.0,3613.0,256341.0,684953302.0,82807.0,1262.0,321.0,1781.0
GUM,Guam,GU-AS,Asan-Maina,RES,645.0,325787140.0,162893001.0,250061627.0,75725499.0,1776.0,188909.0,488680140.0,59070.0,743.0,293.0,1725.0
GUM,Guam,GU-AS,Asan-Maina,COM,55.0,51941309.0,51941309.0,40893611.0,11047696.0,13.0,24082.0,103882618.0,12807.0,0.0,438.0,2157.0
GUM,Guam,GU-AS,Asan-Maina,IND,4.0,3849750.0,5775640.0,3245339.0,604411.0,1.0,1419.0,9625390.0,771.0,0.0,355.0,2713.0
GUM,Guam,GU-BA,Barrigada,RES,2257.0,1335975488.0,667983673.0,1027361239.0,308614196.0,7790.0,773389.0,2003959161.0,243980.0,2621.0,343.0,1727.0
GUM,Guam,GU-BA,Barrigada,COM,49.0,71088280.0,71088280.0,53473133.0,17615145.0,53.0,35963.0,142176560.0,19928.0,0.0,734.0,1977.0
GUM,Guam,GU-BA,Barrigada,IND,28.0,42472693.0,63710199.0,35804481.0,6668213.0,0.0,16372.0,106182893.0,8649.0,0.0,585.0,2594.0
GUM,Guam,GU-CP,Chalan Pago-Ordot,COM,54.0,37182640.0,37182640.0,26250943.0,10931696.0,59.0,21227.0,74365281.0,10612.0,0.0,393.0,1752.0
