ID_0,NAME_0,OCCUPANCY,MACRO_TAXONOMY,TAXONOMY,TAXONOMY_HAZUS,SETTLEMENT,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
GUM,Guam,COM,CR+,CR+PC/LDUAL/CDM+ERM/H:1-3/COM:1,PC2L/MC/COM1,TOTAL,127.0,129394343.0,129394343.0,91352402.0,38041937.0,61.0,73869.0,258788687.0,40649.0,0.0,582.0,1752.0
GUM,Guam,IND,CR+,CR+PC/LDUAL/CDM+ERM/H:1-3/IND:1,PC2L/MC/IND1,TOTAL,83.0,127367766.0,191052573.0,107371025.0,19996740.0,9.0,59730.0,318420340.0,32676.0,0.0,720.0,2132.0
GUM,Guam,RES,CR+,CR+PC/LDUAL/CDM+ERM/H:1-3/RES:2,PC2L/MC/RES3F,TOTAL,1.0,3548440.0,1773640.0,3058755.0,489685.0,4.0,1430.0,5322080.0,528.0,17.0,1430.0,2481.0
GUM,Guam,RES,CR+,CR+PC/LDUAL/CDM+ERM/H:1-3/RES:2,PC2L/MC/RES3E,TOTAL,1.0,2565920.0,1282960.0,2211823.0,354097.0,8.0,947.0,3848880.0,350.0,5.0,947.0,2710.0
GUM,Guam,RES,CR+,CR+PC/LDUAL/CDM+ERM/H:1-3/RES:2,PC2L/MC/RES3D,TOTAL,1.0,2870460.0,1435167.0,2474337.0,396124.0,3.0,988.0,4305628.0,365.0,14.0,988.0,2905.0
GUM,Guam,RES,CR+,CR+PC/LDUAL/CDM+ERM/H:1-3/RES:2,PC2L/MC/RES3C,TOTAL,122.0,151914948.0,75956937.0,130950682.0,20964262.0,378.0,48630.0,227871884.0,17951.0,332.0,399.0,3124.0
GUM,Guam,RES,CR+,CR+PC/LDUAL/CDM+ERM/H:1-3/RES:2,PC2L/MC/RES3B,TOTAL,11.0,6921516.0,3460615.0,5966347.0,955169.0,30.0,4686.0,10382131.0,1730.0,40.0,426.0,1477.0
GUM,Guam,RES,CR+,CR+PC/LDUAL/CDM+ERM/H:1-3/RES:2,PC2L/MC/RES3A,TOTAL,46.0,34526872.0,17263314.0,29762163.0,4764708.0,71.0,20549.0,51790186.0,7585.0,49.0,447.0,1680.0
GUM,Guam,COM,CR+,CR+PC/LWAL/CDM+ERM/H:1/COM:1,PC1/MC/COM1,TOTAL,376.0,357826928.0,357826928.0,252625802.0,105201117.0,177.0,204279.0,715653856.0,117911.0,0.0,543.0,1752.0
GUM,Guam,COM,CR+,CR+PC/LWAL/CDM+ERM/H:1/COM:3B,PC1/MC/COM3,TOTAL,18.0,18395388.0,18395388.0,15415335.0,2980053.0,6.0,8631.0,36790775.0,4982.0,0.0,480.0,2131.0
