ID_0,NAME_0,OCCUPANCY,MACRO_TAXONOMY,TAXONOMY,TAXONOMY_HAZUS,SETTLEMENT,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
PRI,Puerto Rico,RES,CR+,CR+PC/LDUAL/CDM+ERM/H:1-3/RES:4,PC2L/MC/RES5,TOTAL,44.0,146419272.0,73206768.0,118892446.0,27526822.0,634.0,65116.0,219626040.0,25677.0,0.0,1480.0,2249.0
PRI,Puerto Rico,RES,CR+,CR+PC/LDUAL/CDM+ERM/H:4-7/RES:2,PC2M/MC/RES3B,TOTAL,24.0,22336980.0,11168348.0,19254477.0,3082503.0,316.0,18903.0,33505328.0,7476.0,135.0,788.0,1182.0
PRI,Puerto Rico,RES,CR+,CR+PC/LDUAL/CDM+ERM/H:4-7/RES:2,PC2M/MC/RES3C,TOTAL,54.0,153348079.0,76673590.0,132186043.0,21162034.0,907.0,61361.0,230021669.0,24269.0,391.0,1136.0,2499.0
PRI,Puerto Rico,RES,CR+,CR+PC/LDUAL/CDM+ERM/H:4-7/RES:2,PC2M/MC/RES3D,TOTAL,24.0,141465086.0,70732019.0,121942902.0,19522181.0,856.0,60863.0,212197105.0,24072.0,377.0,2536.0,2324.0
PRI,Puerto Rico,RES,CR+,CR+PC/LDUAL/CDM+ERM/H:4-7/RES:2,PC2M/MC/RES3E,TOTAL,12.0,173373277.0,86684951.0,149447763.0,23925512.0,732.0,79967.0,260058228.0,31628.0,320.0,6664.0,2168.0
PRI,Puerto Rico,RES,CR+,CR+PC/LDUAL/CDM+ERM/H:4-7/RES:2,PC2M/MC/RES3F,TOTAL,8.0,278405951.0,139202477.0,239985921.0,38420019.0,907.0,140178.0,417608428.0,55442.0,468.0,17522.0,1986.0
PRI,Puerto Rico,IND,CR-,CR+PC/LDUAL/CDN+ERL/H:1-3/IND:2,PC2L/PC/IND2,TOTAL,17.0,65463576.0,98200874.0,55185795.0,10277782.0,126.0,48382.0,163664450.0,23553.0,0.0,2846.0,1353.0
PRI,Puerto Rico,IND,CR-,CR+PC/LDUAL/CDN+ERL/H:1-3/IND:6,PC2L/PC/IND6,TOTAL,36.0,87313333.0,87313333.0,73605140.0,13708194.0,231.0,64531.0,174626667.0,31415.0,0.0,1793.0,1353.0
PRI,Puerto Rico,RES,CR-,CR+PC/LDUAL/CDN+ERL/H:1-3/RES:4,PC2L/PC/RES5,TOTAL,114.0,438263089.0,219120757.0,355869620.0,82393458.0,1574.0,194906.0,657383846.0,76857.0,0.0,1710.0,2249.0
PRI,Puerto Rico,RES,CR-,CR+PC/LDUAL/CDN+ERL/H:1-3/RES:4,PC2L/PC/RES6,TOTAL,1.0,569270.0,284490.0,464524.0,104746.0,4.0,218.0,853760.0,86.0,0.0,218.0,2611.0
