ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
PRI,Puerto Rico,PR-AJ,Adjuntas,RES,10035.0,2062890624.0,1031433722.0,1625177884.0,437712686.0,17278.0,1345563.0,3094324347.0,450067.0,6768.0,134.0,1533.0
PRI,Puerto Rico,PR-AJ,Adjuntas,IND,4.0,2144840.0,2330440.0,1808100.0,336740.0,6.0,1540.0,4475280.0,804.0,0.0,385.0,1393.0
PRI,Puerto Rico,PR-AJ,Adjuntas,COM,16.0,51004655.0,51004655.0,41095132.0,9909523.0,20.0,27616.0,102009309.0,13296.0,0.0,1726.0,1847.0
PRI,Puerto Rico,PR-AD,Aguada,COM,47.0,67043460.0,67043460.0,51660635.0,15382826.0,27.0,39288.0,134086920.0,19342.0,0.0,836.0,1706.0
PRI,Puerto Rico,PR-AD,Aguada,IND,5.0,9444720.0,13034920.0,7961899.0,1482821.0,14.0,6646.0,22479640.0,3349.0,0.0,1329.0,1421.0
PRI,Puerto Rico,PR-AD,Aguada,RES,19559.0,5772085765.0,2886025486.0,4575440627.0,1196644993.0,36562.0,3700895.0,8658111251.0,1253621.0,14603.0,189.0,1560.0
PRI,Puerto Rico,PR-AL,Aguadilla,RES,27857.0,11318132825.0,5659035692.0,9155132146.0,2163000389.0,52833.0,6873013.0,16977168517.0,2363451.0,22251.0,247.0,1647.0
PRI,Puerto Rico,PR-AL,Aguadilla,IND,4.0,3758400.0,4630720.0,3168331.0,590069.0,8.0,2563.0,8389120.0,1250.0,0.0,641.0,1466.0
PRI,Puerto Rico,PR-AL,Aguadilla,COM,20.0,25038287.0,25038287.0,20018081.0,5020207.0,10.0,13117.0,50076574.0,5974.0,0.0,656.0,1909.0
PRI,Puerto Rico,PR-AB,Aguas Buenas,COM,4.0,17890680.0,17890680.0,14456163.0,3434516.0,8.0,11559.0,35781360.0,5622.0,0.0,2890.0,1548.0
PRI,Puerto Rico,PR-AB,Aguas Buenas,RES,10229.0,3349342255.0,1674658373.0,2643287256.0,706054948.0,23226.0,2106405.0,5024000629.0,722787.0,9137.0,206.0,1590.0
PRI,Puerto Rico,PR-AI,Aibonito,RES,11728.0,3506605766.0,1753294756.0,2787631287.0,718974400.0,23623.0,1981109.0,5259900522.0,674030.0,9770.0,169.0,1770.0
PRI,Puerto Rico,PR-AI,Aibonito,COM,26.0,17462640.0,17462640.0,14198666.0,3263974.0,7.0,9073.0,34925280.0,4482.0,0.0,349.0,1925.0
PRI,Puerto Rico,PR-AI,Aibonito,IND,2.0,16417480.0,24380880.0,13839936.0,2577545.0,15.0,7283.0,40798360.0,3458.0,0.0,3642.0,2254.0
PRI,Puerto Rico,PR-AC,Arecibo,RES,43086.0,13088810047.0,6544363853.0,10379245376.0,2709564310.0,84143.0,7835464.0,19633173900.0,2724189.0,34696.0,182.0,1670.0
PRI,Puerto Rico,PR-AC,Arecibo,IND,9.0,29702380.0,34427640.0,25039106.0,4663274.0,71.0,21435.0,64130020.0,8409.0,0.0,2382.0,1386.0
PRI,Puerto Rico,PR-AC,Arecibo,COM,105.0,252337120.0,252337120.0,207144858.0,45192259.0,95.0,131381.0,504674240.0,64182.0,0.0,1251.0,1921.0
PRI,Puerto Rico,PR-AR,Arroyo,RES,8624.0,2341674635.0,1170830929.0,1872893021.0,468781560.0,15188.0,1390841.0,3512505564.0,487144.0,6390.0,161.0,1684.0
PRI,Puerto Rico,PR-AR,Arroyo,COM,15.0,8125220.0,8125220.0,6718605.0,1406615.0,3.0,4131.0,16250440.0,1780.0,0.0,275.0,1967.0
PRI,Puerto Rico,PR-AN,Añasco,RES,13046.0,3630674720.0,1815323440.0,2857019323.0,773655327.0,24543.0,2175450.0,5445998160.0,745649.0,10091.0,167.0,1669.0
PRI,Puerto Rico,PR-AN,Añasco,COM,21.0,11341320.0,11341320.0,8330521.0,3010799.0,5.0,7631.0,22682640.0,3572.0,0.0,363.0,1486.0
PRI,Puerto Rico,PR-BC,Barceloneta,COM,17.0,45234200.0,45234200.0,36482529.0,8751671.0,18.0,24991.0,90468400.0,13367.0,0.0,1470.0,1810.0
PRI,Puerto Rico,PR-BC,Barceloneta,IND,1.0,1260920.0,1260920.0,1062956.0,197964.0,4.0,932.0,2521840.0,155.0,0.0,932.0,1353.0
PRI,Puerto Rico,PR-BC,Barceloneta,RES,11172.0,7776904561.0,3888444131.0,6388687465.0,1388216942.0,21725.0,4524469.0,11665348692.0,1542811.0,8916.0,405.0,1719.0
PRI,Puerto Rico,PR-BQ,Barranquitas,RES,12845.0,3492465366.0,1746222214.0,2747326090.0,745139182.0,27790.0,2108518.0,5238687580.0,711395.0,10604.0,164.0,1656.0
PRI,Puerto Rico,PR-BQ,Barranquitas,COM,8.0,9885787.0,9885787.0,7861817.0,2023969.0,4.0,5850.0,19771573.0,2483.0,0.0,731.0,1690.0
PRI,Puerto Rico,PR-BY,Bayamón,IND,44.0,81648508.0,102006607.0,68829692.0,12818816.0,172.0,57429.0,183655115.0,28003.0,0.0,1305.0,1422.0
PRI,Puerto Rico,PR-BY,Bayamón,RES,64754.0,31126720340.0,15563235879.0,25207529558.0,5919190087.0,177385.0,17406881.0,46689956219.0,6142340.0,73002.0,269.0,1788.0
PRI,Puerto Rico,PR-BY,Bayamón,COM,284.0,719443964.0,719443964.0,583563449.0,135880510.0,287.0,403987.0,1438887927.0,201845.0,0.0,1422.0,1781.0
PRI,Puerto Rico,PR-CR,Cabo Rojo,RES,30469.0,7278161384.0,3639052240.0,5744568979.0,1533592219.0,45217.0,4675612.0,10917213623.0,1573820.0,19377.0,153.0,1557.0
PRI,Puerto Rico,PR-CR,Cabo Rojo,IND,2.0,1111280.0,1111280.0,936809.0,174471.0,3.0,821.0,2222560.0,389.0,0.0,410.0,1354.0
PRI,Puerto Rico,PR-CR,Cabo Rojo,COM,65.0,56798820.0,56798820.0,43662122.0,13136699.0,23.0,35081.0,113597640.0,17685.0,0.0,540.0,1619.0
PRI,Puerto Rico,PR-CG,Caguas,COM,102.0,251209505.0,251209505.0,193004536.0,58204972.0,100.0,153347.0,502419011.0,74752.0,0.0,1503.0,1638.0
PRI,Puerto Rico,PR-CG,Caguas,IND,9.0,15527673.0,20669042.0,13089828.0,2437845.0,27.0,9896.0,36196715.0,4862.0,0.0,1100.0,1569.0
PRI,Puerto Rico,PR-CG,Caguas,RES,46731.0,23034810023.0,11517339044.0,18585637960.0,4449171531.0,121899.0,13202881.0,34552149068.0,4590728.0,50456.0,283.0,1745.0
