ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
USA,United States,1,Alabama,Com,159940.04,186251180635.32193,104520010585.71844,81731170049.60349,0.0,112529038.20119062,372502361270.64386,703.5701516717803,3310.277660106248
USA,United States,1,Alabama,Ind,27403.49,69557928843.13664,27702760455.73168,21248519220.638374,0.0,34313505.45843878,118509208519.50671,1252.1582272345156,3453.7190804666548
USA,United States,1,Alabama,Res,1800911.16,243207025349.1656,226701022851.04376,259713027812.86615,5074296.0,327572804.3204031,729621076013.0756,181.892817145074,2227.3554653805263
USA,United States,10,Delaware,Com,24044.15,37032276736.08364,21297070673.55383,15735206062.529816,0.0,16846562.18378386,74064553472.16728,700.6511847490494,4396.419439418936
USA,United States,10,Delaware,Ind,4839.97,9651863070.339754,3966691431.2348843,3123468943.476311,0.0,4166648.915870321,16742023445.05095,860.8832112327806,4018.102744697872
USA,United States,10,Delaware,Res,356498.56,66898831903.157265,74870155128.30722,58927508781.731026,1018396.0,70539369.2775977,200696495813.19553,197.86719272469907,2845.169979098947
USA,United States,11,District of Columbia,Com,16309.82,14311720922.38943,8299771456.961027,6011949465.428402,0.0,6866722.914604765,28623441844.77886,421.01770066161157,4168.428259119054
USA,United States,11,District of Columbia,Ind,1533.84,1570902291.2731538,674518717.6206464,527959965.7140302,0.0,845923.3611274671,2773380974.6078305,551.5069114949846,3278.5251029258743
USA,United States,11,District of Columbia,Res,109872.4,16109923707.254189,14156037107.875097,18063810320.991997,671803.0,18741655.409332342,48329771136.12128,170.57655434242216,2578.7354468194753
USA,United States,12,Florida,Com,498878.15,505498769970.17004,310054505778.2988,195444264191.87122,0.0,312192066.5657481,1010997539940.3401,625.7882141475791,3238.383188470366
