ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,MACRO_TAXONOMY,TAXONOMY,SETTLEMENT,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
KAZ,Kazakhstan,KZ-AKT,Aktobe Region,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,136.0,285147421.0,71286855.0,26473.0,380197.0,356434275.0,151972.0,7412.0,2796.0,750.0
KAZ,Kazakhstan,KZ-ALM,Almaty Region,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,580.0,1220384174.0,305096045.0,64068.0,1627179.0,1525480219.0,650414.0,15569.0,2805.0,750.0
KAZ,Kazakhstan,KZ-KZY,Kyzylorda Region,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,185.0,392107205.0,98026802.0,24583.0,522810.0,490134008.0,208977.0,5333.0,2826.0,750.0
KAZ,Kazakhstan,KZ-PAV,Pavlodar Region,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,134.0,281734889.0,70433721.0,20089.0,375647.0,352168609.0,150153.0,7439.0,2803.0,750.0
KAZ,Kazakhstan,KZ-AKM,Akmola Region,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,253.0,531254992.0,132813748.0,24379.0,708340.0,664068738.0,283137.0,9312.0,2800.0,750.0
KAZ,Kazakhstan,KZ-KUS,Kostanay Region,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,218.0,459338637.0,114834660.0,28329.0,612452.0,574173296.0,244808.0,10057.0,2809.0,750.0
KAZ,Kazakhstan,KZ-ZAP,West Kazakhstan Region,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,128.0,268240027.0,67060007.0,19743.0,357653.0,335300034.0,142961.0,6208.0,2794.0,750.0
KAZ,Kazakhstan,KZ-VOS,East Kazakhstan Region,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,348.0,732309332.0,183077332.0,43325.0,976412.0,915386663.0,390290.0,15409.0,2806.0,750.0
KAZ,Kazakhstan,KZ-YUZ,South Kazakhstan Region,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,709.0,1490375492.0,372593873.0,115469.0,1987167.0,1862969365.0,794308.0,31922.0,2803.0,750.0
KAZ,Kazakhstan,KZ-KAR,Karaganda Region,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,178.0,376222458.0,94055615.0,27911.0,501630.0,470278072.0,200511.0,10234.0,2818.0,750.0
KAZ,Kazakhstan,KZ-AST,Astana,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,30.0,61697038.0,15424260.0,21407.0,82263.0,77121298.0,32882.0,6808.0,2742.0,750.0
KAZ,Kazakhstan,KZ-ZHA,Jambyl Region,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,157.0,327315254.0,81828813.0,27830.0,436420.0,409144066.0,174445.0,6416.0,2780.0,750.0
KAZ,Kazakhstan,KZ-SEV,North Kazakhstan Region,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,396.0,831697234.0,207924308.0,31813.0,1108930.0,1039621542.0,443260.0,12465.0,2800.0,750.0
KAZ,Kazakhstan,KZ-ALA,Almaty,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,207.0,436597735.0,109149434.0,42610.0,582130.0,545747169.0,232688.0,15052.0,2812.0,750.0
KAZ,Kazakhstan,KZ-ATY,Atyrau Region,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,55.0,119050157.0,29762538.0,8686.0,158734.0,148812697.0,63449.0,2286.0,2886.0,750.0
KAZ,Kazakhstan,KZ-KZY,Kyzylorda Region,RES,CR-,CR+PC/LPB/CDL+ERL/H:9-12/RES,TOTAL,20.0,59905724.0,14976432.0,3756.0,79874.0,74882153.0,31984.0,815.0,3994.0,750.0
