ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,MACRO_TAXONOMY,TAXONOMY,SETTLEMENT,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
TJK,Tajikistan,TJ-SU,Sughd,IND,CR+,CR+PC/LFLS/CDH+ERH/H:1/IND:6,TOTAL,1.0,76108.0,25369.0,0.0,152.0,101477.0,93.0,0.0,152.0,501.0
TJK,Tajikistan,TJ-KT,Khatlon,IND,CR-,CR+PC/LFLS/CDH+ERL/H:1/IND:2,TOTAL,2.0,150405.0,50134.0,0.0,301.0,200539.0,184.0,0.0,150.0,500.0
TJK,Tajikistan,TJ-KT,Khatlon,IND,CR-,CR+PC/LFLS/CDH+ERL/H:1/IND:6,TOTAL,1.0,75241.0,25080.0,0.0,150.0,100321.0,92.0,0.0,150.0,502.0
TJK,Tajikistan,TJ-KT,Khatlon,COM,CR-,CR+PC/LFLS/CDH+ERL/H:2/COM:5,TOTAL,1.0,480082.0,84720.0,0.0,960.0,564802.0,566.0,0.0,960.0,500.0
TJK,Tajikistan,TJ-KT,Khatlon,IND,CR+,CR+PC/LFLS/CDH+ERM/H:1/IND:6,TOTAL,2.0,150768.0,50255.0,0.0,302.0,201024.0,185.0,0.0,151.0,499.0
TJK,Tajikistan,TJ-KT,Khatlon,IND,CR+,CR+PC/LFLS/CDH+ERM/H:2/IND:2,TOTAL,1.0,151401.0,50467.0,0.0,303.0,201868.0,186.0,0.0,303.0,500.0
TJK,Tajikistan,TJ-SU,Sughd,COM,CR-,CR+PC/LFLS/CDL+ERH/H:1/COM:1,TOTAL,2.0,45737.0,8071.0,0.0,91.0,53809.0,54.0,0.0,46.0,503.0
TJK,Tajikistan,TJ-SU,Sughd,COM,CR-,CR+PC/LFLS/CDL+ERH/H:1/COM:2,TOTAL,4.0,205619.0,36286.0,0.0,411.0,241905.0,242.0,0.0,103.0,500.0
TJK,Tajikistan,TJ-SU,Sughd,COM,CR-,CR+PC/LFLS/CDL+ERH/H:1/COM:3,TOTAL,5.0,263577.0,46514.0,0.0,527.0,310090.0,311.0,0.0,105.0,500.0
TJK,Tajikistan,TJ-GB,Kŭhistoni Badakhshon,COM,CR-,CR+PC/LFLS/CDL+ERH/H:1/COM:3A,TOTAL,2.0,120427.0,21252.0,0.0,241.0,141680.0,142.0,0.0,120.0,500.0
TJK,Tajikistan,TJ-KT,Khatlon,COM,CR-,CR+PC/LFLS/CDL+ERH/H:1/COM:3A,TOTAL,1.0,60067.0,10600.0,0.0,120.0,70667.0,71.0,0.0,120.0,501.0
TJK,Tajikistan,TJ-SU,Sughd,COM,CR-,CR+PC/LFLS/CDL+ERH/H:1/COM:5,TOTAL,1.0,60427.0,10664.0,0.0,121.0,71090.0,71.0,0.0,121.0,499.0
TJK,Tajikistan,TJ-SU,Sughd,IND,CR-,CR+PC/LFLS/CDL+ERH/H:1/IND:1,TOTAL,6.0,1519248.0,506416.0,0.0,3038.0,2025667.0,1861.0,0.0,506.0,500.0
TJK,Tajikistan,TJ-GB,Kŭhistoni Badakhshon,IND,CR-,CR+PC/LFLS/CDL+ERH/H:1/IND:1,TOTAL,1.0,251362.0,83788.0,0.0,503.0,335150.0,308.0,0.0,503.0,500.0
TJK,Tajikistan,TJ-SU,Sughd,IND,CR-,CR+PC/LFLS/CDL+ERH/H:1/IND:2,TOTAL,13.0,983874.0,327957.0,0.0,1968.0,1311831.0,1205.0,0.0,151.0,500.0
TJK,Tajikistan,TJ-GB,Kŭhistoni Badakhshon,IND,CR-,CR+PC/LFLS/CDL+ERH/H:1/IND:2,TOTAL,1.0,75213.0,25071.0,0.0,150.0,100284.0,92.0,0.0,150.0,501.0
