ID_2,PROVINCE,DISTRICT,AVG_HH_SIZE_2020
1757,ADANA,ALADAĞ,3.08
1219,ADANA,CEYHAN,3.68
2033,ADANA,ÇUKUROVA,3.31
1329,ADANA,FEKE,2.76
1806,ADANA,İMAMOĞLU,3.38
1437,ADANA,KARAİSALI,3.07
1443,ADANA,KARATAŞ,3.55
1486,ADANA,KOZAN,3.32
1580,ADANA,POZANTI,2.83
1588,ADANA,SAİMBEYLİ,3.05
2032,ADANA,SARIÇAM,3.66
1104,ADANA,SEYHAN,3.59
1687,ADANA,TUFANBEYLİ,3.05
1734,ADANA,YUMURTALIK,3.13
1748,ADANA,YÜREĞİR,4.10
1105,ADIYAMAN,MERKEZ,4.13
1182,ADIYAMAN,BESNİ,3.77
1246,ADIYAMAN,ÇELİKHAN,3.93
1347,ADIYAMAN,GERGER,4.43
1354,ADIYAMAN,GÖLBAŞI,3.44
1425,ADIYAMAN,KAHTA,4.50
1592,ADIYAMAN,SAMSAT,3.76
1985,ADIYAMAN,SİNCİK,5.15
1989,ADIYAMAN,TUT,3.47
1108,AFYONKARAHİSAR,MERKEZ,3.50
1771,AFYONKARAHİSAR,BAŞMAKÇI,2.87
1773,AFYONKARAHİSAR,BAYAT,2.94
1200,AFYONKARAHİSAR,BOLVADİN,2.99
1239,AFYONKARAHİSAR,ÇAY,3.01
1906,AFYONKARAHİSAR,ÇOBANLAR,5.10
1267,AFYONKARAHİSAR,DAZKIRI,3.18
1281,AFYONKARAHİSAR,DİNAR,3.00
1306,AFYONKARAHİSAR,EMİRDAĞ,2.90
1923,AFYONKARAHİSAR,EVCİLER,2.97
1944,AFYONKARAHİSAR,HOCALAR,3.20
1404,AFYONKARAHİSAR,İHSANİYE,4.38
1809,AFYONKARAHİSAR,İSCEHİSAR,4.55
1961,AFYONKARAHİSAR,KIZILÖREN,2.33
1594,AFYONKARAHİSAR,SANDIKLI,3.09
1626,AFYONKARAHİSAR,SİNANPAŞA,3.72
1639,AFYONKARAHİSAR,SULTANDAĞI,2.49
1664,AFYONKARAHİSAR,ŞUHUT,3.32
1111,AĞRI,MERKEZ,4.45
1283,AĞRI,DİYADİN,4.76
1287,AĞRI,DOĞUBAYAZIT,4.67
1301,AĞRI,ELEŞKİRT,4.35
1379,AĞRI,HAMUR,5.09
1568,AĞRI,PATNOS,5.39
1667,AĞRI,TAŞLIÇAY,4.64
1691,AĞRI,TUTAK,4.73
1134,AMASYA,MERKEZ,3.18
1363,AMASYA,GÖYNÜCEK,2.69
1368,AMASYA,GÜMÜŞHACIKÖY,2.66
1938,AMASYA,HAMAMÖZÜ,2.60
1524,AMASYA,MERZİFON,2.90
1641,AMASYA,SULUOVA,3.32
1668,AMASYA,TAŞOVA,2.64
1872,ANKARA,AKYURT,3.35
1130,ANKARA,ALTINDAĞ,3.18
1157,ANKARA,AYAŞ,2.69
1167,ANKARA,BALA,2.58
1187,ANKARA,BEYPAZARI,2.91
1227,ANKARA,ÇAMLIDERE,2.29
1231,ANKARA,ÇANKAYA,2.59
1260,ANKARA,ÇUBUK,3.22
1302,ANKARA,ELMADAĞ,3.12
1922,ANKARA,ETİMESGUT,3.04
1924,ANKARA,EVREN,2.39
1744,ANKARA,GÖLBAŞI,3.19
1365,ANKARA,GÜDÜL,2.24
1387,ANKARA,HAYMANA,2.63
1815,ANKARA,KAHRAMANKAZAN,3.31
1427,ANKARA,KALECİK,2.61
1745,ANKARA,KEÇİÖREN,3.15
1473,ANKARA,KIZILCAHAMAM,2.44
1746,ANKARA,MAMAK,3.15
1539,ANKARA,NALLIHAN,2.55
1578,ANKARA,POLATLI,3.13
2034,ANKARA,PURSAKLAR,3.44
1747,ANKARA,SİNCAN,3.33
1658,ANKARA,ŞEREFLİKOÇHİSAR,2.74
1723,ANKARA,YENİMAHALLE,3.03
1121,ANTALYA,AKSEKİ,2.27
2035,ANTALYA,AKSU,3.38
1126,ANTALYA,ALANYA,2.94
1811,ANTALYA,DEMRE,3.16
2036,ANTALYA,DÖŞEMEALTI,3.14
1303,ANTALYA,ELMALI,2.97
1333,ANTALYA,FİNİKE,3.03
1337,ANTALYA,GAZİPAŞA,3.13
1370,ANTALYA,GÜNDOĞMUŞ,2.34
1946,ANTALYA,İBRADI,2.37
1451,ANTALYA,KAŞ,2.96
1959,ANTALYA,KEMER,2.91
2037,ANTALYA,KEPEZ,3.22
2038,ANTALYA,KONYAALTI,2.73
1483,ANTALYA,KORKUTELİ,2.98
1492,ANTALYA,KUMLUCA,3.25
1512,ANTALYA,MANAVGAT,3.17
2039,ANTALYA,MURATPAŞA,2.83
1616,ANTALYA,SERİK,3.18
1152,ARTVİN,MERKEZ,2.88
1145,ARTVİN,ARDANUÇ,2.38
1147,ARTVİN,ARHAVİ,2.95
1202,ARTVİN,BORÇKA,3.14
1395,ARTVİN,HOPA,3.39
2105,ARTVİN,KEMALPAŞA,3.46
1828,ARTVİN,MURGUL,3.41
1653,ARTVİN,ŞAVŞAT,2.21
1736,ARTVİN,YUSUFELİ,2.55
1206,AYDIN,BOZDOĞAN,2.82
1781,AYDIN,BUHARKENT,2.85
1256,AYDIN,ÇİNE,2.70
2000,AYDIN,DİDİM,2.55
2076,AYDIN,EFELER,2.99
1348,AYDIN,GERMENCİK,3.16
1807,AYDIN,İNCİRLİOVA,3.37
1435,AYDIN,KARACASU,2.76
1957,AYDIN,KARPUZLU,2.68
1479,AYDIN,KOÇARLI,2.70
1968,AYDIN,KÖŞK,3.19
1497,AYDIN,KUŞADASI,2.58
1498,AYDIN,KUYUCAK,2.66
1542,AYDIN,NAZİLLİ,2.85
1637,AYDIN,SÖKE,3.02
1640,AYDIN,SULTANHİSAR,2.80
1724,AYDIN,YENİPAZAR,2.54
2077,BALIKESİR,ALTIEYLÜL,2.86
1161,BALIKESİR,AYVALIK,2.54
1169,BALIKESİR,BALYA,2.29
1171,BALIKESİR,BANDIRMA,2.70
1191,BALIKESİR,BİGADİÇ,2.82
1216,BALIKESİR,BURHANİYE,2.65
1291,BALIKESİR,DURSUNBEY,2.61
1294,BALIKESİR,EDREMİT,2.60
1310,BALIKESİR,ERDEK,2.43
1928,BALIKESİR,GÖMEÇ,2.65
1360,BALIKESİR,GÖNEN,2.68
1384,BALIKESİR,HAVRAN,2.94
1418,BALIKESİR,İVRİNDİ,2.60
2078,BALIKESİR,KARESİ,2.84
1462,BALIKESİR,KEPSUT,2.59
1514,BALIKESİR,MANYAS,2.62
1824,BALIKESİR,MARMARA,2.48
1608,BALIKESİR,SAVAŞTEPE,2.65
1619,BALIKESİR,SINDIRGI,2.37
1644,BALIKESİR,SUSURLUK,2.67
1192,BİLECİK,MERKEZ,2.94
1210,BİLECİK,BOZÜYÜK,3.03
1359,BİLECİK,GÖLPAZARI,2.38
1948,BİLECİK,İNHİSAR,2.11
1559,BİLECİK,OSMANELİ,3.13
1571,BİLECİK,PAZARYERİ,2.58
1636,BİLECİK,SÖĞÜT,2.95
1857,BİLECİK,YENİPAZAR,2.44
1193,BİNGÖL,MERKEZ,3.68
1750,BİNGÖL,ADAKLI,3.21
1344,BİNGÖL,GENÇ,3.52
1446,BİNGÖL,KARLIOVA,4.03
1475,BİNGÖL,KİĞI,2.59
1633,BİNGÖL,SOLHAN,3.92
1855,BİNGÖL,YAYLADERE,2.35
1996,BİNGÖL,YEDİSU,3.12
1196,BİTLİS,MERKEZ,4.15
1106,BİTLİS,ADİLCEVAZ,4.49
1112,BİTLİS,AHLAT,4.32
1798,BİTLİS,GÜROYMAK,5.16
1394,BİTLİS,HİZAN,4.55
1537,BİTLİS,MUTKİ,4.55
1669,BİTLİS,TATVAN,4.27
1199,BOLU,MERKEZ,3.06
1916,BOLU,DÖRTDİVAN,2.80
1346,BOLU,GEREDE,2.95
1364,BOLU,GÖYNÜK,2.97
1466,BOLU,KIBRISCIK,2.14
1522,BOLU,MENGEN,2.42
1531,BOLU,MUDURNU,2.83
1610,BOLU,SEBEN,2.25
1997,BOLU,YENİÇAĞA,2.79
1215,BURDUR,MERKEZ,2.76
1109,BURDUR,AĞLASUN,2.61
1874,BURDUR,ALTINYAYLA,2.73
1211,BURDUR,BUCAK,2.88
1899,BURDUR,ÇAVDIR,2.91
1903,BURDUR,ÇELTİKÇİ,2.44
1357,BURDUR,GÖLHİSAR,2.71
1813,BURDUR,KARAMANLI,2.58
1816,BURDUR,KEMER,2.42
1672,BURDUR,TEFENNİ,2.53
1728,BURDUR,YEŞİLOVA,2.31
1783,BURSA,BÜYÜKORHAN,2.50
1343,BURSA,GEMLİK,2.91
1935,BURSA,GÜRSU,3.84
1799,BURSA,HARMANCIK,2.52
1411,BURSA,İNEGÖL,3.68
1420,BURSA,İZNİK,3.08
1434,BURSA,KARACABEY,3.00
1457,BURSA,KELES,2.55
1960,BURSA,KESTEL,3.31
1530,BURSA,MUDANYA,2.78
1535,BURSA,MUSTAFAKEMALPAŞA,2.87
1829,BURSA,NİLÜFER,3.05
1553,BURSA,ORHANELİ,2.70
1554,BURSA,ORHANGAZİ,3.14
1832,BURSA,OSMANGAZİ,3.24
1725,BURSA,YENİŞEHİR,3.14
1859,BURSA,YILDIRIM,3.47
1230,ÇANAKKALE,MERKEZ,2.62
1160,ÇANAKKALE,AYVACIK,2.47
