Province,1,2,3,4,5,6,7-9,10+,Unknown
Adana,112,252,426,776,1630,1884,2800,6000,360
Adıyaman,120,282,558,932,1530,1878,2800,6000,360
Afyonkarahisar,113,260,402,632,1090,1260,1920,6000,360
Ağrı,102,268,648,1204,1415,1914,2880,6000,360
Amasya,103,232,471,716,1195,1500,2240,6000,360
Ankara,110,280,522,1248,1725,2094,3120,6000,360
Antalya,94,240,519,860,1375,1752,2640,6000,360
Artvin,96,212,417,644,975,1266,1920,6000,360
Aydın,90,152,279,648,980,1200,1760,6000,360
Balıkesir,100,160,327,640,965,1266,1920,6000,360
Bilecik,131,234,405,720,1255,1488,2240,6000,360
Bingöl,100,260,459,864,1375,1218,1840,6000,360
Bitlis,116,284,645,1172,2100,1698,2560,6000,360
Bolu,148,234,453,868,1190,1770,2640,6000,360
Burdur,104,222,402,672,1125,1644,2480,6000,360
Bursa,138,244,366,556,940,1344,2000,6000,360
Çanakkale,85,194,342,704,1280,1428,2160,6000,360
Çankırı,116,248,507,952,1565,2460,3680,6000,360
Çorum,112,226,486,828,1420,2178,3200,6000,360
Denizli,109,224,414,632,1030,1308,1920,6000,360
Diyarbakır,113,270,546,1092,1555,1716,2560,6000,360
Edirne,98,224,438,748,1420,1698,2560,6000,360
Elazığ,114,258,504,728,950,1338,2000,6000,360
Erzincan,109,270,654,1364,2220,2862,4240,6000,360
Erzurum,99,230,459,800,1180,1692,2560,6000,360
Eskişehir,105,244,429,720,1185,1722,2560,6000,360
Gaziantep,122,246,465,1040,2520,2622,3920,6000,360
Giresun,82,188,375,600,830,1164,1760,6000,360
Gümüşhane,91,232,453,744,945,1578,2320,6000,360
Hakkari,130,310,588,1024,1255,1452,2160,6000,360
Hatay,109,280,561,948,1545,1890,2800,6000,360
Isparta,109,222,378,640,1070,1596,2400,6000,360
Mersin,112,244,453,864,1410,1998,2960,6000,360
İstanbul,118,260,423,628,895,1128,1680,6000,360
İzmir,100,208,369,648,1075,1434,2160,6000,360
Kars,107,342,621,1120,1505,1470,2160,6000,360
Kastamonu,102,208,408,636,1040,1620,2400,6000,360
Kayseri,137,272,627,1188,1905,2130,3200,6000,360
Kırklareli,102,240,444,812,1200,1626,2400,6000,360
Kırşehir,123,266,558,1076,1580,1782,2640,6000,360
Kocaeli,133,236,387,572,1020,1410,2080,6000,360
Konya,116,260,528,804,1390,1776,2640,6000,360
Kütahya,92,210,366,544,1010,1560,2320,6000,360
Malatya,126,288,642,952,1670,1758,2640,6000,360
Manisa,103,226,417,636,965,1140,1680,6000,360
Kahramanmaraş,122,266,519,1092,1850,2376,3520,6000,360
Mardin,120,320,744,1468,2605,1980,2960,6000,360
Muğla,80,192,441,804,1850,2178,3200,6000,360
Muş,108,268,519,876,1495,1806,2720,6000,360
Nevşehir,114,264,525,824,1335,1782,2640,6000,360
Niğde,116,308,537,980,1470,1806,2720,6000,360
Ordu,82,200,369,552,805,1080,1600,6000,360
Rize,102,222,378,692,940,1134,1680,6000,360
Sakarya,107,232,417,772,1395,2142,3200,6000,360
Samsun,115,326,426,640,965,1284,1920,6000,360
Siirt,111,266,549,1032,1560,1884,2800,6000,360
Sinop,95,244,411,640,980,1284,1920,6000,360
Sivas,120,258,495,848,1335,1824,2720,6000,360
Tekirdağ,132,228,312,684,1155,1530,2320,6000,360
Tokat,97,216,408,692,1120,1434,2160,6000,360
Trabzon,103,208,396,604,875,1140,1680,6000,360
Tunceli,102,262,576,960,1410,1386,2080,6000,360
Şanlıurfa,118,292,660,1064,1775,1752,2640,6000,360
Uşak,144,252,426,664,1330,1338,2000,6000,360
Van,112,284,573,1160,1850,1884,2800,6000,360
Yozgat,125,272,528,940,1565,1950,2880,6000,360
Zonguldak,95,232,402,620,935,1350,2000,6000,360
Aksaray,117,260,489,908,1600,2454,3600,6000,360
Bayburt,131,282,519,812,1095,1506,2240,6000,360
Karaman,100,234,468,692,1180,1566,2320,6000,360
Kırıkkale,102,236,465,816,1275,1674,2480,6000,360
Batman,119,290,552,908,1715,1848,2720,6000,360
Şırnak,137,384,873,1828,1670,2916,4320,6000,360
Bartın,81,214,363,596,935,1278,1920,6000,360
Ardahan,142,288,681,1284,2255,2034,3040,6000,360
Iğdır,112,320,579,968,1355,1572,2320,6000,360
Yalova,119,238,405,748,1115,1524,2240,6000,360
Karabük,108,220,369,776,1075,1566,2320,6000,360
Kilis,93,232,471,940,1170,1392,2080,6000,360
Osmaniye,98,254,489,860,1605,1806,2720,6000,360
Düzce,117,248,462,752,1345,1776,2640,6000,360
