Province,1,2,3,4,5,6,7–9,10+,Unknown
Adana, 112 , 126 , 142 , 194 , 326 , 314 , 320 , 500 , 120 
Adıyaman, 120 , 141 , 186 , 233 , 306 , 313 , 320 , 500 , 120 
Afyon, 113 , 130 , 134 , 158 , 218 , 210 , 320 , 500 , 120 
Ağrı, 102 , 134 , 216 , 301 , 283 , 319 , 320 , 500 , 120 
Amasya, 103 , 116 , 157 , 179 , 239 , 250 , 320 , 500 , 120 
Ankara, 110 , 140 , 174 , 312 , 345 , 349 , 320 , 500 , 120 
Antalya, 94 , 120 , 173 , 215 , 275 , 292 , 320 , 500 , 120 
Artvin, 96 , 106 , 139 , 161 , 195 , 211 , 320 , 500 , 120 
Aydın, 90 , 76 , 93 , 162 , 196 , 200 , 320 , 500 , 120 
Balıkesir, 100 , 80 , 109 , 160 , 193 , 211 , 320 , 500 , 120 
Bilecik, 131 , 117 , 135 , 180 , 251 , 248 , 320 , 500 , 120 
Bingöl, 100 , 130 , 153 , 216 , 275 , 203 , 320 , 500 , 120 
Bitlis, 116 , 142 , 215 , 293 , 420 , 283 , 320 , 500 , 120 
Bolu, 148 , 117 , 151 , 217 , 238 , 295 , 320 , 500 , 120 
Burdur, 104 , 111 , 134 , 168 , 225 , 274 , 320 , 500 , 120 
Bursa, 138 , 122 , 122 , 139 , 188 , 224 , 320 , 500 , 120 
Çanakkale, 85 , 97 , 114 , 176 , 256 , 238 , 320 , 500 , 120 
Çankırı, 116 , 124 , 169 , 238 , 313 , 410 , 320 , 500 , 120 
Çorum, 112 , 113 , 162 , 207 , 284 , 363 , 320 , 500 , 120 
Denizli, 109 , 112 , 138 , 158 , 206 , 218 , 320 , 500 , 120 
Diyarbakır, 113 , 135 , 182 , 273 , 311 , 286 , 320 , 500 , 120 
Edirne, 98 , 112 , 146 , 187 , 284 , 283 , 320 , 500 , 120 
Elazığ, 114 , 129 , 168 , 182 , 190 , 223 , 320 , 500 , 120 
Erzincan, 109 , 135 , 218 , 341 , 444 , 477 , 320 , 500 , 120 
Erzurum, 99 , 115 , 153 , 200 , 236 , 282 , 320 , 500 , 120 
Eskişehir, 105 , 122 , 143 , 180 , 237 , 287 , 320 , 500 , 120 
Gaziantep, 122 , 123 , 155 , 260 , 504 , 437 , 320 , 500 , 120 
Giresun, 82 , 94 , 125 , 150 , 166 , 194 , 320 , 500 , 120 
Gümüşhane, 91 , 116 , 151 , 186 , 189 , 263 , 320 , 500 , 120 
Hakkari, 130 , 155 , 196 , 256 , 251 , 242 , 320 , 500 , 120 
Hatay, 109 , 140 , 187 , 237 , 309 , 315 , 320 , 500 , 120 
Isparta, 109 , 111 , 126 , 160 , 214 , 266 , 320 , 500 , 120 
İçel, 112 , 122 , 151 , 216 , 282 , 333 , 320 , 500 , 120 
İstanbul, 118 , 130 , 141 , 157 , 179 , 188 , 320 , 500 , 120 
İzmir, 100 , 104 , 123 , 162 , 215 , 239 , 320 , 500 , 120 
Kars, 107 , 171 , 207 , 280 , 301 , 245 , 320 , 500 , 120 
Kastamonu, 102 , 104 , 136 , 159 , 208 , 270 , 320 , 500 , 120 
Kayseri, 137 , 136 , 209 , 297 , 381 , 355 , 320 , 500 , 120 
Kırklareli, 102 , 120 , 148 , 203 , 240 , 271 , 320 , 500 , 120 
Kırşehir, 123 , 133 , 186 , 269 , 316 , 297 , 320 , 500 , 120 
Kocaeli, 133 , 118 , 129 , 143 , 204 , 235 , 320 , 500 , 120 
Konya, 116 , 130 , 176 , 201 , 278 , 296 , 320 , 500 , 120 
Kütahya, 92 , 105 , 122 , 136 , 202 , 260 , 320 , 500 , 120 
Malatya, 126 , 144 , 214 , 238 , 334 , 293 , 320 , 500 , 120 
Manisa, 103 , 113 , 139 , 159 , 193 , 190 , 320 , 500 , 120 
Kahramanmaraş, 122 , 133 , 173 , 273 , 370 , 396 , 320 , 500 , 120 
Mardin, 120 , 160 , 248 , 367 , 521 , 330 , 320 , 500 , 120 
Muğla, 80 , 96 , 147 , 201 , 370 , 363 , 320 , 500 , 120 
Muş, 108 , 134 , 173 , 219 , 299 , 301 , 320 , 500 , 120 
Nevşehir, 114 , 132 , 175 , 206 , 267 , 297 , 320 , 500 , 120 
Niğde, 116 , 154 , 179 , 245 , 294 , 301 , 320 , 500 , 120 
Ordu, 82 , 100 , 123 , 138 , 161 , 180 , 320 , 500 , 120 
Rize, 102 , 111 , 126 , 173 , 188 , 189 , 320 , 500 , 120 
Sakarya, 107 , 116 , 139 , 193 , 279 , 357 , 320 , 500 , 120 
Samsun, 115 , 163 , 142 , 160 , 193 , 214 , 320 , 500 , 120 
Siirt, 111 , 133 , 183 , 258 , 312 , 314 , 320 , 500 , 120 
Sinop, 95 , 122 , 137 , 160 , 196 , 214 , 320 , 500 , 120 
Sivas, 120 , 129 , 165 , 212 , 267 , 304 , 320 , 500 , 120 
Tekirdağ, 132 , 114 , 104 , 171 , 231 , 255 , 320 , 500 , 120 
Tokat, 97 , 108 , 136 , 173 , 224 , 239 , 320 , 500 , 120 
Trabzon, 103 , 104 , 132 , 151 , 175 , 190 , 320 , 500 , 120 
Tunceli, 102 , 131 , 192 , 240 , 282 , 231 , 320 , 500 , 120 
Şanlıurfa, 118 , 146 , 220 , 266 , 355 , 292 , 320 , 500 , 120 
Uşak, 144 , 126 , 142 , 166 , 266 , 223 , 320 , 500 , 120 
Van, 112 , 142 , 191 , 290 , 370 , 314 , 320 , 500 , 120 
Yozgat, 125 , 136 , 176 , 235 , 313 , 325 , 320 , 500 , 120 
Zonguldak, 95 , 116 , 134 , 155 , 187 , 225 , 320 , 500 , 120 
Aksaray, 117 , 130 , 163 , 227 , 320 , 409 , 320 , 500 , 120 
Bayburt, 131 , 141 , 173 , 203 , 219 , 251 , 320 , 500 , 120 
Karaman, 100 , 117 , 156 , 173 , 236 , 261 , 320 , 500 , 120 
Kırıkkale, 102 , 118 , 155 , 204 , 255 , 279 , 320 , 500 , 120 
Batman, 119 , 145 , 184 , 227 , 343 , 308 , 320 , 500 , 120 
Şırnak, 137 , 192 , 291 , 457 , 334 , 486 , 320 , 500 , 120 
Bartın, 81 , 107 , 121 , 149 , 187 , 213 , 320 , 500 , 120 
Ardahan, 142 , 144 , 227 , 321 , 451 , 339 , 320 , 500 , 120 
Iğdır, 112 , 160 , 193 , 242 , 271 , 262 , 320 , 500 , 120 
Yalova, 119 , 119 , 135 , 187 , 223 , 254 , 320 , 500 , 120 
Karabük, 108 , 110 , 123 , 194 , 215 , 261 , 320 , 500 , 120 
Kilis, 93 , 116 , 157 , 235 , 234 , 232 , 320 , 500 , 120 
Osmaniye, 98 , 127 , 163 , 215 , 321 , 301 , 320 , 500 , 120 
Düzce, 117 , 124 , 154 , 188 , 269 , 296 , 320 , 500 , 120 
