Province,Frame,Wall,Other
ADANA,1900,1200,900
ADIYAMAN,2400,1500,1100
AFYONKARAHİSAR,1900,1200,900
AĞRI,1400,1000,700
AMASYA,1900,1200,900
ANKARA,2000,1300,1000
ANTALYA,1700,1100,800
ARTVİN,1700,1100,800
AYDIN,2000,1300,1000
BALIKESİR,2200,1400,1000
BİLECİK,1800,1200,900
BİNGÖL,1800,1200,900
BİTLİS,1900,1200,900
BOLU,1700,1100,800
BURDUR,1900,1200,900
BURSA,2000,1300,1000
ÇANAKKALE,2200,1400,1000
ÇANKIRI,1600,1000,800
ÇORUM,1800,1200,900
DENİZLİ,1700,1100,800
DİYARBAKIR,2000,1300,1000
EDİRNE,1900,1200,900
ELAZIĞ,1800,1200,900
ERZİNCAN,1600,1000,800
ERZURUM,1400,1000,700
ESKİŞEHİR,2000,1300,1000
GAZİANTEP,2000,1300,1000
GİRESUN,1600,1000,800
GÜMÜŞHANE,1500,1000,700
HAKKARİ,1800,1200,900
HATAY,1900,1200,900
ISPARTA,1900,1200,900
MERSİN,1800,1200,900
İSTANBUL,2100,1400,1000
İZMİR,1700,1100,800
KARS,1600,1000,800
KASTAMONU,1600,1000,800
KAYSERİ,2100,1400,1000
KIRKLARELİ,1900,1200,900
KIRŞEHİR,1900,1200,900
KOCAELİ,1600,1000,800
KONYA,1700,1100,800
KÜTAHYA,2000,1300,1000
MALATYA,1600,1000,800
MANİSA,2200,1400,1000
KAHRAMANMARAŞ,2100,1400,1000
MARDİN,2100,1400,1000
MUĞLA,2200,1400,1000
MUŞ,1900,1200,900
NEVŞEHİR,1900,1200,900
NİĞDE,1800,1200,900
ORDU,1300,1000,600
RİZE,1600,1000,800
SAKARYA,1900,1200,900
SAMSUN,2100,1400,1000
SİİRT,2100,1400,1000
SİNOP,1800,1200,900
SİVAS,1900,1200,900
TEKİRDAĞ,1900,1200,900
TOKAT,1800,1200,900
TRABZON,1500,1000,700
TUNCELİ,1800,1200,900
ŞANLIURFA,2000,1300,1000
UŞAK,2200,1400,1000
VAN,2300,1500,1100
YOZGAT,1900,1200,900
ZONGULDAK,2100,1400,1000
AKSARAY,1900,1200,900
BAYBURT,1600,1000,800
KARAMAN,1800,1200,900
KIRIKKALE,1900,1200,900
BATMAN,2100,1400,1000
ŞIRNAK,2100,1400,1000
BARTIN,2200,1400,1000
ARDAHAN,1400,1000,700
IĞDIR,1500,1000,700
YALOVA,1900,1200,900
KARABÜK,2300,1500,1100
KİLİS,2300,1500,1100
OSMANİYE,1900,1200,900
DÜZCE,1600,1000,800
