ID_0,NAME_0,OCCUPANCY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
BRN,Brunei,Com,2412.0,268529435.8974359,229310150.64102563,179255349.35897437,3539.0,0.0,654840.0,677094935.8974359,271.4925373134328,1033.985303123566
BRN,Brunei,Ind,1397.0,88929424.24242425,44506951.515151516,37397048.484848484,1397.0,0.0,202190.0,170833424.24242425,144.73156764495346,844.9152986914498
BRN,Brunei,Res,59073.0,1411230844.537815,2350351784.8739495,2386316715.1260505,65393.0,393371.8,6472477.5,6147899344.537815,109.5674419785689,949.8525633403616
KHM,Cambodia,Com,58209.0,1226277828.5714285,1346182028.5714285,937112571.4285715,63541.0,0.0,7199710.0,3509572428.5714283,123.68723049700218,487.46024889494555
KHM,Cambodia,Ind,6499.0,574890294.4055943,382232574.96503496,277375525.03496504,6499.0,0.0,1683830.0,1234498394.4055943,259.0906293275889,733.1490675457703
KHM,Cambodia,Res,3136776.0,12791790092.307692,18914805876.923077,23463202123.076923,3389682.0,15626441.9,242931860.0,55169798092.30769,77.4463525607184,227.09988756644637
IDN,Indonesia,Com,4502051.831016505,114539366068.0,126019940440.0,96645610506.0,6412977.0,0.0,466634733.0389048,337204940663.0,103.64934713191533,722.6314648011556
IDN,Indonesia,Ind,832743.0159588861,59581786159.0,39772472941.0,32054384622.0,832294.0,0.0,153257542.52161112,131408649187.0,184.0394210273121,857.4367500931958
IDN,Indonesia,Res,40297160.0,418212865295.0,692008958927.0,727203792014.0,72265295.0,279134501.5812956,4549834306.324166,1837425621960.0,112.90707102744129,403.844513503716
LAO,Laos,Com,89001.0,449931445.4212454,466668383.8827839,384277416.1172161,96286.0,0.0,5380260.0,1300877245.4212453,60.45168031819867,241.78705962560272
LAO,Laos,Ind,25257.0,458229493.006993,315333793.7062937,221893706.2937063,25257.0,0.0,3412300.0,995456993.0069929,135.10313972364096,291.7261064405219
LAO,Laos,Res,1148643.0,3524425860.576923,6167144862.980769,7579355387.019231,1183370.0,6492225.6,81769635.0,17270926110.576923,71.18803231291184,211.214420983742
MYS,Malaysia,Com,519942.0,27379068970.862473,22775669432.10956,19125946567.89044,800311.0,0.0,67378600.0,69280684970.86247,129.58868489177638,1028.2298084386211
MYS,Malaysia,Ind,90685.0,14199129000.0,7070531866.666667,5827490633.333333,90685.0,0.0,31101550.0,27097151500.0,342.9624524452776,871.2476227069069
MYS,Malaysia,Res,5971742.0,131760933272.05882,226090435426.47058,187839726448.52942,7288273.0,27484595.6,757332600.0,545691095147.05884,126.81937699250905,720.543517005684
MMR,Myanmar,Com,58517.0,3493421809.523809,3861985509.5238094,2595502990.4761906,74842.0,0.0,9624850.0,9950910309.52381,164.47955295042468,1033.87692374674
MMR,Myanmar,Ind,50991.0,1827148636.3636363,1209680597.7272727,875170902.2727273,50991.0,0.0,13242200.0,3912000136.363636,259.69680924084645,295.4192004624334
MMR,Myanmar,Res,12097225.0,28413575543.49853,42279760176.836334,46398784510.81405,12364081.0,54823766.798160166,663389884.0398645,117092120230.81361,54.838186777534894,176.5057367437597
PHL,Philippines,Com,510200.0,7459132483.516483,7718873021.978022,7926100978.021978,726228.0,0.0,38614020.0,23104106483.516483,75.68408467267739,598.3346588497257
PHL,Philippines,Ind,119337.0,3015766209.79021,1920279888.8111887,2485478111.1888113,119337.0,0.0,10862740.0,7421524209.79021,91.02575060542833,683.2092280391696
PHL,Philippines,Res,26458339.0,76128443095.31435,96252465540.0912,139852830594.45114,26685764.0,112509012.52923657,1319463915.7578979,312233739229.8567,49.869491647147534,236.6368155286082
SGP,Singapore,Com,7901.0,62938898604.0,93230653642.0,32647144763.0,0.0,0.0,66315848.0,188816697009.0,8393.348690039236,2847.2333944821153
SGP,Singapore,Ind,9231.0,73947134562.0,51763000183.0,22184134379.0,0.0,0.0,57534881.0,147894269124.0,6232.789621926118,2570.514904236962
SGP,Singapore,Res,93244.0,189747442725.0,607726505325.0,151263265575.0,1383686.0,5463667.0,370704912.0,948737213625.0,3975.6436017330875,2559.278776497572
THA,Thailand,Com,1196999.0,56704653687.64569,47971424827.214455,38791619672.785545,1796146.0,0.0,157489410.0,143467698187.6457,131.57021016725994,910.96727194321
THA,Thailand,Ind,456759.0,61455060505.05051,30646924689.89899,24626271810.10101,456759.0,0.0,112352790.0,116728257005.0505,245.97827300611482,1038.9439995664595
THA,Thailand,Res,16697004.0,273221970894.11765,386267071895.79834,402733254504.2017,20246746.0,66433649.2,1635640288.5,1062222297294.1177,97.9601064059157,649.4229230977503
TLS,Timor_Leste,Com,13285.749999899,253214317.94463596,276028278.5855366,222759859.88157946,0.0,0.0,2780231.024910106,752002456.4131733,209.26413826327015,270.4820029973905
TLS,Timor_Leste,Ind,4122.783333304,148142121.63917342,94755358.64248584,68077645.87117483,0.0,0.0,843119.39584602,310975126.1565436,204.5024750719422,368.83877620262626
TLS,Timor_Leste,Res,196935.124999811,1010980057.1351404,2061934417.1371686,2522522622.4100766,204596.999999558,1185067.00000128,18948950.0000297,5595437096.737848,96.21924986742658,295.2900871409275
VNM,Vietnam,Com,1078526.0,15280253504.761904,16725483304.761906,12774693095.238094,1459825.0,0.0,132401260.0,44780429904.7619,122.76130570797551,338.2175509867648
VNM,Vietnam,Ind,74784.0,2342078748.7179484,1622754007.1794872,1863119592.8205128,74784.0,0.0,9421280.0,5827952348.717949,125.97988874625588,618.594537973391
VNM,Vietnam,Res,19635548.0,50627112122.4359,123525196034.8077,137862282365.19232,20866630.0,85846996.9,1565121899.0,312014590522.4359,79.70859275228784,199.35481748852325
