ID_0,NAME_0,OCCUPANCY,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
KHM,Cambodia,COM,97691.0,8097994788.0,1644108187.0,0.0,16581072.0,9742102935.0,9755477.0,0.0,170.0,488.0
KHM,Cambodia,IND,11315.0,1338300943.0,492127005.0,0.0,3160186.0,1830427946.0,1684238.0,0.0,279.0,423.0
KHM,Cambodia,RES,3656512.0,47843754234.0,10873771624.0,14908518.0,283733930.0,58717525845.0,57852197.0,3944644.0,78.0,169.0
