ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
VIR,US Virgin Islands,Com,RC,COM3-PC1-MC,2.0,1193036,999763,193272,0.0,727.0556639318678,2386069,363.5278319659339,3281.82437517411
VIR,US Virgin Islands,Com,RC,COM3-PC1-PC,0.6000000000000001,396148,331972,64176,0.0,241.4064594759293,792296,402.34409912654877,3282.0
VIR,US Virgin Islands,Com,RC,COM4-C1L-MC,8.1,13375087,10806949,2567989,0.0,6467.6158091552115,26750025,798.4710875500261,4135.994745101293
VIR,US Virgin Islands,Com,RC,COM4-C1L-PC,2.3000000000000003,4108360,3319517,788795,0.0,1986.6112185686652,8216672,863.7440080733326,4136.024161748183
VIR,US Virgin Islands,Com,RC,COM4-C2L-MC,11.9,19795130,15994285,3800621,0.0,9572.070313797109,39590037,804.3756566216057,4135.995213379829
VIR,US Virgin Islands,Com,RC,COM4-C2L-PC,4.3,6899152,5574452,1324623,0.0,3336.125971679866,13798226,775.8432492278758,4136.002692084217
VIR,US Virgin Islands,Com,RC,COM4-PC1-MC,3.9,6368448,5145648,1222728,0.0,3079.500450573112,12736824,789.6155001469518,4136.00329158244
VIR,US Virgin Islands,Com,RC,COM4-PC1-PC,1.3,2476818,2001244,475542,0.0,1197.6721470019343,4953605,921.2862669245648,4136.027553450318
VIR,US Virgin Islands,Com,RC,COM5-C1L-MC,0.1,361820,311889,49931,0.0,121.53846153846152,723640,1215.384615384615,5954.000000000001
VIR,US Virgin Islands,Com,RC,COM5-C2L-MC,0.1,535494,461595,73898,0.0,179.87672153174336,1070987,1798.7672153174335,5954.005559363054
VIR,US Virgin Islands,Com,RC,COM7-C1L-MC,0.1,375730,214411,36069,0.0,94.23626787057938,626210,942.3626787057938,6645.106116256787
VIR,US Virgin Islands,Com,RC,COM7-C2L-MC,0.2,976740,583145,98099,0.0,256.2994732881866,1657985,1281.497366440933,6468.936430999759
VIR,US Virgin Islands,Com,RC,COM8-C1L-MC,6.8,7758330,7006383,778487,0.0,2918.5056592642986,15543200,429.19200871533803,5325.739201724952
VIR,US Virgin Islands,Com,RC,COM8-C1L-PC,2.1,2392935,2161283,240142,0.0,900.2960472528714,4794363,428.71240345374827,5325.318282390925
VIR,US Virgin Islands,Com,RC,COM8-C2L-MC,9.9,11482328,10369446,1152161,0.0,4319.388150429383,23003936,436.30183337670536,5325.739479493923
