ID_0,NAME_0,OCCUPANCY,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
KAZ,Kazakhstan,COM,218953.0,21714622367.0,5514330920.0,0.0,36762211.0,27228953286.0,23557159.0,0.0,168.0,591.0
KAZ,Kazakhstan,IND,50336.0,5594144714.0,2234704193.0,0.0,10727692.0,7828848889.0,6074334.0,0.0,213.0,521.0
KAZ,Kazakhstan,RES,2681948.0,207231056955.0,44157271872.0,20843754.0,382745986.0,251388328872.0,183282558.0,6349331.0,143.0,541.0
KGZ,Kyrgyzstan,COM,78471.0,11228079000.0,2544712216.0,0.0,29647525.0,13772791216.0,17814093.0,0.0,378.0,379.0
KGZ,Kyrgyzstan,IND,21260.0,824732000.0,281123714.0,0.0,1946990.0,1105855714.0,1116885.0,0.0,92.0,424.0
KGZ,Kyrgyzstan,RES,843633.0,31772075702.0,5684449554.0,7279149.0,128201970.0,37456524745.0,41681970.0,1417628.0,152.0,248.0
TJK,Tajikistan,COM,70230.0,3993306307.0,878737607.0,0.0,11402871.0,4872044282.0,6371068.0,0.0,162.0,350.0
TJK,Tajikistan,IND,17476.0,1966121651.0,663050419.0,0.0,4590563.0,2629172115.0,2642304.0,0.0,263.0,428.0
TJK,Tajikistan,RES,1376394.0,28436529893.0,5041378969.0,10498996.0,133187109.0,33477904377.0,47033944.0,1724820.0,97.0,214.0
TKM,Turkmenistan,COM,59932.0,5530394368.0,1381582211.0,0.0,10231454.0,6911976577.0,6513083.0,0.0,171.0,541.0
TKM,Turkmenistan,IND,7356.0,521973052.0,206089393.0,0.0,1168528.0,728062445.0,664722.0,0.0,159.0,447.0
TKM,Turkmenistan,RES,608399.0,31555163730.0,7291306123.0,7618847.0,104176834.0,38846469849.0,48532105.0,1302205.0,171.0,303.0
UZB,Uzbekistan,COM,616694.0,54447775251.0,12302448038.0,0.0,105278079.0,66750223268.0,55082126.0,0.0,171.0,517.0
UZB,Uzbekistan,IND,203850.0,16750524110.0,6370625583.0,0.0,41599379.0,23121149695.0,20570209.0,0.0,204.0,403.0
UZB,Uzbekistan,RES,4985056.0,242299662204.0,43808069604.0,37053428.0,674808248.0,286107731804.0,271692010.0,7938918.0,135.0,359.0
