ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
USA,United States,01,Alabama,Com,95399.7,93841269600,69561486800,18390080800,0.0,50145807.85600221,181792837200,525.6390518628697,3625.284843790592
USA,United States,01,Alabama,Ind,22711.0,37906846900,22611491500,4211110800,0.0,17566286.404834375,64729449200,773.4704066238552,3684.8681450500526
USA,United States,01,Alabama,Res,1892167.6,267617682988,415477187482,119577494043,4488437.116377259,287893449.6391138,802672379611,152.1500789037471,2788.088373032393
USA,United States,02,Alaska,Com,11083.8,16326282700,12359015500,3025282000,0.0,5890119.77911132,31710580200,531.4170031136723,5383.690211607951
USA,United States,02,Alaska,Ind,2212.9,3443870300,2185999400,407128800,0.0,1109316.929254173,6036998500,501.29555300925165,5442.086333306798
USA,United States,02,Alaska,Res,248178.5,49591087060,77869619826,21293428788,651109.394357596,43817997.01514968,148754138402,176.55839250841504,3394.818306061995
USA,United States,04,Arizona,Com,75931.1,84513512200,63884208700,15945728500,0.0,41129801.12468502,164343449400,541.6726627782953,3995.7268186586343
USA,United States,04,Arizona,Ind,15725.3,20604894700,12770667000,2378313600,0.0,9665500.864519706,35753875300,614.6465164111149,3699.1228702121343
USA,United States,04,Arizona,Res,2319777.8,372017831052,579224071830,164659129172,5909327.698658829,361004500.8035366,1115901051114,155.62029294509873,3091.1001071459996
USA,United States,05,Arkansas,Com,51140.3,47828015300,34980726300,9622258100,0.0,27015169.31133049,92430999700,528.2559803389986,3421.448099576904
USA,United States,05,Arkansas,Ind,11961.2,18373881500,10921991600,2034190600,0.0,8858987.316983031,31330063700,740.6436910162049,3536.5287903662556
USA,United States,05,Arkansas,Res,1159212.0,162305249389,251728663081,72728360441,2746596.3166961763,190474488.84692413,486762278650,164.31376559846183,2555.5247928303365
USA,United States,06,California,Com,470456.0,715098248800,537512822600,138914820200,0.0,295239942.0213887,1391525891600,627.5612214986921,4713.203376456397
USA,United States,06,California,Ind,91507.5,230150727300,136072857700,25341854200,0.0,81889272.61164661,391565439200,894.8913762439867,4781.64510090312
USA,United States,06,California,Res,10047339.8,2088851454603,3284370646363,892771181199,34151868.572833486,1844331286.1678014,6265993408387,183.5641396509553,3397.433777424359
USA,United States,08,Colorado,Com,94149.6,100454766100,75887133400,18910009300,0.0,46772553.5052458,195251908800,496.7897208829968,4174.497524025525
USA,United States,08,Colorado,Ind,23549.5,26886735200,16809276900,3130613200,0.0,12003049.236785294,46826625300,509.69444093442723,3901.2274611431403
USA,United States,08,Colorado,Res,1716380.2,322566225957,503737558258,141256758437,4670989.470243109,291328305.96432805,967560560430,169.73413347714455,3321.203400497835
USA,United States,09,Connecticut,Com,74089.5,120688210500,90343630000,22599076500,0.0,46343880.59991828,233630917000,625.5121251988242,5041.246308588408
USA,United States,09,Connecticut,Ind,22622.0,43362978100,26234834600,4886047400,0.0,15888525.129652496,74483860100,702.3483834166959,4687.902715462997
USA,United States,09,Connecticut,Res,1093629.8,243771048166,384736920264,102734218083,3289405.36333307,193101604.45296007,731242201179,176.56944283427543,3786.826128402947
USA,United States,10,Delaware,Com,16246.1,23073956100,17294412200,4300873200,0.0,9464728.145558774,44669241500,582.5846292684874,4719.548286335153
USA,United States,10,Delaware,Ind,3602.1,7256527200,4418538800,822945500,0.0,2579038.7520731837,12498011500,715.9819971886354,4845.996009153938
USA,United States,10,Delaware,Res,345198.7,66388523461,103255038560,29499829838,842910.7495916818,60396856.72811231,199143394722,174.96258452917786,3297.2476633756132
USA,United States,11,District of Columbia,Com,11815.5,26762179600,20642976900,4633346900,0.0,10803154.94112858,52038503400,914.3205908449562,4816.972790224895
USA,United States,11,District of Columbia,Ind,1150.8,2139549100,1284726300,239280600,0.0,939731.6615012285,3663556000,816.5899039809076,3898.5128947847106
USA,United States,11,District of Columbia,Res,130668.1,43926419274,71089149153,16756683525,522799.3745727499,37003155.596791826,131772255662,283.18430892307936,3561.1086010573827
USA,United States,12,Florida,Com,399079.7,435285169800,326357580900,82765724600,0.0,216479637.93329516,844408475300,542.4471300677412,3900.636953024614
USA,United States,12,Florida,Ind,90123.0,90690657200,58037801900,10809000800,0.0,46414365.711505376,159537459900,515.0113257604094,3437.2431348437717
USA,United States,12,Florida,Res,6620169.8,1223683445724,1922666386392,524246200722,17427554.424995054,1206611544.161839,3670596102370,182.26292989672848,3042.0694382795286
USA,United States,13,Georgia,Com,173666.9,194738057800,145745506400,38242898200,0.0,101363638.43238752,378726462400,583.6669994822705,3736.3147994398555
USA,United States,13,Georgia,Ind,43270.8,66298352900,40189705400,7484830600,0.0,31069889.72534599,113972888900,718.0336329660184,3668.274651358802
USA,United States,13,Georgia,Res,3390107.0,591410042100,920653135971,261891208712,9089973.711678108,580967421.6684757,1773954415505,171.37141148302274,3053.4490392084194
USA,United States,15,Hawaii,Com,13257.6,26898202500,20161857300,5067410400,0.0,9960018.782772822,52127470200,751.2686144379693,5233.671877221898
USA,United States,15,Hawaii,Ind,2110.1,3400157800,2226214900,414615500,0.0,1290069.3273511287,6040988200,611.3782888731002,4682.684931672494
USA,United States,15,Hawaii,Res,344485.9,85252597195,135348164437,35142272520,1231498.757795126,70325395.3516271,255743038926,204.1459326829548,3636.567382910318
USA,United States,16,Idaho,Com,31423.5,26501545200,19826723800,5217547400,0.0,12972691.944229014,51545816400,412.834087362293,3973.409422007472
USA,United States,16,Idaho,Ind,7503.2,8064052100,5046662400,939888300,0.0,3470455.726767997,14050602800,462.5300840665312,4048.6333514143967
USA,United States,16,Idaho,Res,590465.3,82006091900,127068016147,36861469124,1461600.5867121646,85158041.12188062,245935583302,144.22192315429987,2887.9901423520296
USA,United States,17,Illinois,Com,224048.7,336148881900,251050251400,64339303600,0.0,128871049.09757416,651538436900,575.1921305393611,5055.739372515626
USA,United States,17,Illinois,Ind,55151.4,148379671700,87714212300,16335910500,0.0,49940971.05526744,252429794500,905.5249922081296,5054.563200636352
