ID_0,NAME_0,OCCUPANCY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD,ID_1,NAME_1,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
USA,United States,Ind,1290069.3274,2110.1,3400157800,2226214900,414615500,0.0,6040988200,15,Hawaii,611.3782888962609,4682.6849314951005
USA,United States,Res,70325395.3516,344485.9,85252597195,135348164437,35142272520,1231498.7578,255743038926,15,Hawaii,204.14593268287615,3636.567382911719
USA,United States,Com,12972691.9442,31423.5,26501545200,19826723800,5217547400,0.0,51545816400,16,Idaho,412.83408736136965,3973.4094220163593
USA,United States,Ind,3470455.7268,7503.2,8064052100,5046662400,939888300,0.0,14050602800,16,Idaho,462.5300840707965,4048.633351377062
USA,United States,Res,85158041.1219,590465.3,82006091900,127068016147,36861469124,1461600.5867,245935583302,16,Idaho,144.2219231543327,2887.990142351372
USA,United States,Com,128871049.0976,224048.7,336148881900,251050251400,64339303600,0.0,651538436900,17,Illinois,575.1921305394765,5055.739372514612
USA,United States,Ind,49940971.0553,55151.4,148379671700,87714212300,16335910500,0.0,252429794500,17,Illinois,905.5249922087199,5054.563200633057
USA,United States,Res,678623746.8663,3883356.2,844601477014,1334724169062,354090939451,11893550.2473,2533416610990,17,Illinois,174.75186717775205,3733.1682286224573
USA,United States,Com,69461854.8075,126121.1,149944103400,110785870000,28363032100,0.0,289093005500,18,Indiana,550.7552249980376,4161.895853503552
USA,United States,Ind,32154242.6706,34801.6,76752487500,45356630800,8447387000,0.0,130556505300,18,Indiana,923.9300109937475,4060.3197107600795
USA,United States,Res,359850242.2371,2377663.3,398905967235,621175775029,176403741956,6093089.4369,1196485497761,18,Indiana,151.34617346244946,3324.953987310792
USA,United States,Com,44799703.0815,79288.9,87650966000,63970981100,18217732000,0.0,169839679100,19,Iowa,565.0185975779713,3791.0893916199893
USA,United States,Ind,11643912.9538,18024.9,26586097200,16026747100,2984692100,0.0,45597536400,19,Iowa,645.9904328900576,3915.9977046306594
USA,United States,Res,175629241.6081,1135023.8,194328704076,302469904911,86029846147,2861496.1747,582828463268,19,Iowa,154.7361752309511,3318.5160849724925
USA,United States,Com,29464161.623,58315.1,62494019900,46081976200,11788258300,0.0,120364254400,20,Kansas,505.2578427028334,4085.1070510705636
USA,United States,Ind,9951852.4675,13372.3,22751478100,13594375600,2531743500,0.0,38877597200,20,Kansas,744.2139697359466,3906.568885236542
USA,United States,Res,161684913.5464,1059563.1,180076168376,279780308806,80213709652,2681659.7412,540070193290,20,Kansas,152.59583270349825,3340.2633643677073
USA,United States,Com,46086536.8976,83664.4,95768730200,71444041500,18487878500,0.0,185700650200,21,Kentucky,550.8500257887465,4029.39041856431
USA,United States,Ind,17082037.0181,20675.2,40752154300,24281626200,4522297000,0.0,69556077500,21,Kentucky,826.2090339198653,4071.8842504731074
USA,United States,Res,255634204.3691,1658544.4,242385797952,377738983662,106906986332,4083095.5463,727031776799,21,Kentucky,154.13166169630432,2844.0316842313787
USA,United States,Com,41874294.5526,82449.5,81885238500,60721098100,15408799900,0.0,158015136500,22,Louisiana,507.87808965002813,3773.5593683019733
USA,United States,Ind,9320220.018,15825.7,20605785200,12645499100,2355143700,0.0,35606428000,22,Louisiana,588.9294007847993,3820.3420017160374
USA,United States,Res,283504157.3501,1685456.7,254519025138,395740323576,113133247854,4247647.4429,763392606001,22,Louisiana,168.20613507905603,2692.7033915001275
USA,United States,Com,14624340.1697,28111.3,31925888800,23765870700,6013303400,0.0,61705062900,23,Maine,520.2299491556777,4219.339962280555
USA,United States,Ind,4357592.2151,7388.9,9935209700,6093837100,1134894800,0.0,17163941600,23,Maine,589.7484355046082,3938.8590654543646
USA,United States,Res,87237237.7113,619774.6,87066015366,136201065912,37878184042,1242234.4866,261145271561,23,Maine,140.75639387496682,2993.5068832099596
USA,United States,Com,60711075.1169,100763.0,131794455000,98523540700,24628753500,0.0,254946749200,24,Maryland,602.5135726099858,4199.344991158476
USA,United States,Ind,15150174.7358,22367.6,36977279300,22672443300,4222624900,0.0,63872347500,24,Maryland,677.3267912426903,4215.947909106887
USA,United States,Res,368403495.82,1846023.9,442703339176,689820517647,195492662797,5370650.9541,1328016538716,24,Maryland,199.5659405168048,3604.788102675502
USA,United States,Com,84882061.7916,138857.6,231593867700,172223126400,42243765200,0.0,446060759300,25,Massachusetts,611.2885559854124,5255.065085425888
USA,United States,Ind,25958776.9526,35959.6,71949459400,43378322000,8078855200,0.0,123406636600,25,Massachusetts,721.8872554922747,4753.946490828018
USA,United States,Res,352723985.903,1915383.1,439977853160,701049224767,178762869805,5992875.1949,1319789974618,25,Massachusetts,184.15323070512628,3741.7074748666105
USA,United States,Com,110130837.4751,201755.7,244971130300,183292798000,46716109700,0.0,474980038000,26,Michigan,545.8623348688537,4312.870481052961
USA,United States,Ind,51043204.9241,60141.9,127657280400,75508026100,14062672000,0.0,217227978500,26,Michigan,848.7128761163182,4255.76683170684
USA,United States,Res,582557792.9972,3860373.3,653860932587,1018210917503,289206540659,9251673.9605,1961278411279,26,Michigan,150.90711382684157,3366.6675390066007
USA,United States,Com,54595951.0807,105006.6,129812533500,98271997200,25275298100,0.0,253359828800,27,Minnesota,519.9287576276158,4640.634035763949
USA,United States,Ind,21424005.9838,29161.2,58106183200,34639473700,6451005600,0.0,99196662500,27,Minnesota,734.6750471105441,4630.164058720327
USA,United States,Res,310571897.4222,1912831.7,380844262045,595031160025,166463095991,4930624.6023,1142338530857,27,Minnesota,162.3623748091377,3678.17738932146
USA,United States,Com,30224715.3497,59924.5,57334443400,41839582200,10886956600,0.0,110060982200,28,Mississippi,504.3799339118391,3641.423283117617
USA,United States,Ind,9610163.6618,13117.1,19159754900,11511217900,2143974300,0.0,32814947100,28,Mississippi,732.6439275297132,3414.6085597311985
USA,United States,Res,166544587.1576,1139993.1,147414223761,228756487675,65960986168,2792969.4323,442131702683,28,Mississippi,146.09262736555158,2654.734748386712
USA,United States,Com,59794119.2297,110053.9,134936681100,100578459800,26246886900,0.0,261762027800,29,Missouri,543.3166769164927,4377.721942762252
USA,United States,Ind,20609739.0184,25173.3,53811423900,32134770200,5984720300,0.0,91930914400,29,Missouri,818.7142336682119,4460.556939509314
USA,United States,Res,347799036.3638,2294567.5,378907854544,591486418265,166057195583,5621066.1134,1136451480287,29,Missouri,151.57498585846787,3267.5521248375876
USA,United States,Com,10171088.1255,23854.3,21595658500,16123651700,4013460100,0.0,41732770300,30,Montana,426.38384381432274,4103.07823362296
USA,United States,Ind,2033420.3531,5573.6,4213223300,2736069700,509553200,0.0,7458846200,30,Montana,364.8306934656236,3668.128032961214
USA,United States,Res,61134720.8152,423838.1,57374376648,89255375426,25420510609,923982.1657,172050266633,30,Montana,144.24073912939872,2814.2807285090753
USA,United States,Com,19468042.1517,40372.0,38977084900,29106049700,7705358700,0.0,75788493300,31,Nebraska,482.21644089220257,3892.969447540566
USA,United States,Ind,5505323.1848,8583.4,12451609300,7605841100,1416563200,0.0,21474013600,31,Nebraska,641.3918942144139,3900.5909152234663
USA,United States,Res,103312166.945,667819.0,116101153516,180688709938,51410506244,1707494.6681,348200374655,31,Nebraska,154.70084999827796,3370.371418502629
USA,United States,Com,17299280.547,27999.4,40149517200,30470111100,7719870600,0.0,78339498900,32,Nevada,617.8446876361636,4528.4830595793455
USA,United States,Ind,3492545.0592,4933.3,8305668800,5179967000,964650700,0.0,14450286500,32,Nevada,707.9531062777451,4137.466018351091
USA,United States,Res,150803815.4382,872189.8,169632110466,266922864512,72288262248,2502572.8647,508843245230,32,Nevada,172.9025212610833,3374.2067052575735
USA,United States,Com,15486363.0631,29905.8,33998556800,25488702200,6493496100,0.0,65980755100,33,New Hampshire,517.8381137806044,4260.571370512104
USA,United States,Ind,5800656.5737,9465.4,13741730600,8341931000,1553592300,0.0,23637253900,33,New Hampshire,612.8274107486213,4074.9273120512926
USA,United States,Res,78381825.3061,493258.0,89333809913,140062393616,38560381914,1232117.966,267956590960,33,New Hampshire,158.90634375134312,3418.6061617417645
USA,United States,Com,111657007.1215,170174.6,283040642300,210342775500,55118001900,0.0,548501419700,34,New Jersey,656.1320380450431,4912.377949582206
USA,United States,Ind,31125595.6841,42544.5,90050600900,54081761500,10072355800,0.0,154204718200,34,New Jersey,731.6009280659074,4954.273639131442
USA,United States,Res,460545579.4662,2559139.7,573930648059,907956641442,239750222337,8096041.0309,1721637540137,34,New Jersey,179.96109374810604,3738.256574153814
USA,United States,Com,14430459.8317,30039.6,28931295900,21866564200,5507387600,0.0,56305247700,35,New Mexico,480.38122450698415,3901.8332303113366
USA,United States,Ind,2908940.1337,6395.2,6314574500,3986859500,742457300,0.0,11043891300,35,New Mexico,454.86304317300477,3796.5344051109164
USA,United States,Res,111473134.4061,790256.4,104058946566,161445243188,46578541729,1921269.0463,312082737374,35,New Mexico,141.0594515983673,2799.6228780745782
USA,United States,Com,206473079.5973,315573.9,566685720900,425313423600,106028989300,0.0,1098028133800,36,New York,654.2780616435642,5318.0208090157175
USA,United States,Ind,49011783.168,66641.4,137010558100,82849607100,15429944400,0.0,235290109600,36,New York,735.4554851488715,4800.684537297592
USA,United States,Res,946012081.8536,4722965.3,1186445062825,1919377396840,453158238518,17225969.8091,3558980783630,36,New York,200.30045146713232,3762.088087349364
USA,United States,Com,97299916.8849,180816.0,177572866900,131907010300,34051878900,0.0,343531756100,37,North Carolina,538.115636253982,3530.6479912657846
USA,United States,Ind,37337824.2008,52147.4,74067870500,44519270900,8291206300,0.0,126878347700,37,North Carolina,716.0054806337421,3398.118407158859
USA,United States,Res,606476706.3583,3725653.0,582854549711,906095739561,259318165635,8974090.5013,1748268477900,37,North Carolina,162.78400225632927,2882.6638510121797
USA,United States,Com,7846468.9127,17749.2,15263258400,11368810700,2919012200,0.0,29551081300,38,North Dakota,442.07451111599397,3766.1630510215527
USA,United States,Ind,1846214.6384,3476.8,3863453100,2393284400,445698500,0.0,6702436000,38,North Dakota,531.0097326277037,3630.366621840127
USA,United States,Res,39883298.6233,247612.7,41754368978,65340874601,18113924239,632089.8026,125209169835,38,North Dakota,161.07129651790882,3139.388519931805
