ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
USA,United States,Com,MR,COM1-RM1L-HC,3222.8,3737002100,2638322700,1098674200,0.0,2297474.9573588367,7473999000,712.8816424720233,3253.1362207281963
USA,United States,Com,MR,COM1-RM1L-LC,9507.3,10376878200,7326033000,3050802300,0.0,6922308.96179019,20753713500,728.104610329977,2998.0911881507304
USA,United States,Com,MR,COM1-RM1L-LS,550.6,385386300,272086100,113300200,0.0,275086.71876030054,770772600,499.6126385039966,2801.925892582332
USA,United States,Com,MR,COM1-RM1L-MC,12434.2,13052162500,9214879700,3837298400,0.0,8155879.936682818,26104340600,655.9231745253268,3200.6774011704283
USA,United States,Com,MR,COM1-RM1L-MS,270.7,191041500,134877600,56166500,0.0,135126.2455160935,382085600,499.17342266750467,2827.6194498018053
USA,United States,Com,MR,COM1-RM1L-PC,26797.3,26271121500,18547278100,7723627600,0.0,18063888.578828633,52542027200,674.0936056553695,2908.6775513872844
USA,United States,Com,MR,COM1-RM2L-LC,696.0,633516000,447265000,186254900,0.0,503256.4273724973,1267035900,723.0695795581858,2517.674551351876
USA,United States,Com,MR,COM1-RM2L-LS,118.4,89406200,63126700,26289900,0.0,62915.19332969291,178822800,531.3783220413253,2842.283247274142
USA,United States,Com,MR,COM1-RM2L-MC,1625.9,2159662700,1524745300,634952500,0.0,1331377.8407793257,4319360500,818.8559202775851,3244.278496832763
USA,United States,Com,MR,COM1-RM2L-PC,7742.0,8568548300,6049330300,2519095800,0.0,5747075.910329959,17136974400,742.3244523805166,2981.8597609259887
USA,United States,Com,MR,COM2-RM1L-HC,3583.7,5279193400,3568702800,1710468500,0.0,3361083.337649643,10558364700,937.8807761948945,3141.3576038799774
USA,United States,Com,MR,COM2-RM1L-LC,3711.2,4830935200,3265723500,1565233800,0.0,3287575.743537453,9661892500,885.8524853248149,2938.9109951285077
USA,United States,Com,MR,COM2-RM1L-LS,401.0,288931500,195315900,93598700,0.0,212827.6999546486,577846100,530.7423939018668,2715.0887789659573
USA,United States,Com,MR,COM2-RM1L-MC,6621.0,8607380600,5818543900,2788786000,0.0,5557632.5916205235,17214710500,839.3947427307844,3097.489842339586
USA,United States,Com,MR,COM2-RM1L-MS,181.7,136128200,92017900,44106400,0.0,99716.17692809599,272252500,548.795690303225,2730.274147958136
USA,United States,Com,MR,COM2-RM1L-PC,16602.1,19830167500,13405198300,6424983500,0.0,13848703.04838523,39660349300,834.1536943148898,2863.8313032948186
USA,United States,Com,MR,COM2-RM2L-LC,2761.8,3980142400,2690624300,1289492100,0.0,2820902.5309528015,7960258800,1021.4000039658199,2821.883674694462
USA,United States,Com,MR,COM2-RM2L-LS,132.4,101385700,68532100,32848400,0.0,74349.88700985064,202766200,561.5550378387511,2727.189080638891
USA,United States,Com,MR,COM2-RM2L-MC,1093.2,2014612600,1361896900,652727400,0.0,1289052.2980542302,4029236900,1179.1550476163832,3125.7357875099115
USA,United States,Com,MR,COM2-RM2L-PC,7029.2,9342877700,6315771800,3027092900,0.0,6340323.82693725,18685742400,901.997926782173,2947.1274512214172
USA,United States,Com,MR,COM3-RM1L-HC,6964.8,5405806900,4530059300,875777500,0.0,2810419.872259743,10811643700,403.517670609313,3846.9852162363204
USA,United States,Com,MR,COM3-RM1L-LC,16855.0,11843874900,9925108700,1918714200,0.0,6621393.047801181,23687697800,392.8444406882931,3577.4492812907647
USA,United States,Com,MR,COM3-RM1L-LS,715.9,340185300,285070500,55116100,0.0,206027.68235187096,680371900,287.78835361345295,3302.3324450061286
USA,United States,Com,MR,COM3-RM1L-MC,18004.6,13062985000,10946728000,2116214100,0.0,6891130.210331478,26125927100,382.7427552031969,3791.2397970409684
USA,United States,Com,MR,COM3-RM1L-MS,347.6,167073400,139995700,27056900,0.0,100177.07728580985,334126000,288.1964248728707,3335.3538459374595
