ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD
USA,United States,Com,MR,MR/LWAL+DUH/H2/COM,16684355.142,28648.3,40698573500,31104812700,7529441400,0.0,79332827600
USA,United States,Com,MR,MR/LWAL+DUL/H2/COM,170148480.915,293439.4,382513339000,290708688400,72095125700,0.0,745317153100
USA,United States,Com,MR,MR/LWAL+DUM/H2/COM,49820286.67,91829.8,120416065900,92791149100,22119727500,0.0,235326942500
USA,United States,Com,MUR,MUR+CLBRH/LWAL+DNO/H2/COM,650656674.2142,1214389.7,1404733443100,1061222856200,269006396100,0.0,2734962695400
USA,United States,Com,RC,CR/LFINF+CDL+DUL/H2/COM,6468778.3844,5469.5,17765196800,10900947200,3209986000,0.0,31876130000
USA,United States,Com,RC,CR/LFINF+CDL+DUM/H2/COM,949132.5611,813.4,2524446600,1597590800,473068700,0.0,4595106100
USA,United States,Com,RC,CR/LFINF+CDM+DUM/H2/COM,169964.2694,402.0,373315800,291835700,68334500,0.0,733486000
USA,United States,Com,RC,CR/LFM+CDH+DUH/H2/COM,1698290.171,1791.6,4192784700,3005128100,858046800,0.0,8055959600
USA,United States,Com,RC,CR/LFM+CDL+DUL/H2/COM,47757668.199,71310.9,118275016600,84285094400,21546380700,0.0,224106491700
USA,United States,Com,RC,CR/LFM+CDL+DUM/H2/COM,10847214.3322,13002.4,32954006800,22908542800,5101618600,0.0,60964168200
USA,United States,Com,RC,CR/LFM+CDM+DUM/H2/COM,8706670.5057,13376.8,19578202800,14792923600,3994715400,0.0,38365841800
USA,United States,Com,RC,CR/LWAL+CDH+DUH/H2/COM,28321630.5916,42974.0,61731586800,45955716300,13232887200,0.0,120920190300
USA,United States,Com,RC,CR/LWAL+CDL+DUL/H2/COM,215948000.5112,335878.9,505559888600,356817048900,95317449500,0.0,957694387000
USA,United States,Com,RC,CR/LWAL+CDL+DUM/H2/COM,84771974.3483,125174.9,197810649400,139325234100,37346552100,0.0,374482435600
USA,United States,Com,RC,CR/LWAL+CDM+DUM/H2/COM,79691309.6881,129497.7,163577495900,123679069800,36698379900,0.0,323954945600
USA,United States,Com,S,S/LFBR+CDH+DUH/H3/COM,356151.6582,974.3,1204619000,1077411400,121083300,0.0,2403113700
USA,United States,Com,S,S/LFBR+CDL+DUL/H3/COM,136959299.624,225786.3,298888024500,221447187000,59820805200,0.0,580156016700
USA,United States,Com,S,S/LFBR+CDL+DUM/H3/COM,49749894.964,78233.4,103338162200,76912843800,20945135900,0.0,201196141900
USA,United States,Com,S,S/LFBR+CDM+DUM/H3/COM,6377802.2003,10928.4,15707216200,12773593300,2734669600,0.0,31215479100
USA,United States,Com,S,S/LFINF+CDL+DUL/H3/COM,166927629.415,285157.0,365150100900,270341477900,72130563700,0.0,707622142500
USA,United States,Com,S,S/LFINF+CDL+DUM/H3/COM,73459331.1249,118719.9,153737875200,114790910000,30907646900,0.0,299436432100
USA,United States,Com,S,S/LFINF+CDM+DUM/H3/COM,402486.6867,902.1,767399100,561342600,168711400,0.0,1497453100
USA,United States,Com,S,S/LFM+CDH+DUH/H2/COM,21373.0089,23.9,53353300,32999200,10396100,0.0,96748600
USA,United States,Com,S,S/LFM+CDH+DUH/H3/COM,4461771.3946,8472.8,13059794800,9724720200,1971139300,0.0,24755654300
USA,United States,Com,S,S/LFM+CDL+DUL/H2/COM,150583848.4719,287382.9,324681515600,242773113700,61452532700,0.0,628907162000
USA,United States,Com,S,S/LFM+CDL+DUL/H3/COM,172448053.8353,291466.4,386588936500,286215120100,75318402900,0.0,748122459500
