ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,MACRO_TAXONOMY,TAXONOMY,SETTLEMENT,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
UZB,Uzbekistan,UZ-BU,Buxoro Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,230.0,429717404.0,75832483.0,41731.0,781304.0,505549888.0,312302.0,9192.0,3397.0,550.0
UZB,Uzbekistan,UZ-NG,Namangan Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,81.0,151400700.0,26717771.0,14039.0,275274.0,178118471.0,110032.0,3239.0,3398.0,550.0
UZB,Uzbekistan,UZ-SI,Sirdaryo Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,377.0,702924079.0,124045426.0,80748.0,1278044.0,826969505.0,510858.0,15037.0,3390.0,550.0
UZB,Uzbekistan,UZ-AN,Andijon Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,116.0,216059745.0,38128190.0,25787.0,392836.0,254187935.0,157024.0,4621.0,3387.0,550.0
UZB,Uzbekistan,UZ-TO,Toshkent Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,475.0,887975823.0,156701616.0,82244.0,1614501.0,1044677438.0,645346.0,18994.0,3399.0,550.0
UZB,Uzbekistan,UZ-SU,Surxondaryo Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,77.0,143664950.0,25352638.0,14213.0,261209.0,169017588.0,104410.0,3073.0,3392.0,550.0
UZB,Uzbekistan,UZ-FA,Farg‘ona Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,304.0,569288500.0,100462676.0,66876.0,1035070.0,669751176.0,413737.0,12177.0,3405.0,550.0
UZB,Uzbekistan,UZ-SA,Samarqand Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,115.0,215150650.0,37967762.0,18229.0,391183.0,253118412.0,156363.0,4602.0,3402.0,550.0
UZB,Uzbekistan,UZ-XO,Xorazm Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,45.0,84411106.0,14896078.0,9279.0,153475.0,99307184.0,61347.0,1805.0,3411.0,550.0
UZB,Uzbekistan,UZ-QA,Qashqadaryo Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,114.0,213400000.0,37658824.0,15843.0,388000.0,251058824.0,155091.0,4565.0,3404.0,550.0
UZB,Uzbekistan,UZ-QR,Qoraqalpog‘iston Respublikasi,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,80.0,150182080.0,26502720.0,16832.0,273058.0,176684800.0,109147.0,3212.0,3413.0,550.0
UZB,Uzbekistan,UZ-NW,Navoiy Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,182.0,340161114.0,60028432.0,33910.0,618475.0,400189546.0,247216.0,7277.0,3398.0,550.0
UZB,Uzbekistan,UZ-JI,Jizzax Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,509.0,950605565.0,167753923.0,130336.0,1728374.0,1118359488.0,690863.0,20333.0,3396.0,550.0
UZB,Uzbekistan,UZ-TK,Toshkent,RES,CR-,CR+PC/LPB/CDL+ERL/H:5-9/RES,TOTAL,1549.0,2896290650.0,511110115.0,199638.0,5265983.0,3407400765.0,2104912.0,61953.0,3400.0,550.0
UZB,Uzbekistan,UZ-QA,Qashqadaryo Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:9-12/RES,TOTAL,55.0,142266850.0,25105915.0,10561.0,258667.0,167372765.0,103579.0,3043.0,4703.0,550.0
UZB,Uzbekistan,UZ-QR,Qoraqalpog‘iston Respublikasi,RES,CR-,CR+PC/LPB/CDL+ERL/H:9-12/RES,TOTAL,39.0,100121097.0,17668429.0,11219.0,182038.0,117789526.0,72894.0,2141.0,4668.0,550.0
UZB,Uzbekistan,UZ-SA,Samarqand Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:9-12/RES,TOTAL,56.0,143433950.0,25311874.0,12153.0,260789.0,168745824.0,104429.0,3068.0,4657.0,550.0
UZB,Uzbekistan,UZ-SI,Sirdaryo Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:9-12/RES,TOTAL,183.0,468615566.0,82696865.0,53832.0,852028.0,551312431.0,341181.0,10025.0,4656.0,550.0
UZB,Uzbekistan,UZ-BU,Buxoro Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:9-12/RES,TOTAL,112.0,286477852.0,50554915.0,27821.0,520869.0,337032767.0,208573.0,6128.0,4651.0,550.0
UZB,Uzbekistan,UZ-AN,Andijon Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:9-12/RES,TOTAL,56.0,144040246.0,25418867.0,17194.0,261891.0,169459113.0,104870.0,3081.0,4677.0,550.0
UZB,Uzbekistan,UZ-JI,Jizzax Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:9-12/RES,TOTAL,247.0,633737430.0,111836017.0,86899.0,1152250.0,745573448.0,461399.0,13557.0,4665.0,550.0
UZB,Uzbekistan,UZ-TO,Toshkent Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:9-12/RES,TOTAL,230.0,591983882.0,104467744.0,54827.0,1076334.0,696451626.0,431000.0,12662.0,4680.0,550.0
UZB,Uzbekistan,UZ-FA,Farg‘ona Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:9-12/RES,TOTAL,148.0,379525850.0,66975150.0,44584.0,690047.0,446501000.0,276318.0,8118.0,4662.0,550.0
UZB,Uzbekistan,UZ-NG,Namangan Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:9-12/RES,TOTAL,39.0,100933800.0,17811847.0,9358.0,183516.0,118745647.0,73486.0,2159.0,4706.0,550.0
UZB,Uzbekistan,UZ-TK,Toshkent,RES,CR-,CR+PC/LPB/CDL+ERL/H:9-12/RES,TOTAL,751.0,1930860250.0,340740044.0,133092.0,3510655.0,2271600294.0,1405784.0,41302.0,4675.0,550.0
UZB,Uzbekistan,UZ-XO,Xorazm Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:9-12/RES,TOTAL,22.0,56273665.0,9930647.0,6190.0,102316.0,66204312.0,40971.0,1204.0,4651.0,550.0
UZB,Uzbekistan,UZ-NW,Navoiy Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:9-12/RES,TOTAL,89.0,226774076.0,40018955.0,22607.0,412317.0,266793031.0,165105.0,4851.0,4633.0,550.0
UZB,Uzbekistan,UZ-SU,Surxondaryo Viloyati,RES,CR-,CR+PC/LPB/CDL+ERL/H:9-12/RES,TOTAL,37.0,95776450.0,16901726.0,9477.0,174139.0,112678176.0,69731.0,2049.0,4706.0,550.0
