ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
PRI,Puerto Rico,Com,MUR,COM1-URML-LC,203.4,146370150,103337325,43032825,0.0,148480.2716878161,292740300,729.9915028899513,1971.5770766872963
PRI,Puerto Rico,Com,MUR,COM1-URML-PC,68.9,48790050,34445774,14344276,0.0,49493.4238959387,97580100,718.3370667044803,1971.5770766872963
PRI,Puerto Rico,Com,MUR,COM2-URML-LC,130.3,142121100,96073857,46047243,0.0,137585.14041210138,284242200,1055.9105173607165,2065.9367657628186
PRI,Puerto Rico,Com,MUR,COM2-URML-PC,44.4,47373700,32024628,15349072,0.0,45861.71347070046,94747400,1032.9214745653258,2065.9367657628186
PRI,Puerto Rico,Com,MUR,COM3-URML-LC,98.5,121624500,101921335,19703165,0.0,100996.11605663612,243249000,1025.3412797628032,2408.4985591286695
PRI,Puerto Rico,Com,MUR,COM3-URML-PC,33.9,40541500,33973777,6567723,0.0,33665.372018878705,81083000,993.078820615891,2408.49855912867
PRI,Puerto Rico,Com,MUR,COM4-URML-LC,209.5,424401600,342916502,81485098,0.0,279585.84023955715,848803200,1334.538616895261,3035.9305724235574
PRI,Puerto Rico,Com,MUR,COM4-URML-PC,71.5,141465850,114304410,27161440,0.0,93194.37706981893,282931700,1303.4178611163486,3035.931017469375
PRI,Puerto Rico,Com,MUR,COM5-URML-LC,12.9,19540800,16844171,2696629,0.0,8685.3589908358,39081600,673.2836427004496,4499.710379413936
PRI,Puerto Rico,Com,MUR,COM5-URML-PC,5.0,6513600,5614724,898876,0.0,2895.1196636119334,13027200,579.0239327223867,4499.710379413936
PRI,Puerto Rico,Com,MUR,COM6-URML-LC,13.600000000000001,294588000,168895443,27494607,0.0,85746.61662419209,490978050,6304.898281190594,5725.917468578908
PRI,Puerto Rico,Com,MUR,COM6-URML-PC,6.1000000000000005,98196000,56298481,9164869,0.0,28582.20554139736,163659350,4685.607465802846,5725.917468578908
PRI,Puerto Rico,Com,MUR,COM7-URML-LC,67.3,234081600,133578755,22471195,0.0,79992.23411620485,390131550,1188.5918887994778,4877.117814127497
PRI,Puerto Rico,Com,MUR,COM7-URML-PC,23.6,78027200,44526252,7490398,0.0,26664.078038734955,130043850,1129.8338152006336,4877.117814127496
PRI,Puerto Rico,Com,MUR,COM8-URML-LC,67.1,194188650,174769785,19418865,0.0,99127.61384599243,388377300,1477.3116817584566,3917.9526766718545
PRI,Puerto Rico,Com,MUR,COM8-URML-PC,24.200000000000003,64729550,58256595,6472955,0.0,33042.53794866414,129459100,1365.3941301100883,3917.9526766718545
PRI,Puerto Rico,Com,MUR,COM9-URML-LC,2.1,3486900,3061499,425401,0.0,2121.1204024150234,6973800,1010.0573344833444,3287.7907317566264
PRI,Puerto Rico,Com,MUR,COM9-URML-PC,1.0,1162300,1020500,141800,0.0,707.0401341383412,2324600,707.0401341383412,3287.7907317566264
PRI,Puerto Rico,Com,RC,COM1-C1L-MC,186.8,141491145,99892747,41598398,0.0,143530.9292982222,282982290,768.3668591981916,1971.5770766872965
PRI,Puerto Rico,Com,RC,COM1-C1L-PC,55.4,39065091,27579954,11485134,0.0,39626.2763303565,78130175,715.2757460353159,1971.675924042018
PRI,Puerto Rico,Com,RC,COM1-C2L-MC,281.2,209406889,147841271,61565629,0.0,212425.7808425677,418813793,755.425963167026,1971.577043703513
PRI,Puerto Rico,Com,RC,COM1-C2L-PC,105.4,73575401,51944235,21631166,0.0,74636.08892447417,147150787,708.1222858109503,1971.5768754831859
PRI,Puerto Rico,Com,RC,COM1-PC1-MC,93.1,67915744,47948517,19967231,0.0,68894.84444598574,135831503,740.0090703113399,1971.577178122425
PRI,Puerto Rico,Com,RC,COM1-PC1-PC,37.300000000000004,24415680,17237471,7178209,0.0,24766.422709563838,48831360,663.979161114312,1971.675949031719
