ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD
KOR,South Korea,Res,ADO/E,MUR+ADO/LWAL+DLO/HEX:1/RMT7/RES,23318.2059,427,3299003.8123,10226911.8181,6268107.2433,1067.5,19794022.8737
KOR,South Korea,Res,ADO/E,MUR+ADO/LWAL+DLO/HEX:2/RMT7/RES,1023.0881,11,144744.0502,448706.5556,275013.6954,55.0,868464.3012
KOR,South Korea,Res,M,CLBRS+/LWAL+DLO/HEX:1/RES,77103.5384,744,12219307.0867,37879851.9687,23216683.4647,1860.0,73315842.5201
KOR,South Korea,Res,M,CLBRS+/LWAL+DLO/HEX:2/RES,918400.7542,3162,145547416.8026,451196992.0882,276540091.925,15810.0,873284500.8159
KOR,South Korea,Res,M,CLBRS+/LWAL+DLO/HEX:3/RES,1485768.3313,2414,235463376.5303,729936467.244,447380415.4076,18105.0,1412780259.1819
KOR,South Korea,Res,M,CLBRS+/LWAL+DLO/HEX:4/RES,126086.2563,133,19982049.0334,70936274.0686,28973971.0984,3192.0,119892294.2005
KOR,South Korea,Res,M,"M99+CLBRS/LWAL+DLO/HBET:10,5/RMT7/RES",43736581.7717,65167,11419446554.2756,40539035267.6783,16558197503.6996,4887525.0,68516679325.6535
KOR,South Korea,Res,M,"M99+CLBRS/LWAL+DLO/HBET:4,1/RMT7/RES",44305409.1913,101550,11567965118.2196,41066276169.6797,16773549421.4185,761625.0,69407790709.3178
KOR,South Korea,Res,M,"M99+CLBRS/LWAL+DLO/HBET:7,6/RMT7/RES",873244.3947,1319,139001812.7718,493456435.3399,201552628.5191,60014.5,834010876.6309
KOR,South Korea,Res,M,M99+CLBRS/LWAL+DLO/HEX:1/RMT7/RES,36556901.5805,469747,6192515868.3112,19196799191.7646,11765780149.7912,1174367.5,37155095209.867
KOR,South Korea,Res,M,M99+CLBRS/LWAL+DLO/HEX:2/RMT7/RES,67830562.7874,475197,11441479734.3498,35468587176.4843,21738811495.2646,2375985.0,68648878406.0987
KOR,South Korea,Res,M,M99+CLBRS/LWAL+DLO/HEX:3/RMT7/RES,18745340.3122,81094,3171939041.0255,9833011027.1791,6026684177.9485,608205.0,19031634246.1531
KOR,South Korea,Res,M,M99+CLBRS/LWAL+DLO/HEX:4/RMT7/RES,1589984.4619,5559,281447929.8451,999140150.9501,408099498.2754,133416.0,1688687579.0706
KOR,South Korea,Res,M,M99+CLBRS/LWAL+DLO/HEX:5/RMT7/RES,62734.3166,167,11347699.3833,40284332.8107,16454164.1058,6680.0,68086196.2998
KOR,South Korea,Res,M,M99+CLBRS/LWAL+DLO/HEX:6/RMT7/RES,2137.4668,2,558084.0221,1981198.2785,809221.832,84.0,3348504.1326
KOR,South Korea,Res,MCF,MCF/LWAL+DLO/HEX:1/RMT7/RES,4711706.4955,57392,664693628.1039,2060550247.1221,1262917893.3974,143480.0,3988161768.6234
KOR,South Korea,Res,MCF,MCF/LWAL+DLO/HEX:2/RMT7/RES,3486840.7122,24255,491898382.4223,1524884985.509,934606926.6023,121275.0,2951390294.5335
KOR,South Korea,Res,MCF,MCF/LWAL+DLO/HEX:3/RMT7/RES,2812903.7095,11311,396824202.4335,1230155027.544,753965984.6237,101799.0,2380945214.6013
