CATEGORY,OCCUPANCY,S,N,C
Adobe,Res,0.71,0.29,0.43
Adobe,Com,0.69,0.31,0.54
Adobe,Ind,0.67,0.33,0.67
Prefab,Res,0.40,0.60,0.33
Prefab,Com,0.42,0.58,0.67
Prefab,Ind,0.44,0.56,1.22
Masonry,Res,0.59,0.41,0.18
Masonry,Com,0.62,0.38,0.54
Masonry,Ind,0.67,0.33,0.67
Timber,Res,0.42,0.58,0.67
Timber,Com,0.36,0.64,0.82
Timber,Ind,0.40,0.60,1.00
Concrete,Res,0.40,0.60,0.33
Concrete,Com,0.42,0.58,0.67
Concrete,Ind,0.44,0.56,1.22
Steel,Res,0.46,0.54,0.54
Steel,Com,0.36,0.64,0.82
Steel,Ind,0.40,0.60,1.00
Tunnel,Res,0.46,0.54,0.54
Tunnel,Com,0.36,0.64,0.82
Tunnel,Ind,0.40,0.60,1.00
