ID_0,NAME_0,OCCUPANCY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
KAZ,Kazakhstan,Com,206416,8314684477.01404,9530551422.01688,12873164821.04372,0.0,0.0,34657275.9997976,30718400750.9991,167.9001433987559,886.3478119624433
KAZ,Kazakhstan,Ind,47442,3244632772.06991,2405265815.01616,2788158940.99689,0.0,0.0,10110954.0001062,8438057527.1771,213.12242317158214,834.5461295826755
KAZ,Kazakhstan,Res,2448122,34544023966.186325,85697974921.82962,115223594540.7532,5841979.598222559,18929308.000004224,350630446.00044894,235465593438.00766,143.22425353003197,671.5491940985244
KGZ,Kyrgyzstan,Com,64001,2288994032.05439,2689324603.96816,3333235409.03737,0.0,0.0,10925109.9998702,8311554081.05259,170.70217652646363,760.7753222760539
KGZ,Kyrgyzstan,Ind,35971,1910815835.96394,1423195952.9873,1669251418.02682,0.0,0.0,7473519.0001285,5003263223.8978,207.76511634729366,669.4655120046893
KGZ,Kyrgyzstan,Res,674818,8833432083.007486,23876877758.4094,29675729556.83473,1330177.00000398,6636805.000022876,113065135.99929371,62386039388.42333,167.54908138089635,551.7707897933545
TJK,Tajikistan,Com,22804,891671462.01284,1047609504.00293,1298504148.02487,0.0,0.0,3891172.0000275,3237785110.99979,170.63550254461936,832.0848091466806
TJK,Tajikistan,Ind,9944,576832268.99857,428680133.00148,500035386.00059,0.0,0.0,2048690.0000088,1505547787.03436,206.02272727361225,734.8831629128335
TJK,Tajikistan,Res,857832,11006783121.008152,29790371434.95133,36977043560.80551,1497140.999997212,9506294.999939358,127257140.99983616,77774198119.93329,148.34739319567953,611.1578297993777
TKM,Turkmenistan,Com,54368,2126981512.0005,2498976229.97697,3097291958.01543,0.0,0.0,9281624.9998555,7723249705.98096,170.71852927927273,832.1010282252514
TKM,Turkmenistan,Ind,6673,306838056.99629,226013062.00045002,257779059.9983,0.0,0.0,1060066.0000245,790630172.9963,158.85898396890454,745.8310831382453
TKM,Turkmenistan,Res,476864,7152149909.995883,19324001484.06273,23072796666.92098,1020672.000005344,6124051.000013082,81654002.0011762,49548948062.18762,171.23121477229608,606.8159165238942
UZB,Uzbekistan,Com,573739,19238670591.0578,22603384289.99739,28015184525.04588,0.0,0.0,97944998.0005671,69857239398.5284,170.7135091053024,713.2292697389603
UZB,Uzbekistan,Ind,189651,9076239549.00875,6808765227.94762,8126962770.04318,0.0,0.0,38701798.9996148,24011967554.9491,204.06852059633115,620.4354364815986
UZB,Uzbekistan,Res,4150752,32243359378.987732,89263180604.34303,153007230817.88602,6589931.999940393,34558267.000050366,560144121.9984671,274513770807.80908,134.95003363209054,490.07703558221095
