ID_0,NAME_0,OCCUPANCY,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
NZL,New Zealand,NONRES,739879.0,396955123314.0,114643663795.0,0.0,189483248.0,511598786829.0,65165734.0,0.0,256.0,2095.0
NZL,New Zealand,RES,1804265.0,679325907358.0,164004061499.0,5334200.0,374738664.0,843329960152.0,57124194.0,2142961.0,208.0,1813.0
