ID_0,NAME_0,OCCUPANCY,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD
AIA,Anguilla,COM,861.0,272217411.0,63008835.0,0.0,229590.0,335226244.0,83355.0,0.0,267.0,1186.0,,
AIA,Anguilla,IND,131.0,29326336.0,11353062.0,0.0,29925.0,40679405.0,11517.0,0.0,228.0,980.0,,
AIA,Anguilla,RES,4006.0,1146357383.0,203186520.0,14728.0,1412417.0,1349543905.0,511635.0,4131.0,353.0,812.0,,
ATG,Antigua and Barbuda,COM,3013.0,930858293.0,215026698.0,0.0,888491.0,1145884988.0,332999.0,0.0,295.0,1048.0,,
ATG,Antigua and Barbuda,IND,754.0,320976028.0,126693040.0,0.0,327527.0,447669067.0,121976.0,0.0,434.0,980.0,,
ATG,Antigua and Barbuda,RES,28275.0,7502474773.0,1593515884.0,94209.0,9109797.0,9095990657.0,1934494.0,33055.0,322.0,824.0,,
ABW,Aruba,COM,1461.0,1023321118.0,218488880.0,0.0,781067.0,1241809999.0,312681.0,0.0,535.0,1310.0,,
ABW,Aruba,IND,755.0,1273356273.0,480904211.0,0.0,1299343.0,1754260483.0,520203.0,0.0,1721.0,980.0,,
ABW,Aruba,RES,23179.0,12700259719.0,3024809001.0,108147.0,11926253.0,15725068717.0,1780352.0,29709.0,515.0,1065.0,,
BHS,Bahamas,COM,5189.0,9191556924.0,1757669264.0,0.0,5985228.0,10949226185.0,2732979.0,0.0,1153.0,1536.0,,
BHS,Bahamas,IND,1332.0,5882210763.0,2341418225.0,0.0,4984924.0,8223628985.0,1829178.0,0.0,3742.0,1180.0,,
BHS,Bahamas,RES,107570.0,66162068583.0,14155611724.0,354790.0,53701357.0,80317680312.0,13781124.0,107570.0,499.0,1232.0,,
BRB,Barbados,COM,4157.0,3009772759.0,570380129.0,0.0,2261564.0,3580152888.0,1062817.0,0.0,544.0,1331.0,,
BRB,Barbados,IND,1511.0,699080054.0,244451938.0,0.0,607896.0,943531985.0,271270.0,0.0,402.0,1150.0,,
BRB,Barbados,RES,104189.0,15211284190.0,3051789790.0,282623.0,15857310.0,18263073963.0,5860405.0,115797.0,152.0,959.0,,
BLZ,Belize,COM,6766.0,1094373750.0,223357783.0,0.0,1379182.0,1317731527.0,618068.0,0.0,204.0,793.0,,
BLZ,Belize,IND,1551.0,283035578.0,111502082.0,0.0,463993.0,394537657.0,173377.0,0.0,299.0,610.0,,
BLZ,Belize,RES,58037.0,5394630636.0,1065450445.0,422924.0,8737279.0,6460081079.0,3444196.0,69093.0,151.0,617.0,,
VGB,British Virgin Islands,COM,796.0,1348447904.0,284348283.0,0.0,651845.0,1632796188.0,272290.0,0.0,819.0,2069.0,,
VGB,British Virgin Islands,IND,295.0,1816600222.0,699988009.0,0.0,1056163.0,2516588230.0,409578.0,0.0,3580.0,1720.0,,
VGB,British Virgin Islands,RES,9191.0,9228127313.0,1885482860.0,39732.0,5052325.0,11113610174.0,1508070.0,9707.0,550.0,1827.0,,
CYM,Cayman Islands,COM,1193.0,4580482710.0,837120290.0,0.0,2349268.0,5417603002.0,1119630.0,0.0,1969.0,1950.0,,
CYM,Cayman Islands,IND,279.0,881157687.0,356780503.0,0.0,672639.0,1237938196.0,239267.0,0.0,2411.0,1310.0,,
CYM,Cayman Islands,RES,14319.0,27919421604.0,5116188547.0,75844.0,16634583.0,33035610154.0,5847657.0,25156.0,1162.0,1678.0,,
CRI,Costa Rica,COM,34617.0,23180865793.0,4453966039.0,0.0,29151888.0,27634831825.0,13376975.0,0.0,842.0,795.0,,
CRI,Costa Rica,IND,21992.0,12387204878.0,4552448808.0,0.0,22522191.0,16939653680.0,9438377.0,0.0,1024.0,550.0,,
CRI,Costa Rica,RES,1515463.0,99047463270.0,18596830021.0,5144900.0,159258385.0,117644293302.0,51478732.0,1550357.0,105.0,622.0,,
CUB,Cuba,COM,123703.0,14421312028.0,2834397972.0,0.0,40687417.0,17255709993.0,18424953.0,0.0,329.0,354.0,,
CUB,Cuba,IND,76247.0,15122951601.0,5400011451.0,0.0,40173610.0,20522963075.0,17092665.0,0.0,527.0,376.0,,
CUB,Cuba,RES,3231888.0,81002746726.0,15905302597.0,10937203.0,339169725.0,96908049382.0,129094579.0,3856510.0,105.0,239.0,,
DMA,Dominica,COM,866.0,241293298.0,60649550.0,0.0,235055.0,301942849.0,79899.0,0.0,271.0,1027.0,,
DMA,Dominica,IND,1194.0,122861049.0,45300763.0,0.0,151680.0,168161802.0,62952.0,0.0,127.0,810.0,,
DMA,Dominica,RES,19310.0,3797386699.0,682848624.0,65871.0,4784898.0,4480235322.0,2030510.0,19942.0,248.0,794.0,,
DOM,Dominican Republic,COM,95136.0,28274001433.0,5984532707.0,0.0,40397828.0,34258534151.0,17198251.0,0.0,425.0,700.0,,
DOM,Dominican Republic,IND,46065.0,14579484281.0,5480635559.0,0.0,31694531.0,20060119926.0,12784603.0,0.0,688.0,460.0,,
DOM,Dominican Republic,RES,3255525.0,319249342854.0,62550594749.0,11520481.0,443923849.0,381799937592.0,187279878.0,3996712.0,136.0,719.0,,
SLV,El Salvador,COM,200165.0,27342497746.0,4978292872.0,0.0,46258814.0,32320790688.0,25476202.0,0.0,231.0,591.0,,
SLV,El Salvador,IND,1700.0,4175760456.0,1789611623.0,0.0,5600390.0,5965372072.0,1779080.0,0.0,3294.0,746.0,,
SLV,El Salvador,RES,2291165.0,156860136864.0,27725069771.0,6365503.0,267929222.0,184585206564.0,123626571.0,2894866.0,117.0,585.0,,
GRD,Grenada,COM,2680.0,724239511.0,169897250.0,0.0,747248.0,894136760.0,270527.0,0.0,279.0,969.0,,
GRD,Grenada,IND,1205.0,684340586.0,265783090.0,0.0,805107.0,950123680.0,308194.0,0.0,668.0,850.0,,
GRD,Grenada,RES,36994.0,8587626084.0,1562234114.0,117303.0,12499503.0,10149860196.0,5184418.0,39245.0,338.0,687.0,,
GLP,Guadeloupe,COM,4207.0,2381028958.0,533560180.0,0.0,1496965.0,2914589136.0,587682.0,0.0,356.0,1591.0,,
GLP,Guadeloupe,IND,2496.0,1714683729.0,678154999.0,0.0,1166452.0,2392838728.0,432901.0,0.0,467.0,1470.0,,
GLP,Guadeloupe,RES,147475.0,59192499804.0,10695956495.0,373791.0,38370548.0,69888456305.0,15313031.0,155865.0,260.0,1543.0,,
GTM,Guatemala,COM,118846.0,22966730556.0,4471992045.0,0.0,35863489.0,27438722634.0,15829195.0,0.0,302.0,640.0,,
GTM,Guatemala,IND,38240.0,12416853029.0,4272717878.0,0.0,26993159.0,16689570901.0,12297925.0,0.0,706.0,460.0,,
GTM,Guatemala,RES,4885831.0,229975302942.0,44632955571.0,18680336.0,456154306.0,274608257883.0,195188859.0,4988982.0,93.0,504.0,,
HTI,Haiti,COM,159827.0,7499760242.0,1785484234.0,0.0,18396955.0,9285244437.0,7975701.0,0.0,115.0,408.0,,
HTI,Haiti,IND,50436.0,1950804485.0,682671670.0,0.0,6139750.0,2633476149.0,2796685.0,0.0,122.0,318.0,,
HTI,Haiti,RES,2650192.0,59964068000.0,14442196014.0,11906095.0,170858592.0,74406263984.0,35212552.0,2729900.0,64.0,351.0,,
HND,Honduras,COM,127940.0,26576365246.0,6307326973.0,0.0,46153423.0,32883692217.0,20104587.0,0.0,361.0,576.0,,
HND,Honduras,IND,29345.0,11810296886.0,4420865041.0,0.0,28119754.0,16231161947.0,11426689.0,0.0,958.0,420.0,,
HND,Honduras,RES,2367230.0,93958766043.0,18713797729.0,10867101.0,263820336.0,112672563794.0,75123401.0,2707276.0,111.0,356.0,,
JAM,Jamaica,COM,62149.0,13051022558.0,2753844658.0,0.0,14931359.0,15804867203.0,6186560.0,0.0,240.0,874.0,,
JAM,Jamaica,IND,15295.0,7463039945.0,2765190978.0,0.0,10085189.0,10228230918.0,4156550.0,0.0,659.0,740.0,,
JAM,Jamaica,RES,940216.0,65285249730.0,12992153683.0,2837077.0,92412248.0,78277403413.0,35385591.0,1060026.0,98.0,706.0,,
MTQ,Martinique,COM,4969.0,5051957905.0,1026420523.0,0.0,2882569.0,6078378431.0,1240237.0,0.0,580.0,1753.0,,
MTQ,Martinique,IND,1375.0,955878767.0,377671854.0,0.0,673154.0,1333550625.0,250260.0,0.0,490.0,1420.0,,
MTQ,Martinique,RES,106149.0,42081880955.0,7753407843.0,340439.0,27113924.0,49835288797.0,10336111.0,111450.0,255.0,1552.0,,
MSR,Montserrat,COM,1031.0,252929795.0,51194100.0,0.0,226977.0,304123897.0,97769.0,0.0,220.0,1114.0,,
MSR,Montserrat,IND,73.0,34518472.0,14095992.0,0.0,38354.0,48614467.0,13425.0,0.0,525.0,900.0,,
MSR,Montserrat,RES,7765.0,1536985601.0,284604157.0,4359.0,2136211.0,1821589759.0,823843.0,8197.0,275.0,719.0,,
NIC,Nicaragua,COM,128952.0,8461925218.0,2256188770.0,0.0,16544372.0,10718113978.0,6070597.0,0.0,128.0,511.0,,
NIC,Nicaragua,IND,37901.0,5583460651.0,2072533944.0,0.0,13618197.0,7655994603.0,5597597.0,0.0,359.0,410.0,,
NIC,Nicaragua,RES,1367118.0,35124445324.0,7425425662.0,6689827.0,106255257.0,42549870979.0,30720664.0,1455374.0,78.0,331.0,,
PAN,Panama,COM,46974.0,19107003201.0,3911610104.0,0.0,22210553.0,23018613304.0,9744638.0,0.0,473.0,860.0,,
PAN,Panama,IND,10112.0,8649487050.0,3216941346.0,0.0,13306903.0,11866428379.0,5454041.0,0.0,1316.0,650.0,,
PAN,Panama,RES,1089366.0,111601456206.0,21787612216.0,4503163.0,147704569.0,133389068427.0,56288716.0,1359078.0,136.0,756.0,,
PRI,Puerto Rico,COM,4268.0,11268398880.0,11268398880.0,4415.0,6195644.0,22536797761.0,3058072.0,0.0,1452.0,1819.0,8976356450.0,2292042515.0
PRI,Puerto Rico,IND,624.0,2056133898.0,2572416689.0,4294.0,1461406.0,4628550587.0,709576.0,0.0,2342.0,1407.0,1733320868.0,322813030.0
PRI,Puerto Rico,RES,1397667.0,512374212765.0,256185342123.0,3147524.0,298629452.0,768559554888.0,103630642.0,1298908.0,214.0,1716.0,412509005375.0,99865195133.0
KNA,Saint Kitts and Nevis,COM,1174.0,295453842.0,70906801.0,0.0,303914.0,366360646.0,105392.0,0.0,259.0,972.0,,
KNA,Saint Kitts and Nevis,IND,427.0,231057965.0,93030550.0,0.0,285257.0,324088515.0,102532.0,0.0,668.0,810.0,,
KNA,Saint Kitts and Nevis,RES,16515.0,5167008150.0,938126221.0,46922.0,5753488.0,6105134372.0,2294016.0,17647.0,348.0,898.0,,
LCA,Saint Lucia,COM,2752.0,835020601.0,194351502.0,0.0,792753.0,1029372100.0,281636.0,0.0,288.0,1053.0,,
LCA,Saint Lucia,IND,1491.0,423017993.0,165157867.0,0.0,509660.0,588175860.0,193385.0,0.0,342.0,830.0,,
LCA,Saint Lucia,RES,54411.0,11431143021.0,2053736028.0,180149.0,13783322.0,13484879045.0,5809097.0,56916.0,253.0,829.0,,
VCT,Saint Vincent and the Grenadines,COM,1675.0,836960681.0,200108446.0,0.0,930731.0,1037069129.0,321005.0,0.0,556.0,899.0,,
VCT,Saint Vincent and the Grenadines,IND,428.0,112539435.0,44313921.0,0.0,158506.0,156853362.0,59277.0,0.0,370.0,710.0,,
VCT,Saint Vincent and the Grenadines,RES,31665.0,5995069804.0,1178782175.0,99924.0,9430926.0,7173851981.0,3100637.0,33492.0,298.0,636.0,,
TTO,Trinidad and Tobago,COM,7342.0,2553921553.0,517855559.0,0.0,2739206.0,3071777115.0,1210581.0,0.0,373.0,932.0,,
TTO,Trinidad and Tobago,IND,21366.0,4544971924.0,1746834155.0,0.0,6312461.0,6291806075.0,2469412.0,0.0,295.0,720.0,,
TTO,Trinidad and Tobago,RES,408557.0,33698993087.0,6725202271.0,1511155.0,47089313.0,40424195377.0,17516062.0,464838.0,115.0,716.0,,
TCA,Turks and Caicos Islands,COM,6967.0,3262122763.0,656380497.0,0.0,1885832.0,3918503262.0,823522.0,0.0,271.0,1730.0,,
TCA,Turks and Caicos Islands,IND,2725.0,1491024153.0,574407968.0,0.0,1202439.0,2065432122.0,466470.0,0.0,441.0,1240.0,,
TCA,Turks and Caicos Islands,RES,63232.0,32285319107.0,5895585896.0,46855.0,22428458.0,38180905000.0,8715782.0,69207.0,355.0,1439.0,,
VIR,U.S. Virgin Islands,COM,2855.0,3679889464.0,3679889464.0,431.0,2228382.0,7359778929.0,1001066.0,0.0,781.0,1651.0,2847747235.0,832142185.0
VIR,U.S. Virgin Islands,IND,688.0,854274432.0,1270639893.0,141.0,515738.0,2124914324.0,262258.0,0.0,750.0,1656.0,720153335.0,134121090.0
VIR,U.S. Virgin Islands,RES,38810.0,14190807667.0,7095346113.0,71583.0,9374235.0,21286153780.0,3150700.0,53758.0,242.0,1514.0,11328180860.0,2862626500.0
