ID_0,NAME_0,OCCUPANCY,MACRO_TAXONOMY,TAXONOMY,SETTLEMENT,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD,TAXONOMY_HAZUS,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD
AIA,Anguilla,COM,CR+,CR+PCPS/LFM/CDM+ERM/H:1/COM,TOTAL,15.0,3396992.0,599472.0,0.0,2633.0,3996465.0,1291.0,0.0,176.0,1290.0,,,
AIA,Anguilla,IND,CR+,CR+PCPS/LFM/CDM+ERM/H:1/IND,TOTAL,2.0,3569427.0,1189809.0,0.0,3642.0,4759235.0,1723.0,0.0,1821.0,980.0,,,
AIA,Anguilla,COM,CR-,CR/LFINF/CDL+ERL/H:1/COM,TOTAL,261.0,60675789.0,10707493.0,0.0,47035.0,71383282.0,23052.0,0.0,180.0,1290.0,,,
AIA,Anguilla,RES,CR-,CR/LFINF/CDL+ERL/H:1/RES,TOTAL,3333.0,910973615.0,160760050.0,11882.0,1124659.0,1071733668.0,409870.0,3333.0,337.0,810.0,,,
AIA,Anguilla,RES,CR-,CR/LFINF/CDL+ERL/H:2/RES,TOTAL,628.0,223304807.0,39406731.0,2688.0,275685.0,262711537.0,100544.0,754.0,439.0,810.0,,,
AIA,Anguilla,COM,CR+,CR/LFINF/CDM+ERM/H:2/COM,TOTAL,15.0,58428295.0,10310875.0,0.0,45293.0,68739170.0,22217.0,0.0,3020.0,1290.0,,,
AIA,Anguilla,COM,CR+,CR/LFINF/CDM+ERM/H:4/COM,TOTAL,27.0,35706178.0,6301091.0,0.0,27679.0,42007269.0,13600.0,0.0,1025.0,1290.0,,,
AIA,Anguilla,IND,CR-,CR/LFM/CDL+ERL/H:1/IND,TOTAL,52.0,1575529.0,525177.0,0.0,1608.0,2100706.0,761.0,0.0,31.0,980.0,,,
AIA,Anguilla,RES,OT,INF/LN/CDN+ERN/H:1/RES,TOTAL,5.0,901664.0,225417.0,18.0,1528.0,1127081.0,159.0,5.0,306.0,590.0,,,
AIA,Anguilla,IND,MR|MCF,MCF/LWAL/CDL+ERL/H:1/IND,TOTAL,26.0,550187.0,183395.0,0.0,561.0,733579.0,266.0,0.0,22.0,981.0,,,
