ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
ECU,Ecuador,Com,MCF,MCF/LWAL+DNO/H:1/COM1,41943.599999707,741502928.562454,741502928.562454,988670571.45201,0.0,6291539.99995605,2471676428.59255,150.0,392.8571428632443
ECU,Ecuador,Com,MCF,MCF/LWAL+DNO/H:1/COM4,1360.79999999,24057000.000774,24057000.000774,32075999.997834,0.0,204119.9999985,80190000.001672,149.99999999999997,392.8571428682211
ECU,Ecuador,Com,MCF,MCF/LWAL+DNO/H:1/COM5,6172.199999969,254603250.000887,254603250.000887,339471000.00956,0.0,2160269.99998915,848677500.05514,350.00000000000006,392.85714288464055
ECU,Ecuador,Com,MCF,MCF/LWAL+DNO/H:1/COM6,15470.099999092,273489267.838082,273489267.838082,364652357.127299,0.0,2320514.9998638,911630892.8065,150.0,392.85714285837713
ECU,Ecuador,Com,MCF,MCF/LWAL+DNO/H:2/COM1,13915.800000198,492022928.580623,492022928.580623,656030571.466063,0.0,4174740.0000594,1640076428.60529,300.0,392.8571428596641
ECU,Ecuador,Com,MCF,MCF/LWAL+DNO/H:2/COM2,7613.999999646,1027889999.94068,1027889999.94068,1370519999.96682,0.0,5329799.9997522,3426299999.9649,700.0,642.8571428804457
ECU,Ecuador,Com,MCF,MCF/LWAL+DNO/H:2/COM4,481.499999936,17024464.284371,17024464.284371,22699285.710511,0.0,144449.9999808,56748214.291250005,300.0,392.85714294768337
ECU,Ecuador,Com,MCF,MCF/LWAL+DNO/H:2/COM5,6101.9999998680005,503415000.00142,503415000.00142,671220000.01615,0.0,4271399.9999076,1678049999.9622,699.9999999999999,392.8571428567917
ECU,Ecuador,Com,MCF,MCF/LWAL+DNO/H:2/COM6,10349.100000004,365914607.147,365914607.147,487886142.85135,0.0,3104730.0000012,1219715357.16494,300.0,392.8571428641037
ECU,Ecuador,Com,MUR,MUR/LWAL+DNO/H:1/COM1,27992.700000546,494870946.431313,412392455.370692,742306419.657111,0.0,4198905.0000819,1649569821.51186,150.0,392.85714286931596
ECU,Ecuador,Com,MUR,MUR/LWAL+DNO/H:1/COM2,11370.599999926,767515499.97392,639596249.96788,1151273250.00096,0.0,3979709.9999741,2558385000.0365,350.0,642.8571428704981
