L4,POP,CITY,TIER
801506,293416,Aizawl,U3
801739,293373,Bally,U3
802479,292797,Gandhinagar,U2
802911,289821,Karimnagar,U3
802248,289550,Dewas,U3
800389,289333,Sonipat,U3
802884,287353,Ichalkaranji,U3
800226,285788,Bathinda,U3
802760,285577,Jalna,U3
063942,283211,Kirari Suleman Nagar,U3
802170,282977,Satna,U3
801312,282248,Purnia,U3
801200,278745,Maunath Bhanjan,U3
801707,278435,Barasat,U3
801487,277196,Imphal,U3
800968,276581,Farrukhabad-cum-Fatehgarh,U3
802159,274556,Sagar,U3
802009,268806,Durg,U3
803009,267161,Anantapur,U3
802222,264914,Ratlam,U3
800737,262983,Hapur,U3
801385,261430,Arrah,U3
800442,257803,NDMC,U3
800981,256838,Etawah,U3
802793,253475,Ambarnath(M Cl),U3
800498,252838,Bharatpur,U3
801346,252008,Begusarai,U3
803333,249446,Tiruvottiyur,U3
801710,249142,North DumDum,U3
802447,247992,Gandhidham,U3
801712,245213,Baranagar,U3
800527,244497,Sikar,U3
804036,244377,Puducherry,U2
802907,242979,Ramagundam,U3
803299,240991,Alappuzha,U3
801314,240838,Katihar,U3
803821,237830,Thoothukkudi,U3
800446,237780,Ganganagar,U3
802189,235654,Rewa,U3
801741,235345,Uluberia,U3
801244,234871,Mirzapur-cum-Vindhyachal,U3
803067,234073,Raichur,U3
803356,233984,Pallavaram,U3
800359,231338,Hardwar,U3
800561,230075,Pali,U3
800749,230024,Bulandshahr,U3
802946,228720,Vizianagaram,U3
802576,225071,Nadiad,U3
803927,224849,Nagercoil,U3
063970,224281,Karawal Nagar,U3
801780,223805,Mango,U3
803707,222943,Thanjavur,U3
802351,221883,Murwara,U3
800686,220813,Sambhal,U3
802426,220257,Singrauli,U3
802962,218020,Eluru,U3
802919,217910,Secunderabad,U3
801694,217900,Naihati,U3
800369,217071,Yamunanagar,U3
801820,216410,Raurkela ,U3
803060,216020,Bidar,U3
801716,215514,Bidhannagar,U3
801357,213303,Munger,U3
803004,211424,Nandyal,U3
800363,211355,Panchkula,U3
802439,210886,Burhanpur,U3
802499,210451,Morvi,U3
802562,209410,Anand,U3
802988,208344,Ongole,U3
801757,207604,Kharagpur,U3
803589,207327,Dindigul,U3
803109,206167,Hospet,U3
063999,205596,Nangloi Jat,U3
801656,205521,English Bazar,U3
801769,203123,Deoghar ,U3
801333,202352,Chapra,U3
800335,201461,Haldwani-cum-Kathgodam,U3
801760,200827,Haldia,U3
802435,200738,Khandwa,U3
801863,200564,Puri,U3
802083,200482,Morena,U3
800702,198471,Amroha,U3
802090,197585,Bhind,U3
063950,197148,Bhalswa Jahangir Pur,U3
800919,197029,Hardoi,U3
802937,196283,Khammam,U3
801708,196127,Madhyamgram,U3
800409,196057,Bhiwani,U3
553514,195373,Navi Mumbai Panvel Raigarh,U3
801662,195223,Berhampore,U3
800365,195153,Ambala,U3
801064,193193,Fatehpur,U3
800959,191316,Rae Bareli,U3
802464,190753,Mahesana,U3
801014,190575,Orai,U3
802922,190400,Mahbubnagar,U3
119761,190005,Khora,U3
801813,189366,Sambalpur,U3
802652,187421,Bhusawal,U3
801125,186223,Bahraich,U3
803398,185803,Vellore,U2
803003,184625,Adoni,U3
801651,183612,Raiganj,U3
800401,182534,Sirsa,U3
801370,182429,Dinapur Nizamat,U3
801728,181842,Serampore,U3
063948,181554,Sultan Pur Majra,U3
802401,180935,Guna,U3
801215,180362,Jaunpur,U3
803015,180180,Madanapalle,U3
802796,180020,Panvel,U3
802112,179977,Shivpuri,U3
801721,179931,Hugli-Chinsurah,U3
801614,178865,Silchar,U3
802493,177851,Surendranagar Dudhrej,U3
800940,177658,Unnao,U3
800907,177234,Sitapur,U3
063991,176877,Hastsal,U3
802386,175052,Chhindwara,U3
803345,174787,Tambaram,U3
801801,174355,Adityapur,U3
802792,174226,Badlapur,U3
803650,173636,Cuddalore,U3
803078,172612,Gadag-Betigeri,U3
802535,171121,Veraval,U3
802614,171109,Navsari,U3
800418,170767,Bahadurgarh,U3
802972,169892,Machilipatnam,U3
800137,169578,Shimla,U2
801755,169264,Medinipur,U3
064076,169122,Deoli,U3
802607,169007,Bharuch,U3
800176,168653,Hoshiarpur,U3
800393,167592,Jind,U3
801722,166867,Chandannagar,U3
800266,166864,S.A.S. Nagar,U3
800578,165294,Tonk,U3
801108,165228,Faizabad,U3
802982,164937,Tenali,U3
803351,164430,Alandur,U3
803365,164384,Kancheepuram,U3
