NAME0_ID1,AVG_AREA,BUILDINGS,TOTAL_REPL_COST_USD,COST_PER_AREA_USD
Afghanistan_AFG-ADM1-1590546715-B1,15222815.188106623,137024.0,3455624722.0,227.0
Afghanistan_AFG-ADM1-1590546715-B10,12672411.344850952,114089.0,2875484849.0,226.9
Afghanistan_AFG-ADM1-1590546715-B11,97756900.32841057,879188.0,22238418368.0,227.5
Afghanistan_AFG-ADM1-1590546715-B12,19774316.666529357,177939.0,4492548427.0,227.2
Afghanistan_AFG-ADM1-1590546715-B13,3124332.4812858636,28207.0,704623137.0,225.5
Afghanistan_AFG-ADM1-1590546715-B14,42099398.38748997,378689.0,9573305279.0,227.4
Afghanistan_AFG-ADM1-1590546715-B15,8643971.416508174,77849.0,1959585079.0,226.7
Afghanistan_AFG-ADM1-1590546715-B16,12362691.89970364,111310.0,2804104262.0,226.8
Afghanistan_AFG-ADM1-1590546715-B17,9820455.597367562,88446.0,2226462088.0,226.7
Afghanistan_AFG-ADM1-1590546715-B18,30699476.210549794,276186.0,6977765249.0,227.3
Afghanistan_AFG-ADM1-1590546715-B19,8567873.695452837,77161.0,1942346497.0,226.7
Afghanistan_AFG-ADM1-1590546715-B2,20432894.613798913,183855.0,4642162114.0,227.2
Afghanistan_AFG-ADM1-1590546715-B20,10438567.888578637,94019.0,2366704227.0,226.7
Afghanistan_AFG-ADM1-1590546715-B21,28107493.859328553,252901.0,6387258837.0,227.2
Afghanistan_AFG-ADM1-1590546715-B22,11395587.016215203,102624.0,2584569447.0,226.8
Afghanistan_AFG-ADM1-1590546715-B23,9861999.034057425,88816.0,2235872570.0,226.7
Afghanistan_AFG-ADM1-1590546715-B24,10084593.534778716,90828.0,2286326328.0,226.7
Afghanistan_AFG-ADM1-1590546715-B25,3644945.635793982,32892.0,822325413.0,225.6
Afghanistan_AFG-ADM1-1590546715-B26,3251500.4342598454,29355.0,733383175.0,225.6
Afghanistan_AFG-ADM1-1590546715-B27,11989748.171371473,107965.0,2719475790.0,226.8
Afghanistan_AFG-ADM1-1590546715-B28,7892658.176695457,71129.0,1786787233.0,226.4
Afghanistan_AFG-ADM1-1590546715-B29,12319669.47478683,110931.0,2794272466.0,226.8
Afghanistan_AFG-ADM1-1590546715-B3,21084793.087883864,189724.0,4790284301.0,227.2
Afghanistan_AFG-ADM1-1590546715-B30,7436967.115859969,67025.0,1683569505.0,226.4
Afghanistan_AFG-ADM1-1590546715-B31,11207656.180208651,100933.0,2541908321.0,226.8
Afghanistan_AFG-ADM1-1590546715-B32,12113035.038619952,109076.0,2747434381.0,226.8
Afghanistan_AFG-ADM1-1590546715-B33,22464302.761120286,202114.0,5104570345.0,227.2
Afghanistan_AFG-ADM1-1590546715-B34,14692113.878094066,132252.0,3335038607.0,227.0
Afghanistan_AFG-ADM1-1590546715-B4,33640512.083848774,302630.0,7647082396.0,227.3
Afghanistan_AFG-ADM1-1590546715-B5,20220870.179185446,181958.0,4593985655.0,227.2
Afghanistan_AFG-ADM1-1590546715-B6,28764199.584520925,258800.0,6536464172.0,227.2
Afghanistan_AFG-ADM1-1590546715-B7,9938224.759805713,89503.0,2253136377.0,226.7
Afghanistan_AFG-ADM1-1590546715-B8,5968315.568415678,53810.0,1350564209.0,226.3
Afghanistan_AFG-ADM1-1590546715-B9,24746122.324813794,222652.0,5623225508.0,227.2
Albania_1,3562444.14612203,38584.817471199996,1687594323.6200001,473.7
Albania_10,4869511.246287516,50856.889065981995,2333881875.54,479.3
Albania_11,17104844.668777823,120499.86833554,8775061217.16,513.0
Albania_12,6447468.081319186,54834.086584667,2987545981.68,463.4
