,PGA,BUILDINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD
0,0.0,160468468.22831902,755890466.2368551,17670063247345.87
1,0.01,110983798.29917775,484432311.6992831,30385112106232.043
2,0.02,89594528.75478004,386263205.399552,27014554006114.117
3,0.03,78062249.90767181,339007070.7395097,27672512055331.812
4,0.04,65929250.98631835,316548714.0912531,20638680747056.46
5,0.05,64895221.86325893,311104028.25469136,17231310326285.049
6,0.06,48213762.42080453,243834211.01376194,10000620163318.729
7,0.07,57729298.858421445,301498773.715516,9671486465024.375
8,0.08,38440759.70373824,215921539.62112835,6945709281828.604
9,0.09,43211412.424701475,247288973.0458843,6397222804037.929
10,0.1,48720304.95083828,258620354.17993498,5699496368518.162
11,0.11,26830289.20269892,145024439.84403893,3094394685487.4336
12,0.12,28436224.02532004,156434752.5425264,3394194625652.809
13,0.13,34516993.60960659,191777889.9338308,3606115550459.023
14,0.14,43395872.51276534,237625562.04935285,3812321624324.666
15,0.15,19273626.81716035,108363660.11255811,1723774643710.2812
16,0.16,17076458.333126634,90227977.57444184,1883034297480.149
17,0.17,18158501.924651016,103028300.41704886,2080315413808.6553
18,0.18,24960381.44633766,132865263.47401834,1865715957824.111
19,0.19,29492207.222880878,172909971.94826853,2975656200631.6216
20,0.2,24770160.599662285,134327054.92871192,2618759744970.2754
21,0.21,11328240.590492427,59227088.519393034,1163835916894.4617
22,0.22,11625063.324141216,61044084.82698513,1221109638508.072
23,0.23,13367438.575563336,71241838.89206107,1551794444964.9893
24,0.24,16943015.70417379,87869241.91818161,1525296242886.2395
25,0.25,17583497.967663817,96897585.53834291,1812475888017.0715
26,0.26,20100227.45760732,116630168.02047306,1725067923069.6475
27,0.27,21224904.90185496,117152019.57400839,1845804135586.5505
28,0.28,24214338.28808854,132927970.97348227,2314145305924.089
29,0.29,9416956.440406587,54984405.277571954,1065899094937.8359
30,0.3,11437485.574270852,64884250.10422583,1261572090811.5757
31,0.31,9588129.7625134,55776072.149707854,984122326967.585
32,0.32,9715957.407085454,52997064.29074586,1190200041224.1907
33,0.33,10188366.017429965,58185077.30467748,1237122616226.5037
34,0.34,9043580.444396555,49199948.803547524,1191493593227.045
35,0.35,12947998.026240807,70673248.57824163,1347841512717.327
36,0.36,14438901.135305028,77310867.53330556,1697079152561.084
37,0.37,13814450.152370388,74836695.18154961,1642172531653.722
38,0.38,14827236.641231481,80499983.15666956,1850333563335.0315
39,0.39,15329452.6742467,85452615.20263647,1593733255193.1404
40,0.4,7484362.325866934,36715267.997238055,895851631433.5223
41,0.41,4977452.865002898,26625327.695176776,534237853944.5874
42,0.42,5500216.634315141,27433547.230045408,850238310640.9506
43,0.43,7847479.561868138,44044522.85581267,707260406897.9564
44,0.44,8326609.524157567,47637509.377696455,1234997769057.277
45,0.45,6195139.110699044,33746690.95005767,844809072635.734
46,0.46,5284968.041462016,28657697.663827118,760287957905.4114
47,0.47,6015955.80322398,28131108.49369929,723107468367.9822
48,0.48,4894702.281313446,24786420.723177694,685331875125.2096
49,0.49,7812856.236230464,37316555.19895199,1257650503190.279
50,0.5,5986658.772429001,32630965.963681556,940953880653.354
51,0.51,5764283.888286453,28905125.242839478,1154879956909.5447
52,0.52,6402611.577479863,32542389.041551895,1351928242798.662
53,0.53,6739642.017433355,35689120.67944376,1639301327172.5505
54,0.54,6016028.248492601,30687897.513722703,1158633535021.9155
55,0.55,6067671.0078702755,28726885.907816175,1900064674586.952
56,0.56,3293376.4308945863,15710231.651000975,1008632569976.2076
57,0.57,2243653.7834393065,9921981.244655231,699042038731.3651
58,0.58,1989226.1164737595,9204819.582279637,359122894571.23444
59,0.59,2232399.1228851285,10956110.921205949,342670217857.6759
60,0.6,2362925.625327977,11473325.619156547,473515691920.44507
61,0.61,2199198.6387129524,10730855.6724125,329696757128.41943
62,0.62,1511066.7773583531,7128485.222973544,221493550130.2704
63,0.63,2539694.5532763097,12658585.456740132,704263043054.7888
64,0.64,2559619.142636173,11142401.311924031,332907011351.66187
65,0.65,2601263.2039614357,12487518.928872908,634243035606.9202
66,0.66,2333358.876422314,9752302.009932116,477820501669.5719
67,0.67,2171496.3608493116,10232330.563142058,244701275638.22516
68,0.68,2070329.9584074565,9239097.285418728,366333467076.2985
69,0.69,2800103.7311950456,12797541.113329178,632568528147.2509
70,0.7,2219776.804116201,9754890.202378625,522053665419.3787
71,0.71,2187176.746113255,9079409.868587306,475408726043.22955
72,0.72,2242142.9705567397,9520948.340310073,504018327359.6229
73,0.73,2798319.6437312188,12921683.755981555,551140156350.6809
74,0.74,2391304.4839918735,10734440.77536685,561741937059.9517
75,0.75,2251961.160371094,9169265.097176189,479968812811.7631
76,0.76,1591782.250205307,7049026.311916897,366005574668.6415
77,0.77,1510107.5867771723,6647605.052818047,393831212837.17114
78,0.78,1346369.177356427,6004784.373457031,316686731088.94183
79,0.79,566771.8151421411,2311847.7102498114,129587229221.45186
80,0.8,326668.1697215707,1305167.1746621453,54946114024.46251
81,0.81,643405.2008758611,2609033.547680985,163096490499.0354
82,0.82,450396.9333619447,1984796.8017208904,74192510850.67776
83,0.83,844173.3482834143,3484041.3313660673,306526615251.74615
84,0.84,386462.968649662,1818077.7640461803,75695332140.7775
85,0.85,813217.2129602806,3090109.5671901787,301463896974.0602
86,0.86,737610.2719892507,3138845.55668571,171539015880.28815
87,0.87,461775.1035229588,1900853.0377972496,136286084440.01675
88,0.88,666456.1285548061,2539321.706729621,254933227085.78836
89,0.89,391326.7281216287,1685882.359074076,135239509592.12834
90,0.9,428070.7232417378,1755191.941528695,105584768127.52287
91,0.91,813461.1141265453,3498994.2752509047,389260757240.0833
92,0.92,809001.7663152728,3912447.9901620615,567797469517.44
93,0.93,426929.4406724413,1641388.3207632543,171440041482.0904
94,0.94,947144.1290107754,4203528.999029062,417336630652.5854
95,0.95,634819.7351624825,2785150.779584734,352220862590.5241
96,0.96,1726700.1930508607,7482481.61634882,1024786476663.147
97,0.97,605262.8939864718,3478330.512884048,678455809267.6221
98,0.98,1154960.6981244064,5459356.008311621,686231510313.4381
99,0.99,945462.6687267987,3868783.0301476605,511560404613.6628
100,1.0,387992.94851279305,1366748.1000715855,121402509630.1826
101,1.01,744395.4788037604,3255184.713122324,380309286356.39795
102,1.02,315165.0484332619,1178738.516512157,147035511543.96072
103,1.03,307486.42764348426,1167895.8603653705,154312530267.2041
104,1.04,261300.81471878797,1189597.6922572246,116293838632.0678
105,1.05,410607.5574957282,1475805.8530595773,209007741546.95953
106,1.06,277280.65297590516,1000874.092754798,120951802301.49013
107,1.07,81621.630786654,290241.2568358887,30625875567.890793
108,1.08,271680.352273294,961421.772079898,130099080010.0455
109,1.09,50975.705096967,196077.28153844073,7898310266.670684
110,1.1,68668.40615886089,219149.07318594542,20462826185.741154
111,1.11,189551.368834504,613427.1259178553,94980958257.93358
112,1.12,106281.939237149,357582.06313308195,49114852199.86048
113,1.13,19347.407694857,96686.68611015889,3730161777.3053617
114,1.14,38930.87014646821,159511.30570317374,14249110023.617931
115,1.15,189034.534013218,680516.1137716812,120845562010.87054
116,1.16,44627.477402877004,197109.23714570305,16595186998.331696
117,1.17,18666.518720816,102408.68303809072,4827177841.2263365
118,1.18,71991.576792034,421772.5152281663,21685829153.93878
119,1.19,86244.73658577962,280625.4652226768,53225655872.924835
120,1.2,19170.477635796167,74204.78577314877,3619272509.829809
121,1.21,49667.56663557917,243398.78592535522,9312623110.212175
122,1.22,59614.25402378991,201988.68771270418,33655862537.11228
123,1.23,25117.330744448238,82352.9147019043,11327923908.05194
124,1.24,32493.871835777,95327.18771274436,15500993354.815931
125,1.25,53361.51480392,222392.8925314599,24510953416.19163
126,1.26,2621.782250227,9372.179913697577,201020533.35584244
127,1.27,4324.032703069528,16772.631339547588,367408957.6581563
128,1.28,5674.368739973,27309.736145395043,631277087.558636
129,1.29,92707.403776629,282540.7432549261,48148664788.82939
130,1.3,10775.863179945,49019.27920963149,6229797360.850431
131,1.31,147489.57138739474,453407.3899653204,78490415471.29463
132,1.32,102852.77532382567,373938.2751194055,20865099304.893883
133,1.33,1759.693742326,6637.773109742262,48139225.583019204
134,1.34,50824.704222766,159533.7991252278,24698280599.76884
135,1.35,140444.875038051,466092.3667192089,88460119243.36322
136,1.36,27840.062461083,89381.78882827451,11584418877.629425
137,1.37,89129.383116114,305212.4748276777,50235836651.51075
138,1.38,48863.077395656,148386.16476962558,23262010177.80077
139,1.39,1744.822489768,3885.952491228029,46344211.54204922
140,1.4,52182.462672435,173417.8424259714,30423132427.26083
141,1.41,7878.288655578,17723.625592005978,2876464700.454638
142,1.42,7018.060357668,17497.048507934,1057500638.2934103
143,1.43,167064.609885066,532811.3786434684,94727684361.5413
144,1.44,333.364342902,844.023139232,384141197.8437475
145,1.45,2825.442932415,8520.00942096808,742801406.6407213
146,1.46,1441.5763208782312,5042.510839881308,152045609.65122515
147,1.47,77181.43000287938,368272.60245698,42097429865.834015
148,1.48,34948.551707007,116140.261997278,19427336227.955933
149,1.49,101347.664195897,358063.408935127,63913740094.782814
150,1.5,57667.759802168,178255.020850889,32394226626.242065
151,1.51,53156.707806784,122911.58,17099931720.518744
152,1.52,100.121303345,514.259220502,2102480.26012
153,1.55,3195.370158414,11820.188584524873,1412310774.6540682
154,1.56,74449.0,248399.0,46123593895.92728
155,1.57,68.40891406200001,318.010874969,1419400.7155020002
156,1.58,13748.0,46767.0,7909044253.781818
157,1.59,118.18569133899999,566.822291742,2645590.82503
158,1.62,468.42188405,2365.974231078,10497504.32359
159,1.63,2992.2823790445573,11731.0,396278488.7339269
160,1.65,34.409107252,176.907806992,753572.8586820001
161,1.67,151.946611423,780.405652323,3374664.5101699997
162,1.68,79.306629146,408.050606968,1660810.45583
163,1.69,10208.0,32582.0,5714092304.345455
164,1.72,120.326075854,572.943219856,2659384.3455120004
165,1.8,54.045398272,270.319616741,1117809.72988
166,1.82,134.541110922,641.899098214,2954926.1602903
167,1.87,68.25639450400001,359.542870056,1512595.24801
168,1.88,21.032717389,112.0106724,484107.80334
169,1.9,25.112059561,127.62656115099999,537304.515892
170,1.92,49746.58908062299,195078.0,6588115907.306687
171,1.93,27.005988583,124.52306759700001,570245.70555
172,1.94,56.854148859000006,262.66081118,1192232.84491
173,1.96,17.993397678,95.378348481,387220.77182
174,2.13,1892.2636008925,7487.0,252179338.35870215
175,2.51,1505.0114909552688,6026.0,202275814.70092347
