CONTINENT,GEM_REGION,ISO3,COUNTRY,ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,ISO3_NUMERIC,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD,COST_BDG_USD
Africa,Africa,BEN,Benin,BEN,Benin,IND,RC,408,308923.0,1082.0,46487274.0,30991521.0,25826266.0,0.0,0.0,103305069.0,56817787.0
Africa,Africa,BEN,Benin,BEN,Benin,IND,S,816,2417707.0,8474.0,296444752.0,259389156.0,185277968.0,0.0,0.0,741111883.0,444667124.0
Africa,Africa,BEN,Benin,BEN,Benin,RES,ADO/E,816,64649044.0,792037.0,1919508152.0,2399385188.0,5278647422.0,833904.0,4324000.0,9597540767.0,7678032610.0
Africa,Africa,BEN,Benin,BEN,Benin,RES,MCF,1224,4376579.0,49486.0,232098899.0,348148354.0,580247254.0,54904.0,257648.0,1160494504.0,928395608.0
Africa,Africa,BEN,Benin,BEN,Benin,RES,MUR,2448,54700120.0,650460.0,943124279.0,2829372842.0,5658745693.0,688762.0,3380173.0,9431242809.0,8488118535.0
Africa,Africa,BEN,Benin,BEN,Benin,RES,OT,408,5506283.0,91773.0,69379159.0,86723948.0,190792692.0,91773.0,444983.0,346895799.0,277516640.0
Africa,Africa,BEN,Benin,BEN,Benin,RES,RC,1020,5286502.0,40054.0,210868882.0,702896275.0,492027394.0,54902.0,257651.0,1405792553.0,1194923669.0
Africa,Africa,BEN,Benin,BEN,Benin,RES,W,1020,47001687.0,643847.0,1296893729.0,1636611848.0,3241069250.0,650364.0,3434040.0,6174574826.0,4877681098.0
Africa,Africa,BFA,Burkina_Faso,BFA,Burkina Faso,COM,ADO/E,2562,18754924.0,102264.0,1141452881.0,1141452881.0,2282905772.0,0.0,0.0,4565811531.0,3424358653.0
Africa,Africa,BFA,Burkina_Faso,BFA,Burkina Faso,COM,MCF,2562,377912.0,1966.0,38536867.0,46244243.0,69366364.0,0.0,0.0,154147472.0,115610607.0
