ISO3,ISO3_NUMERIC,COUNTRY,CONTINENT,GEM_REGION,ID_0,NAME_0,OCCUPANTS_PER_ASSET_RES,POP_RANK,UN_POP21,POP_%,BUILDINGS_TOTAL,BDG_RANK,BUILDINGS_RES,BUILDINGS_COM,BUILDINGS_IND,%_BDG_RES,%_BDG_COM,%_BDG_IND,%_IND/COM_BDG,DWELLINGS_RES,OCC_PER_DWL/BDG,AVG_HOH_PRB,%_HOH,AREA_SQM_TOTAL,AREA_RANK,AREA_SQM_RES,AREA_SQM_COM,AREA_SQM_IND,AREA_RES_PER_CAPITA,%_AREA_RES,%_AREA_COM,%_AREA_IND,COST_STRUCTURAL_USD_TOTAL,COST_NONSTRUCTURAL_USD_TOTAL,COST_CONTENTS_USD_TOTAL,COST_BDG_USD_TOTAL,COST_USD_TOTAL,TOT_COST_RANK,COST_USD_RES,COST_USD_COM,COST_USD_IND,%_COST_RES,%_COST_COM,%_COST_IND,COST_BDG_USD_COM,COST_BDG_USD_IND,COST_BDG_USD_RES,COST_CONTENTS_USD_COM,COST_CONTENTS_USD_IND,COST_CONTENTS_USD_RES,%_CONTENTS_COST/BDG_COST-RES,%_CONTENTS_COST/BDG_COST-COM,%_CONTENTS_COST/BDG_COST-IND,AVG_COST_PER_AREA_USD_TOTAL,AVG_COST_AREA_RANK,AVG_COST_PER_AREA_USD_RES,AVG_COST_PER_AREA_USD_COM,AVG_COST_PER_AREA_USD_IND,AVG_COST_AREA_COM/RES,AVG_COST_AREA_IND/RES,AVG_BDG_COST_PER_AREA_RES,AVG_BDG_COST_PER_AREA_COM,AVG_BDG_COST_PER_AREA_IND,BDG_COST_PER_CAPITA,TOT_COST_PER_CAPITA,TOT_COST_PER_CAPITA_RANK,BGD_RES_PER_CAPITA,EMPL_AGR_%,EMPL_COM_%,EMPL_IND_%,LABOR_FORCE_%,UNEMPLOYMENT_%,GDP_%_AGR,GDP_%_IND,GDP_%_MAN,GDP_%_SER,GDP_PER_CAPITA,GDP_USD,GDP_RANK,PWT10_NC_STRUC,BDG_COST / PWT_NC
AFG,4,Afghanistan,Asia,South_Asia,AFG,Afghanistan,79592434.0,19.0,39835428.0,1.9980313503848885,10843760.0,28.0,10173938.0,522582.0,147240.0,0.9382297284336798,0.04819195555785078,0.013578316008469387,0.28175482508008315,10204190.0,7.799975696258106,8.0,0.9749969620322633,1111476430.6658,33.0,941184572.7787,119124380.48120001,51167477.4059,11.825050767748854,0.8467877022051729,0.10717670406185918,0.04603559373296787,190746707149.0,120389436475.0,92407922956.0,311136143624.0,403714474734.0,55.0,279155161720.0,89960439067.0,34598873947.0,0.6914668142724637,0.22283183957244354,0.0857013461550928,61898994767.0,21658341899.0,227578806958.0,28061444298.0,12770123931.0,51576354727.0,0.22663074570260178,0.45334248809094235,0.5896168779009633,363.2236038439121,142.0,296.5998060251223,755.1807506037557,676.1887765647498,2.546126920055339,2.279801816551006,241.8004008354166,519.6165093741561,423.2833627342869,3909.1170854757374,5072.272004321416,166.0,0.1278254412975987,42.5,38.9599990844727,18.5499992370605,,,25.7739707394105,14.0581123697768,7.04318108092508,55.4728067408306,507.103391875763,19291104007.6135,113.0,,
ALB,8,Albania,Europe,Europe,ALB,Albania,2854000.0001,138.0,2872934.0,0.9934095249316551,643617.8,133.0,598267.0,29424.8,15926.0,0.9295376852535775,0.045717815759601425,0.02474449898682106,0.5412441206057476,1012052.432,2.820011997263794,3.7,0.7621654046658902,53160832.504300006,148.0,48041504.531,3112655.4451,2006672.5282,16.83304293248658,0.9037011323536757,0.05855166855876886,0.03774719908755543,9457759390.0,15598574814.77,9567487927.79,25056334204.769997,34623822132.6,139.0,26784332112.96,4930725065.29,2908764954.35,0.7735810336127292,0.1424084564207452,0.08401050996652555,2465362532.8399997,1163505981.83,21427465690.1,2465362532.8,1745258972.62,5356866422.37,0.24999999999276631,0.9999999999837754,1.4999999998925662,651.3032340078457,108.0,557.5248397076475,1584.0895827554698,1449.5464075342593,2.8412896967714083,2.599967399289987,446.0198717605395,792.0447914403823,579.8185630585541,8779.374283073603,12131.682596841918,135.0,0.2096240364327392,36.4199981689453,43.4300003051758,20.1499996185303,60.31,11.47,18.4633799189155,20.2359624888842,6.27014252825588,48.5759175924794,5355.84779459031,15286612572.6895,124.0,64131682994.36,0.39070133567169213
DZA,12,Algeria,Africa,Africa,DZA,Algeria,43770499.0,35.0,44616626.0,0.981035612150502,7139445.0,39.0,6633261.0,306780.0,199404.0,0.9291003712473449,0.04296972663841517,0.02792990211423997,0.6499902210052807,7450039.0,5.875204008999147,5.9,0.9957972896608723,732903104.0,44.0,609293685.0,66803361.0,56806058.0,13.92019051462036,0.8313427541439367,0.09114896721736357,0.07750827863869983,124025791462.0,109485393895.0,72282617200.0,233511185357.0,305793802754.0,63.0,237059408942.0,39890732548.0,28843661264.0,0.7752263348930772,0.13044977428823384,0.09432389081868894,27051482378.0,16513619521.0,189946083458.0,12839250034.0,12330041748.0,47113325418.0,0.2480352559015384,0.47462278978255557,0.7466589461093107,417.2363319039784,138.0,389.07248635278404,597.1366103570747,507.7567829825474,1.5347695642904764,1.305044177608973,311.74799301916283,404.9419366489659,290.7017332728844,5334.898863204644,6986.299213860916,151.0,0.151546387442373,9.60000038146973,59.9900016784668,30.4200000762939,,,12.3803742846933,37.4392387031716,23.8355614515158,46.2339010098736,3975.5089933335,171157803367.473,55.0,679852734288.68,0.3434731870297166
ASM,16,American_Samoa,Oceania,Oceania,ASM,American Samoa,54508.1638,201.0,55103.0,0.9892050124312651,17676.0,198.0,17017.0,435.0,224.0,0.9627178094591536,0.024609640190088256,0.01267255035075809,0.5149425287356322,10963.0,4.9720116573930495,,,3143513.7732,199.0,2868683.5219,176477.84279999998,98352.4085,52.62851143593283,0.9125722770349972,0.05614031161707015,0.031287411347932566,1142019609.55,3952657333.22,2401390267.0024,5094676942.7699995,7496067209.7960005,175.0,6620862506.320101,494430722.0508,380773981.42509997,0.883244816384228,0.06595868316184102,0.05079650045393102,207330961.5,101984418.89999999,4785361562.37,287099760.5459,278789562.5258,1835500943.9307,0.3835657807686425,1.384741374220174,2.733648586056708,2384.6140817653345,26.0,2307.9794113834278,2801.6589176644225,3871.5267600701404,1.2139011742678751,1.6774529014318658,1668.1385471202263,1174.8271522956309,1036.9285354104977,93466.31013774856,137521.917584683,21.0,0.31219176750180677,,,,,,,,,,11534.5675441134,638000000.0,185.0,,
AND,20,Andorra,Europe,Europe,AND,Andorra,77000.0,197.0,77354.0,0.9954236367867207,18074.2578,196.0,12616.0757,4252.1821,1206.0,0.698013486340778,0.23526178209099133,0.06672473156823071,0.28361908583360057,27244.986,2.8262080956841014,,,2938729.0848000003,200.0,1720186.3815000001,888697.3279,329845.3754,22.340082876623377,0.5853504463536046,0.3024087291668404,0.11224082447955495,2147989953.11,3417776450.74,3933457869.76,5565766403.85,9499224273.61,170.0,3198640703.2799997,4866204129.929999,1434379440.4,0.33672651693951605,0.5122738436073044,0.1509996394531794,2433102065.08,573751776.17,2558912562.6,2433102064.92,860627664.23,639728140.61,0.24999999998436837,0.9999999999342404,1.4999999999564273,3232.425990794073,12.0,1859.47333247156,5475.659684303187,4348.6419618906075,2.944736871824396,2.338641746537184,1487.578665963296,2737.829842280996,1739.45678478656,72282.68056948052,123366.54900792209,26.0,0.16384513896103894,,,,,,,,,,40897.3308728669,3155065487.51819,162.0,,
AGO,24,Angola,Africa,Africa,AGO,Angola,32812404.0,44.0,33933611.0,0.9669588067123184,6979203.0,43.0,6579875.0,339529.0,59799.0,0.942783151600548,0.0486486780797177,0.008568170319734216,0.17612339446704112,6974844.0,4.704392528349021,4.8,0.9800817767393794,615123107.0,51.0,532332970.0,65748558.0,17041579.0,16.22352845588516,0.8654088327070438,0.10688682842798816,0.02770433886496805,63007175063.0,37235377575.0,21672229678.0,100242552638.0,121914782265.0,92.0,97534589985.0,19872689735.0,4507502545.0,0.8000226729929599,0.16300475927360258,0.036972567733437524,14579680332.0,2925164732.0,82737707574.0,5293009422.0,1582337807.0,14796882449.0,0.17884085603611602,0.3630401559890662,0.5409397254417602,198.19574468529922,190.0,183.22102045454747,302.25286058745195,264.5002875027015,1.6496625760385026,1.4436132210513333,155.42472895112996,221.74905086131318,171.64869123923316,3055.0200661310887,3715.5089966891787,185.0,0.20053011050333283,50.7299995422363,42.4700012207031,6.80000019073486,,,6.66070380425936,49.986772065329,4.30866653967553,38.8503462339698,2809.62608839129,89417190341.2533,66.0,252638922937.01,0.39678190309176264
AIA,660,Anguilla,North America,Caribbean_Central_America,AIA,Anguilla,14762.0,211.0,15125.0,0.976,3661.0,211.0,3012.0,563.0,86.0,0.8227260311390331,0.15378311936629335,0.023490849494673588,0.152753108348135,3106.0,4.752736638763683,,,1228893.9906,207.0,1061222.8726,148632.0,19039.118,71.88882757078986,0.8635593311688866,0.12094777998501835,0.01549288884609507,122815091.259,147387376.143,124466217.498,270202467.402,394668684.9,212.0,214531323.29999998,164958393.6,15178968.0,0.5435732083845398,0.41796676531809634,0.038460026297363836,102118234.68,7627334.4,160456898.322,62840158.92,7551633.6,54074424.978,0.33700280600890775,0.6153666788004839,0.990075064756568,321.1576327322631,149.0,202.1548242494976,1109.844404973357,797.2516373920263,5.490071330692546,3.9437675571277278,151.1999999857523,687.0541651865009,400.6138519652014,18303.920024522424,26735.448103238043,89.0,0.20403739330713996,,,,,,,,,,,,,2045693253.33,0.1320835696955845
ATG,28,Antigua_and_Barbuda,North America,Caribbean_Central_America,ATG,Antigua and Barbuda,100788.0,193.0,98728.0,1.020865407989628,25704.0,192.0,23943.0,1421.0,340.0,0.9314892623716153,0.05528322440087146,0.013227513227513227,0.23926812104152007,27906.0,3.611696409374328,,,7954254.6739,183.0,7392724.3762,419502.0,142028.2977,73.34925165892764,0.9294050390990712,0.0527393221864641,0.01785563871446462,604946797.0742,774050965.4696,810965669.2781,1378997762.5437999,2189963431.8219,199.0,1635227925.8534,445335532.1466,109399973.82190001,0.746691886308349,0.2033529536043948,0.04995516008725621,274415899.5392,54892412.3036,1049689450.701,170919632.6074,54507561.518300004,585538475.1524,0.5578206723534925,0.622848868795171,0.9929889984945195,275.31975296286976,165.0,221.1942232173328,1061.5814278515954,770.2688520070885,4.799318049136149,3.4823190262535313,141.98952879676548,654.1468206091986,386.4892644108625,13682.162187401276,21728.414412647337,100.0,0.23755804262412192,,,,,,1.76007844360751,21.5708778107102,2.28957279433067,66.2552091458115,17113.3497705088,1661962962.96296,173.0,6918811303.7,0.1993113704092996
ARG,32,Argentina,South America,South_America,ARG,Argentina,45374179.994899996,32.0,45605823.0,0.9949207581430993,11869183.0,27.0,11147575.0,522909.0,198699.0,0.9392032290680833,0.04405602306409801,0.016740747867818703,0.37998772252915897,13685742.92,3.3154341901740176,3.3,1.00467702732546,1302531959.9988,27.0,1075932515.0,161284544.99920002,65314899.9996,23.71243987485688,0.8260315662434811,0.12382386763035634,0.050144566126162596,578099968074.74,385402150546.71893,332729292357.5421,963502118621.459,1296231410978.3208,27.0,1057539294175.252,160414128132.8686,78277988670.2003,0.8158568641513495,0.12375423614507015,0.060388899703580384,106470379535.7174,42463829085.7415,814567910000.0,53943748597.8071,35814159584.4831,242971384175.2519,0.2982825387452986,0.5066549854808275,0.8434039123548747,995.1628449712013,72.0,982.9048564214569,994.6032221107376,1198.47061957807,1.0119018291677508,1.2193149843021849,757.0808565070645,660.1399999996621,650.1400000000239,21234.590216941782,28567.59970370849,85.0,0.24568102390507054,0.0599999986588955,78.0999984741211,21.8400001525879,60.29,9.84,6.088397130802,23.4098534223297,13.0029825727316,54.3334016942752,9912.28180859863,445445177459.453,26.0,1102078352201.99,0.8742591819323454
ARM,51,Armenia,Asia,Middle_East,ARM,Armenia,3052256.0,137.0,2968128.0,1.0283437911033486,646172.0,132.0,614220.0,24896.0,7056.0,0.9505518654475898,0.03852844134379082,0.010919693208619376,0.2834190231362468,847862.0,3.5999443305632286,3.5,1.0285555230180654,101647118.0,129.0,90093960.0,8630006.0,2923152.0,29.51717025046392,0.8863405256605504,0.0849016299704631,0.028757844368986436,20579433017.0,20867618018.0,9009027576.0,41447051035.0,50456078528.0,130.0,41223475654.0,6888100173.0,2344502701.0,0.8170170345506245,0.13651675623537668,0.046466209213998785,4606272295.0,1248509579.0,35592269161.0,2281827953.0,1095993118.0,5631206505.0,0.15821431557306714,0.4953740914267857,0.877841176739582,496.38474283156756,129.0,457.5609247723155,798.1570549313639,802.0461135787671,1.744373288275284,1.7528728310396458,395.05721760926036,533.7507639044516,427.1107280770894,13579.15293966168,16530.749232043447,119.0,0.2012347588144638,24.0499992370605,51.2000007629395,24.75,59.67,18.3,11.9883560296292,24.2874002052175,11.7393923621122,54.2338376614097,4622.73818208855,13672802157.8324,131.0,39450361519.2,1.0506127051542542
