ID_0,NAME_0,ID_1,NAME_1,NAME0_ID1,ADO/E,MUR,Masonry,Others,RC,W,ADO/E_%,MUR_%,Masonry_%,Others_%,RC_%,W_%
ABW,Aruba,ABW,Aruba,Aruba_ABW,,,1460.0,641.0,1198.0,19561.0,,,0.06386701662292213,0.028040244969378826,0.052405949256342954,0.8556867891513561
AFG,Afghanistan,AFG-ADM1-1590546715-B1,Ghor,Afghanistan_AFG-ADM1-1590546715-B1,97779.0,32465.0,996.0,4701.0,1083.0,,0.7135903199439514,0.23692929705744978,0.00726879962634283,0.034307858477347034,0.00790372489490892,
AFG,Afghanistan,AFG-ADM1-1590546715-B10,Khost,Afghanistan_AFG-ADM1-1590546715-B10,81416.0,27031.0,826.0,3915.0,901.0,,0.7136183155255984,0.23692906415167106,0.0072399617842210905,0.03431531523635057,0.00789734330215884,
AFG,Afghanistan,AFG-ADM1-1590546715-B11,Kabul,Afghanistan_AFG-ADM1-1590546715-B11,627330.0,208296.0,6418.0,30164.0,6980.0,,0.71353339672516,0.23691861126403,0.007299917651287324,0.03430893051315532,0.00793914384636733,
AFG,Afghanistan,AFG-ADM1-1590546715-B12,Faryab,Afghanistan_AFG-ADM1-1590546715-B12,126966.0,42160.0,1295.0,6105.0,1413.0,,0.7135366614401565,0.23693512945447598,0.007277774967826053,0.03430951056260854,0.007940923574932982,
AFG,Afghanistan,AFG-ADM1-1590546715-B13,Parwan,Afghanistan_AFG-ADM1-1590546715-B13,20136.0,6686.0,200.0,968.0,217.0,,0.7138653525720566,0.23703336051334775,0.007090438543623923,0.03431772255113979,0.007693125819831957,
AFG,Afghanistan,AFG-ADM1-1590546715-B14,Hirat,Afghanistan_AFG-ADM1-1590546715-B14,270211.0,89723.0,2761.0,12991.0,3003.0,,0.7135433033439049,0.23693056835556353,0.00729094322782019,0.034305195028110136,0.007929990044601242,
AFG,Afghanistan,AFG-ADM1-1590546715-B15,Logar,Afghanistan_AFG-ADM1-1590546715-B15,55560.0,18445.0,564.0,2671.0,609.0,,0.7136893216354738,0.236933037033231,0.007244794409690555,0.03431001040475793,0.007822836516846716,
AFG,Afghanistan,AFG-ADM1-1590546715-B16,Takhar,Afghanistan_AFG-ADM1-1590546715-B16,79442.0,26369.0,804.0,3818.0,877.0,,0.7137004761476956,0.23689695445153175,0.007223070703440841,0.03430060192255862,0.007878896774773157,
AFG,Afghanistan,AFG-ADM1-1590546715-B17,Laghman,Afghanistan_AFG-ADM1-1590546715-B17,63121.0,20953.0,643.0,3034.0,695.0,,0.7136670963073514,0.23690161228320106,0.007269972638672184,0.03430341677407684,0.00785790199669855,
