CONTINENT,GEM_REGION,ISO3,COUNTRY,ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,ISO3_NUMERIC,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD,COST_BDG_USD
Africa,Africa,AGO,Angola,AGO,Angola,COM,ADO/E,72,103744.0,1141668121.0,1141668121.0,2283336242.0,143587.0,0.0,19022586.0,4566672466.0,1289.980637834149,734.180824372038,3425004363.0
Africa,Africa,AGO,Angola,AGO,Angola,COM,MCF,144,20515.0,399839488.0,479807385.0,719711076.0,29486.0,0.0,3978042.0,1599357958.0,2559.732291936283,2449.544670625802,1199518461.0
Africa,Africa,AGO,Angola,AGO,Angola,COM,MUR,288,169967.0,2317306164.0,2317306164.0,4634612338.0,235147.0,0.0,31149080.0,9269224657.0,5130.6464864925065,3490.999787009283,6951918502.0
Africa,Africa,AGO,Angola,AGO,Angola,COM,RC,240,13907.0,713438881.0,951251842.0,713438881.0,32526.0,0.0,5288302.0,2378129612.0,10347.135251735072,4623.9121503637525,1664690723.0
Africa,Africa,AGO,Angola,AGO,Angola,COM,W,72,31396.0,720756768.0,823722021.0,514826262.0,47093.0,0.0,6310548.0,2059305042.0,839.3777340580066,985.970283201687,1338548283.0
Africa,Africa,AGO,Angola,AGO,Angola,IND,MCF,96,3874.0,121347129.0,86676520.0,138682435.0,3874.0,0.0,1104487.0,346706083.0,1391.334290987782,1255.6314329457084,225358955.0
Africa,Africa,AGO,Angola,AGO,Angola,IND,MUR,192,36693.0,677855327.0,451903556.0,1129758884.0,36693.0,0.0,10456997.0,2259517762.0,2805.1434711450975,1661.4482823336389,1581662440.0
Africa,Africa,AGO,Angola,AGO,Angola,IND,RC,96,4280.0,203614886.0,135743259.0,113119376.0,4280.0,0.0,1219692.0,452477545.0,1401.94589195502,1483.9055458051973,248862635.0
Africa,Africa,AGO,Angola,AGO,Angola,IND,S,96,14952.0,579520465.0,507080408.0,362200294.0,14952.0,0.0,4260403.0,1448801155.0,1398.8137709684713,1360.2480007760246,869280702.0
Africa,Africa,AGO,Angola,AGO,Angola,RES,ADO/E,96,1714624.0,4425697054.0,5532121333.0,12170666920.0,1789269.0,8305484.0,133415031.0,22128485306.0,901.0271960705015,721.1192311336245,17702788253.0
Africa,Africa,AGO,Angola,AGO,Angola,RES,MCF,144,331303.0,1723934878.0,2585902322.0,4309837199.0,367602.0,1786374.0,29302436.0,8619674395.0,1680.9267104419494,1937.7931091716116,6895739521.0
Africa,Africa,AGO,Angola,AGO,Angola,RES,MUR,288,2767567.0,4421589033.0,13264767104.0,26529534204.0,2930581.0,13862514.0,232742542.0,44215890318.0,3364.504292856613,2454.5381157965726,39794301308.0
Africa,Africa,AGO,Angola,AGO,Angola,RES,OT,72,894634.0,750318018.0,937897524.0,2063374548.0,894634.0,4152733.0,53678019.0,3751590086.0,179.99944416909688,209.67184149678462,3001272072.0
Africa,Africa,AGO,Angola,AGO,Angola,RES,RC,240,296168.0,1729597984.0,5765326612.0,4035728623.0,405943.0,1972683.0,39086135.0,11530653228.0,4936.716514318989,3275.094673826307,9801055235.0
Africa,Africa,AGO,Angola,AGO,Angola,RES,W,120,575579.0,1745745482.0,2254203404.0,3288347781.0,586815.0,2732616.0,44108807.0,7288296652.0,468.725479513037,965.6288965509065,5542551185.0
Africa,Africa,BDI,Burundi,BDI,Burundi,COM,ADO/E,864,18161.0,152839638.0,152839638.0,305679299.0,25030.0,0.0,3311750.0,611358586.0,2848.666800695975,1498.7884235375564,458518937.0
Africa,Africa,BDI,Burundi,BDI,Burundi,COM,MCF,216,39.0,479971.0,575962.0,863947.0,50.0,0.0,6305.0,1919880.0,384.13961038961037,609.8718471208435,1439909.0
Africa,Africa,BDI,Burundi,BDI,Burundi,COM,MUR,1080,2207.0,21952112.0,21952112.0,43904250.0,2984.0,0.0,390278.0,87808483.0,2718.1883854609323,2242.976588027299,65856362.0
Africa,Africa,BDI,Burundi,BDI,Burundi,COM,RC,432,19.0,593060.0,790745.0,593060.0,39.0,0.0,5826.0,1976866.0,1518.011111111111,1328.216239859438,1383805.0
Africa,Africa,BDI,Burundi,BDI,Burundi,COM,W,324,187.0,3022163.0,3453896.0,2158683.0,268.0,0.0,34431.0,8634742.0,788.1455128205129,763.6138719772013,5612579.0
Africa,Africa,BDI,Burundi,BDI,Burundi,IND,MCF,216,87.0,1633526.0,1166802.0,1866887.0,87.0,0.0,19337.0,4667225.0,487.6277056277057,482.7112637211167,3033689.0
Africa,Africa,BDI,Burundi,BDI,Burundi,IND,MUR,864,4405.0,60098021.0,40065359.0,100163354.0,4405.0,0.0,1250917.0,200326696.0,2734.67704478593,1277.6985825220274,140228713.0
Africa,Africa,BDI,Burundi,BDI,Burundi,IND,RC,216,106.0,3116030.0,2077351.0,1731132.0,106.0,0.0,24271.0,6924512.0,506.30520393811537,570.6225032302784,3808483.0
Africa,Africa,BDI,Burundi,BDI,Burundi,IND,S,432,1534.0,44972768.0,39351183.0,28107982.0,1534.0,0.0,429960.0,112431933.0,1346.0658926943102,1046.024699950357,67459165.0
Africa,Africa,BDI,Burundi,BDI,Burundi,RES,ADO/E,1080,1676595.0,3622629067.0,4528286353.0,9962229977.0,1768009.0,8503190.0,138007883.0,18113145394.0,2570.4478343019214,1448.661388498124,14490516330.0
