ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
COL,Colombia,AREA # 05,Antioquia,Com,45494.999999376,5247824322.708171,5681286595.612756,4500588413.991859,0.0,14916894.18748728,15429699332.38869,327.87985905466263,1034.377474188398
COL,Colombia,AREA # 05,Antioquia,Ind,37631.0,4772585195.38278,3061561322.96335,2323795928.68073,0.0,10937375.0,10157942447.0095,290.64800297626954,928.7367807183625
COL,Colombia,AREA # 05,Antioquia,Res,768901.235362462,22393900113.28929,36444065576.116,46803504008.03943,6031625.400008497,286036238.40134746,105641469206.32863,372.00647527443397,369.32896963250994
COL,Colombia,AREA # 08,Atlántico,Com,20250.900000199,2309642157.002816,2499958937.331834,1974238895.477195,0.0,6561850.50007369,6783839989.66765,324.0275987738426,1033.8303180774185
COL,Colombia,AREA # 08,Atlántico,Ind,15700.0,1957687785.79167,1257735463.44929,924904209.85559,0.0,4417462.5,4140327459.0821,281.3670382165605,937.2637479281601
COL,Colombia,AREA # 08,Atlántico,Res,389433.0,9770760759.1,14318879945.4,19874689931.1,2324382.1,102358562.7,43964330616.8,262.8399819737927,429.5129733860556
COL,Colombia,AREA # 11,Bogota,Com,126807.300000655,14777849578.438549,16058629994.97341,12508279071.596031,0.0,42132706.87590518,43344758644.62813,332.25773970179597,1028.7674792007274
COL,Colombia,AREA # 11,Bogota,Ind,93899.0,11834971866.16649,7595408223.15906,5771688344.20823,0.0,27123100.0,25202068433.442398,288.85398140555276,929.1735986462609
COL,Colombia,AREA # 11,Bogota,Res,741583.0,33976880883.344627,55450161321.33812,64914899437.23436,7965406.000034025,174994017.5147676,154341941642.25757,235.97360985185418,881.9841034236088
COL,Colombia,AREA # 13,Bolívar,Com,12925.799999553,1571917229.90649,1709222753.718392,1325846115.665585,0.0,4508115.74995862,4606986099.2704,348.76879961894196,1021.9316350323718
COL,Colombia,AREA # 13,Bolívar,Ind,9148.0,1150283278.92314,738670137.91234,530043271.11543,0.0,2572900.0,2418996687.9587,281.25273283777875,940.1829406345759
COL,Colombia,AREA # 13,Bolívar,Res,297804.0,6586468572.0,9591508559.3,13356044189.3,1877530.9,81472802.9,29534021166.7,273.57860505567425,362.5015970415325
