ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
COL,Colombia,Com,ADO/E,MUR+ADO/LWAL+DNO/H:1/COM02,7593.300000531,337598118.007132,281331764.990218,506397177.01964,0.0,854246.25005399,1125327059.97997,112.4999999992431,1317.3333332266277
COL,Colombia,Com,MCF,MCF/LWAL+DUL/H:1/COM01,9522.899999771,592137323.048551,592137323.048551,789516430.6786261,0.0,2142652.50000573,1973791076.78095,225.00000000601236,921.1904761857892
COL,Colombia,Com,MCF,MCF/LWAL+DUL/H:1/COM02,10067.400000053,447596603.997857,447596603.997857,596795472.003849,0.0,1132582.5000100299,1491988679.98679,112.50000000040401,1317.3333333100036
COL,Colombia,Com,MCF,MCF/LWAL+DUL/H:1/COM2,4030.199999732,250599275.349422,250599275.349422,334132367.142894,0.0,906794.99998998,835330917.81633,225.00000001247582,921.1904761556474
COL,Colombia,Com,MCF,MCF/LWAL+DUL/H:1/COM4,2637.899999768,82012782.05402,82012782.05402,109350376.06968701,0.0,296763.75001653,273375940.20817,112.50000001616058,921.190476238903
COL,Colombia,Com,MCF,MCF/LWAL+DUL/H:1/COM5,4264.199999479,318179374.716686,318179374.716686,424239166.29823,0.0,1151333.99987315,1060597915.74183,270.00000000324087,921.1904763158936
COL,Colombia,Com,MCF,MCF/LWAL+DUL/H:2/COM01,9358.199999958,1163792436.49386,1163792436.49386,1551723248.47067,0.0,4211190.0000379,3879308121.51098,450.00000000606957,921.1904762017546
COL,Colombia,Com,MCF,MCF/LWAL+DUL/H:2/COM02,12608.0999992,1121112252.002016,1121112252.002016,1494816335.9358,0.0,2836822.49987714,3737040839.87948,225.000000004532,1317.3333333479015
COL,Colombia,Com,MCF,MCF/LWAL+DUL/H:2/COM2,4140.899999982,514965281.75443,514965281.75443,686620375.68404,0.0,1863405.00012825,1716550939.25868,450.0000000329277,921.1904761125667
COL,Colombia,Com,MCF,MCF/LWAL+DUL/H:2/COM4,1782.899999884,110861358.749884,110861358.749884,147815144.998458,0.0,401152.50001983996,369537862.50686,225.000000025767,921.1904761620173
COL,Colombia,Com,MCF,MCF/LWAL+DUL/H:2/COM5,4941.000000134,737359547.0736799,737359547.0736799,983146062.91098,0.0,2668140.00016416,2457865157.04651,540.0000000185792,921.1904760976888
COL,Colombia,Com,MUR,MUR/LWAL+DNO/H:1/COM02,21486.599999825,955294236.012048,796078530.027308,1432941353.997022,0.0,2417242.50004856,3184314120.06797,112.50000000317628,1317.333333334988
COL,Colombia,Com,MUR,MUR/LWAL+DNO/H:1/COM2,4045.4999996330002,251550634.811809,209625529.009841,377325952.216699,0.0,910237.49995241,838502116.04865,225.00000000864787,921.190476213614
COL,Colombia,Com,MUR,MUR/LWAL+DNO/H:1/COM5,2147.400000342,160231318.719345,133526098.92829901,240346978.05577,0.0,579798.0001221499,534104395.71249,270.00000001388185,921.1904759933057
COL,Colombia,Com,MUR,MUR/LWAL+DNO/H:2/COM02,15288.299999181,1359435635.951518,1132863029.966584,2039153454.04391,0.0,3439867.49994466,4531452119.98201,225.00000000843357,1317.3333333492965
COL,Colombia,Com,MUR,MUR/LWAL+DNO/H:2/COM5,1577.699999897,235444678.67643,196203898.93357,353167018.07049,0.0,851957.99995832,784815595.69356,540.0000000088356,921.190476211216
COL,Colombia,Com,OT,UNK/LN+DNO/H:1/COM02,5005.799999906,279623987.997783,319570272.001394,199731419.999699,0.0,563152.50002981,798925679.97789,112.50000000806763,1418.6666665523096
COL,Colombia,Com,OT,UNK/LN+DNO/H:1/COM5,1268.1000000899999,118882911.805188,135866184.90862,84916365.576428,0.0,342387.00003441,339665462.29256,270.0000000079726,992.0512819073841
COL,Colombia,Com,RC,CR+PC/LFM+DUH/HBET:1-3/COM01,2683.800000011,366921265.24317,419338588.83402,262086618.03393,0.0,1056746.25000182,1048346472.11243,393.7499999990643,992.0512820467775
