REGION,ID_0,NAME_0,MACRO_TAXONOMY,TAXONOMY,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON
Africa,AGO,Angola,ADO|ST|E,E+ETO/LWAL/CDN+ERN/H:1/RES,597282.0,2153202398.0,379976894.0,0.0,0.0,2503749.0,35836931.0,2533179293.0,3201886.0
Africa,AGO,Angola,ADO|ST|E,MUR+ADO/LWAL/CDN+ERN/H:1/COM,73358.0,1334921274.0,444973758.0,0.0,0.0,0.0,9535151.0,1779895026.0,809162.0
Africa,AGO,Angola,ADO|ST|E,MUR+ADO/LWAL/CDN+ERN/H:1/RES,851128.0,3068313681.0,541467119.0,0.0,0.0,3567856.0,51067624.0,3609780798.0,3136688.0
Africa,AGO,Angola,ADO|ST|E,MUR+ADO/LWAL/CDN+ERN/H:2/COM,36669.0,1334910237.0,444970079.0,0.0,0.0,0.0,9535073.0,1779880317.0,811504.0
Africa,AGO,Angola,ADO|ST|E,MUR+ADO/LWAL/CDN+ERN/H:2/RES,829854.0,5024363051.0,886652307.0,0.0,0.0,3567868.0,83623225.0,5911015353.0,5149892.0
Africa,AGO,Angola,ADO|ST|E,MUR+ADO/LWAL/CDN+ERN/H:3/COM,1541.0,194094604.0,64698196.0,0.0,0.0,0.0,1386390.0,258792798.0,118334.0
Africa,AGO,Angola,ADO|ST|E,MUR+ADO/LWAL/CDN+ERN/H:3/RES,11196.0,457542511.0,80742797.0,0.0,0.0,375510.0,7615089.0,538285307.0,470206.0
Africa,AGO,Angola,ADO|ST|E,MUR+STDRE/LWAL/CDN+ERN/H:1/COM,5554.0,461791185.0,153930392.0,0.0,0.0,0.0,721548.0,615721585.0,219384.0
Africa,AGO,Angola,ADO|ST|E,MUR+STDRE/LWAL/CDN+ERN/H:1/IND,1111.0,103017667.0,55471053.0,0.0,0.0,0.0,245279.0,158488724.0,72473.0
Africa,AGO,Angola,ADO|ST|E,MUR+STDRE/LWAL/CDN+ERN/H:1/RES,85822.0,2780633697.0,490700067.0,0.0,0.0,359761.0,5149323.0,3271333763.0,1224316.0
Africa,AGO,Angola,ADO|ST|E,MUR+STDRE/LWAL/CDN+ERN/H:2/COM,2776.0,461827461.0,153942488.0,0.0,0.0,0.0,721604.0,615769946.0,219702.0
Africa,AGO,Angola,ADO|ST|E,MUR+STDRE/LWAL/CDN+ERN/H:2/IND,370.0,74916178.0,40339482.0,0.0,0.0,0.0,178369.0,115255662.0,52776.0
Africa,AGO,Angola,ADO|ST|E,MUR+STDRE/LWAL/CDN+ERN/H:2/RES,83681.0,4553287327.0,803521294.0,0.0,0.0,359751.0,8432013.0,5356808619.0,2007122.0
Africa,AGO,Angola,ADO|ST|E,MUR+STDRE/LWAL/CDN+ERN/H:3/COM,109.0,63392825.0,21130941.0,0.0,0.0,0.0,99051.0,84523766.0,30196.0
Africa,AGO,Angola,ADO|ST|E,MUR+STDRE/LWAL/CDN+ERN/H:3/RES,1129.0,414654375.0,73174297.0,0.0,0.0,37843.0,767879.0,487828680.0,182995.0
Africa,AGO,Angola,ADO|ST|E,MUR+STRUB/LWAL/CDN+ERN/H:1/COM,5048.0,419893072.0,139964360.0,0.0,0.0,0.0,656082.0,559857427.0,199479.0
Africa,AGO,Angola,ADO|ST|E,MUR+STRUB/LWAL/CDN+ERN/H:1/IND,1657.0,153607858.0,82711924.0,0.0,0.0,0.0,365733.0,236319779.0,108062.0
Africa,AGO,Angola,ADO|ST|E,MUR+STRUB/LWAL/CDN+ERN/H:1/RES,78153.0,890925600.0,157222167.0,0.0,0.0,327606.0,4689082.0,1048147764.0,1114881.0
Africa,AGO,Angola,ADO|ST|E,MUR+STRUB/LWAL/CDN+ERN/H:2/COM,2523.0,419841792.0,139947261.0,0.0,0.0,0.0,656004.0,559789050.0,199729.0
Africa,AGO,Angola,ADO|ST|E,MUR+STRUB/LWAL/CDN+ERN/H:2/IND,553.0,111713352.0,60153343.0,0.0,0.0,0.0,265984.0,171866692.0,78700.0
Africa,AGO,Angola,ADO|ST|E,MUR+STRUB/LWAL/CDN+ERN/H:2/RES,76199.0,1458888967.0,257450994.0,0.0,0.0,327619.0,7678365.0,1716339962.0,1827726.0
Africa,AGO,Angola,ADO|ST|E,MUR+STRUB/LWAL/CDN+ERN/H:3/COM,97.0,57270216.0,19090073.0,0.0,0.0,0.0,89487.0,76360289.0,27282.0
Africa,AGO,Angola,ADO|ST|E,MUR+STRUB/LWAL/CDN+ERN/H:3/RES,1027.0,132857517.0,23445443.0,0.0,0.0,34480.0,699251.0,156302962.0,166638.0
Africa,AGO,Angola,CR-,CR/LFINF/CDL+ERL/H:1/COM,4346.0,311219326.0,54921056.0,0.0,0.0,0.0,565852.0,366140388.0,280337.0
Africa,AGO,Angola,CR-,CR/LFINF/CDL+ERL/H:1/IND,3474.0,381915386.0,127305132.0,0.0,0.0,0.0,763832.0,509220517.0,376068.0
Africa,AGO,Angola,CR-,CR/LFINF/CDL+ERL/H:1/RES,41254.0,1014867528.0,179094270.0,0.0,0.0,172932.0,2475288.0,1193961800.0,848489.0
Africa,AGO,Angola,CR-,CR/LFINF/CDL+ERL/H:2/COM,7607.0,1089310781.0,192231316.0,0.0,0.0,0.0,1980563.0,1281542100.0,981982.0
Africa,AGO,Angola,CR-,CR/LFINF/CDL+ERL/H:2/IND,1160.0,277751070.0,92583686.0,0.0,0.0,0.0,555501.0,370334767.0,273745.0
Africa,AGO,Angola,CR-,CR/LFINF/CDL+ERL/H:2/RES,140783.0,5816468174.0,1026435561.0,0.0,0.0,605269.0,14186508.0,6842903734.0,4866424.0
Africa,AGO,Angola,CR-,CR/LFINF/CDL+ERL/H:3/COM,5081.0,1256520199.0,221738858.0,0.0,0.0,0.0,2284583.0,1478259060.0,1133605.0
Africa,AGO,Angola,CR-,CR/LFINF/CDL+ERL/H:3/RES,112507.0,6790808481.0,1198377964.0,0.0,0.0,605279.0,16562949.0,7989186447.0,5685713.0
Africa,AGO,Angola,CR-,CR/LFINF/CDL+ERL/H:4-7/COM,1309.0,861732064.0,152070362.0,0.0,0.0,0.0,1566785.0,1013802429.0,779254.0
Africa,AGO,Angola,CR-,CR/LFINF/CDL+ERL/H:4-7/RES,5158.0,2029736139.0,358188731.0,0.0,0.0,259403.0,4950574.0,2387924872.0,1703100.0
Africa,AGO,Angola,CR-,CR/LFINF/CDL+ERL/H:>7/COM,213.0,369210044.0,65154713.0,0.0,0.0,0.0,671291.0,434364757.0,334393.0
Africa,AGO,Angola,CR-,CR/LFINF/CDL+ERL/H:>7/RES,1288.0,634293795.0,111934199.0,0.0,0.0,86471.0,1547058.0,746227994.0,532986.0
Africa,AGO,Angola,CR-,CR/LWAL/CDL+ERL/H:1/COM,1365.0,97467418.0,17200137.0,0.0,0.0,0.0,177211.0,114667546.0,96240.0
Africa,AGO,Angola,CR-,CR/LWAL/CDL+ERL/H:1/IND,1090.0,119866292.0,39955432.0,0.0,0.0,0.0,239730.0,159821724.0,124847.0
Africa,AGO,Angola,CR-,CR/LWAL/CDL+ERL/H:1/RES,12947.0,318534988.0,56212055.0,0.0,0.0,54275.0,776915.0,374747043.0,316302.0
Africa,AGO,Angola,CR-,CR/LWAL/CDL+ERL/H:2/COM,2395.0,341852436.0,60326900.0,0.0,0.0,0.0,621550.0,402179331.0,337822.0
Africa,AGO,Angola,CR-,CR/LWAL/CDL+ERL/H:2/IND,361.0,87145660.0,29048554.0,0.0,0.0,0.0,174291.0,116194206.0,90848.0
Africa,AGO,Angola,CR-,CR/LWAL/CDL+ERL/H:2/RES,44189.0,1825600210.0,322164745.0,0.0,0.0,189972.0,4452681.0,2147764954.0,1814141.0
Africa,AGO,Angola,CR-,CR/LWAL/CDL+ERL/H:3/COM,1597.0,394469288.0,69612232.0,0.0,0.0,0.0,717217.0,464081505.0,390132.0
Africa,AGO,Angola,CR-,CR/LWAL/CDL+ERL/H:3/RES,35313.0,2131420061.0,376132953.0,0.0,0.0,189987.0,5198587.0,2507553017.0,2119609.0
Africa,AGO,Angola,CR-,CR/LWAL/CDL+ERL/H:4-7/COM,414.0,268582389.0,47396891.0,0.0,0.0,0.0,488331.0,315979280.0,266268.0
Africa,AGO,Angola,CR-,CR/LWAL/CDL+ERL/H:4-7/RES,1617.0,637053780.0,112421256.0,0.0,0.0,81438.0,1553790.0,749475038.0,634930.0
Africa,AGO,Angola,CR-,CR/LWAL/CDL+ERL/H:>7/COM,62.0,107165354.0,18911534.0,0.0,0.0,0.0,194847.0,126076886.0,106412.0
Africa,AGO,Angola,CR-,CR/LWAL/CDL+ERL/H:>7/RES,403.0,199052147.0,35126848.0,0.0,0.0,27145.0,485493.0,234178998.0,198681.0
Africa,AGO,Angola,MR|MCF,MCF+CB/LWAL/CDL+ERL/H:1/COM,18444.0,1318775513.0,329693876.0,0.0,0.0,0.0,2397774.0,1648469393.0,1335646.0
Africa,AGO,Angola,MR|MCF,MCF+CB/LWAL/CDL+ERL/H:1/IND,3261.0,359617234.0,119872413.0,0.0,0.0,0.0,719234.0,479489638.0,401998.0
Africa,AGO,Angola,MR|MCF,MCF+CB/LWAL/CDL+ERL/H:1/RES,174805.0,4300225419.0,758863309.0,0.0,0.0,732764.0,10488353.0,5059088728.0,4124231.0
Africa,AGO,Angola,MR|MCF,MCF+CB/LWAL/CDL+ERL/H:2/COM,9220.0,1318762269.0,329690566.0,0.0,0.0,0.0,2397751.0,1648452836.0,1336658.0
Africa,AGO,Angola,MR|MCF,MCF+CB/LWAL/CDL+ERL/H:2/IND,1090.0,261536674.0,87178896.0,0.0,0.0,0.0,523072.0,348715566.0,292615.0
Africa,AGO,Angola,MR|MCF,MCF+CB/LWAL/CDL+ERL/H:2/RES,170442.0,7041622678.0,1242639294.0,0.0,0.0,732778.0,17174689.0,8284261974.0,6758108.0
Africa,AGO,Angola,MR|MCF,MCF+CB/LWAL/CDL+ERL/H:3-6/COM,825.0,403933268.0,100983316.0,0.0,0.0,0.0,734421.0,504916584.0,410047.0
Africa,AGO,Angola,MR|MCF,MCF+CB/LWAL/CDL+ERL/H:3-6/RES,4853.0,1353775160.0,238901497.0,0.0,0.0,162817.0,3301890.0,1592676656.0,1301067.0
Africa,AGO,Angola,MR|MCF,MCF+CL/LWAL/CDL+ERL/H:1/COM,4859.0,347570094.0,86892524.0,0.0,0.0,0.0,631948.0,434462616.0,313083.0
Africa,AGO,Angola,MR|MCF,MCF+CL/LWAL/CDL+ERL/H:1/IND,863.0,94735474.0,31578491.0,0.0,0.0,0.0,189471.0,126313957.0,93286.0
Africa,AGO,Angola,MR|MCF,MCF+CL/LWAL/CDL+ERL/H:1/RES,46071.0,1133392908.0,200010513.0,0.0,0.0,193130.0,2764372.0,1333403422.0,947585.0
Africa,AGO,Angola,MR|MCF,MCF+CL/LWAL/CDL+ERL/H:2/COM,2427.0,347556525.0,86889131.0,0.0,0.0,0.0,631922.0,434445655.0,313312.0
Africa,AGO,Angola,MR|MCF,MCF+CL/LWAL/CDL+ERL/H:2/IND,293.0,68926121.0,22975376.0,0.0,0.0,0.0,137851.0,91901497.0,67934.0
Africa,AGO,Angola,MR|MCF,MCF+CL/LWAL/CDL+ERL/H:2/RES,44925.0,1855931761.0,327517370.0,0.0,0.0,193137.0,4526664.0,2183449127.0,1552790.0
