REGION,ID_0,NAME_0,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON
Africa,AGO,Angola,9297719.0,179669009655.0,37059177774.0,0.0,0.0,39039988.0,818199988.0,216728187376.0,277684728.0
Africa,BDI,Burundi,2886994.0,14727805891.0,2895531644.0,0.0,0.0,14389950.0,236103550.0,17623337529.0,26402680.0
Africa,BEN,Benin,2978996.0,43363608444.0,9298286324.0,0.0,0.0,14814451.0,257575758.0,52661894776.0,63311129.0
Africa,BFA,Burkina Faso,4357752.0,47556627303.0,10411904529.0,0.0,0.0,24074531.0,351711798.0,57968531841.0,77926884.0
Africa,BWA,Botswana,676839.0,18537481473.0,3679456872.0,0.0,0.0,2562093.0,63627593.0,22216938337.0,29437110.0
Africa,CAF,Central African Republic,1116137.0,13250564448.0,2764627702.0,0.0,0.0,5513248.0,92331143.0,16015192076.0,17894904.0
Africa,CIV,Côte d'Ivoire,6344308.0,102166768469.0,20954453186.0,0.0,0.0,32711552.0,533519744.0,123121221679.0,125188206.0
Africa,CMR,Cameroon,6044220.0,118944819871.0,24878640246.0,0.0,0.0,29879340.0,561686149.0,143823460095.0,163506277.0
Africa,COD,Democratic Republic of the Congo,23326909.0,218764108492.0,46078655291.0,0.0,0.0,112832497.0,1943418813.0,264842763871.0,390682158.0
Africa,COG,Congo,1817456.0,28590445653.0,6097812828.0,0.0,0.0,6484425.0,157109510.0,34688258552.0,37384967.0
Africa,COM,Comoros,210728.0,4937084526.0,1031718566.0,0.0,0.0,882845.0,16964358.0,5968803061.0,3499504.0
Africa,CPV,Cabo Verde,153917.0,4608834737.0,1009442219.0,0.0,0.0,527318.0,13547097.0,5618276997.0,5649515.0
Africa,DJI,Djibouti,197692.0,4274403096.0,897456973.0,0.0,0.0,1184088.0,14542377.0,5171860120.0,3146350.0
Africa,DZA,Algeria,7880736.0,329518875243.0,72941331532.0,0.0,0.0,47434968.0,807371857.0,402460206809.0,359948894.0
Africa,EGY,Egypt,28844827.0,759023617800.0,155766934245.0,0.0,0.0,118365970.0,2894523954.0,914790552024.0,1075337356.0
Africa,ERI,Eritrea,849542.0,20721720199.0,4219060525.0,0.0,0.0,3607008.0,70633627.0,24940780723.0,23731124.0
Africa,ETH,Ethiopia,32631785.0,211590993497.0,53850004343.0,0.0,0.0,135471929.0,2416601015.0,265440997828.0,182777076.0
Africa,GAB,Gabon,690206.0,15762229032.0,3357728011.0,0.0,0.0,2593122.0,58421801.0,19119957018.0,22879270.0
Africa,GHA,Ghana,9358353.0,124709431745.0,25620077080.0,0.0,0.0,35064247.0,811796512.0,150329508831.0,317878040.0
Africa,GIN,Guinea,2430216.0,28886447333.0,5940751810.0,0.0,0.0,15099730.0,191622523.0,34827199164.0,32276552.0
Africa,GMB,Gambia,361293.0,7295245658.0,1503534872.0,0.0,0.0,2822091.0,32767171.0,8798780525.0,11233118.0
Africa,GNB,Guinea-Bissau,273431.0,4545530029.0,966630071.0,0.0,0.0,2249519.0,23256498.0,5512160082.0,5326837.0
Africa,GNQ,Equatorial Guinea,313786.0,8323215458.0,1857190497.0,0.0,0.0,1938400.0,29064283.0,10180405949.0,13113628.0
Africa,KEN,Kenya,17382921.0,221022483604.0,44000862204.0,0.0,0.0,57532507.0,1371123150.0,265023345787.0,273435890.0
Africa,LBR,Liberia,1139616.0,25422428294.0,5642565221.0,0.0,0.0,5731197.0,93442817.0,31064993472.0,20630133.0
Africa,LBY,Libya,1277021.0,28336716733.0,6332025314.0,0.0,0.0,7458548.0,130327927.0,34668742110.0,57259539.0
Africa,LSO,Lesotho,612087.0,11242835833.0,2132508664.0,0.0,0.0,2363319.0,53285694.0,13375344447.0,22418248.0
Africa,MAR,Morocco,8916394.0,271384421839.0,51762408409.0,0.0,0.0,38430776.0,848594213.0,323146830269.0,347473154.0
Africa,MDG,Madagascar,7547433.0,88919227250.0,19516870723.0,0.0,0.0,32740600.0,636339657.0,108436097894.0,148262572.0
Africa,MLI,Mali,4150661.0,43766293074.0,8406206292.0,0.0,0.0,25198794.0,350518174.0,52172499337.0,60044937.0
Africa,MOZ,Mozambique,7782699.0,112478396146.0,23351422141.0,0.0,0.0,35631651.0,641355687.0,135829818265.0,155782041.0
Africa,MRT,Mauritania,1327944.0,30902707514.0,6137301035.0,0.0,0.0,5315034.0,114887736.0,37040008517.0,48426160.0
Africa,MUS,Mauritius,354762.0,12819881809.0,2812062368.0,0.0,0.0,1268232.0,32407775.0,15631944153.0,14224043.0
Africa,MWI,Malawi,4779751.0,36127564383.0,6971098368.0,0.0,0.0,22216101.0,391917054.0,43098662775.0,89481709.0
Africa,NAM,Namibia,721271.0,18532539050.0,3911271927.0,0.0,0.0,3092829.0,60874513.0,22443810954.0,16480672.0
Africa,NER,Niger,4629338.0,38072286494.0,8177522462.0,0.0,0.0,27917823.0,377461916.0,46249809010.0,66309453.0
Africa,NGA,Nigeria,50308533.0,816026901563.0,162556546422.0,0.0,0.0,237527796.0,4111897366.0,978583448008.0,960056301.0
Africa,RWA,Rwanda,3692293.0,27629793108.0,6100900772.0,0.0,0.0,14569339.0,300230663.0,33730693849.0,37001473.0
Africa,SDN,Sudan,9247623.0,134424669288.0,29297450002.0,0.0,0.0,51662161.0,775079063.0,163722119207.0,176272300.0
Africa,SEN,Senegal,2104594.0,45952968289.0,8740232467.0,0.0,0.0,18931965.0,192061051.0,54693200758.0,94229276.0
Africa,SLE,Sierra Leone,1569030.0,19516760180.0,4145819434.0,0.0,0.0,8819784.0,133483189.0,23662579626.0,37736592.0
Africa,SOM,Somalia,3338370.0,41506092496.0,7899111880.0,0.0,0.0,19654744.0,247095520.0,49405204347.0,48067033.0
Africa,SSD,South Sudan,2255197.0,35565154300.0,8232168024.0,0.0,0.0,12188787.0,187671636.0,43797322354.0,38774039.0
Africa,STP,São Tomé and Príncipe,58465.0,1502664935.0,297058621.0,0.0,0.0,240255.0,4891957.0,1799723553.0,1123511.0
Africa,SWZ,Eswatini,350332.0,6956583205.0,1408534285.0,0.0,0.0,1256169.0,29899879.0,8365117516.0,12574309.0
Africa,SYC,Seychelles,36116.0,1627368953.0,343309964.0,0.0,0.0,132785.0,2908464.0,1970678903.0,1117045.0
Africa,TCD,Chad,3584347.0,29801479358.0,5654948973.0,0.0,0.0,21003685.0,271430030.0,35456428347.0,40813813.0
