ID_0,NAME_0,OCCUPANCY,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
BRN,Brunei,COM,2731.0,826055270.0,153901454.0,0.0,806342.0,979956733.0,480885.0,0.0,295.0,1024.0
BRN,Brunei,IND,1556.0,157044658.0,57363179.0,0.0,227413.0,214407852.0,119811.0,0.0,146.0,691.0
BRN,Brunei,RES,71748.0,5332081320.0,1140339155.0,466330.0,8150943.0,6472420484.0,3545249.0,80583.0,114.0,654.0
KHM,Cambodia,COM,97691.0,8097994788.0,1644108187.0,0.0,16581072.0,9742102935.0,9755477.0,0.0,170.0,488.0
KHM,Cambodia,IND,11315.0,1338300943.0,492127005.0,0.0,3160186.0,1830427946.0,1684238.0,0.0,279.0,423.0
KHM,Cambodia,RES,3656512.0,47843754234.0,10873771624.0,14908518.0,283733930.0,58717525845.0,57852197.0,3944644.0,78.0,169.0
IDN,Indonesia,COM,4888356.0,248835528686.0,46652804272.0,0.0,516620424.0,295488332944.0,303428678.0,0.0,106.0,482.0
IDN,Indonesia,IND,908453.0,79511233820.0,28639188030.0,0.0,169773171.0,108150421862.0,94380767.0,0.0,187.0,468.0
IDN,Indonesia,RES,41537890.0,1456120518061.0,279531243824.0,285721236.0,4677016078.0,1735651761874.0,1769796426.0,74343521.0,113.0,311.0
LAO,Laos,COM,299469.0,8381419272.0,1917730687.0,0.0,20098349.0,10299149939.0,12077291.0,0.0,67.0,417.0
LAO,Laos,IND,86982.0,4455435598.0,1692862606.0,0.0,13126724.0,6148298201.0,6599339.0,0.0,151.0,339.0
LAO,Laos,RES,1382929.0,17436727524.0,3978610073.0,7873046.0,101499904.0,21415337578.0,32331158.0,1438821.0,73.0,172.0
MYS,Malaysia,COM,596049.0,36750761972.0,7550359917.0,0.0,81017238.0,44301121846.0,45711565.0,0.0,136.0,454.0
MYS,Malaysia,IND,104587.0,13737927550.0,5005895832.0,0.0,36586601.0,18743823374.0,19375197.0,0.0,350.0,375.0
MYS,Malaysia,RES,7641556.0,339305886753.0,66022448669.0,35977838.0,1022745876.0,405328335425.0,410364242.0,9590639.0,134.0,332.0
MMR,Myanmar,COM,81007.0,13206901650.0,2555730189.0,0.0,18790097.0,15762631850.0,10946864.0,0.0,232.0,703.0
MMR,Myanmar,IND,70343.0,3054466834.0,1114169601.0,0.0,19377519.0,4168636417.0,10252284.0,0.0,275.0,158.0
MMR,Myanmar,RES,12629519.0,91907415298.0,20898492068.0,54850648.0,691370098.0,112805905616.0,95368487.0,12900181.0,55.0,133.0
PHL,Philippines,COM,734684.0,24583868036.0,6017097488.0,0.0,55713307.0,30600965478.0,33998371.0,0.0,76.0,441.0
PHL,Philippines,IND,150296.0,5522776864.0,1847384765.0,0.0,13558765.0,7370161620.0,9024094.0,0.0,90.0,407.0
PHL,Philippines,RES,26925047.0,411184341227.0,78679209853.0,116671464.0,1395602265.0,489863546546.0,537105758.0,30452016.0,52.0,295.0
SGP,Singapore,COM,8024.0,147314436536.0,25996665205.0,0.0,68201128.0,173311101835.0,43220451.0,0.0,8500.0,2160.0
SGP,Singapore,IND,9454.0,75467070716.0,25989591157.0,0.0,58958649.0,101456662427.0,33489126.0,0.0,6236.0,1280.0
SGP,Singapore,RES,100513.0,883770383229.0,158365327371.0,5868087.0,435553222.0,1042135713962.0,198457337.0,1601566.0,4333.0,2029.0
THA,Thailand,COM,1630594.0,123203015416.0,24127394916.0,0.0,237598993.0,147330410324.0,137607380.0,0.0,146.0,519.0
THA,Thailand,IND,639395.0,61574292780.0,22483905968.0,0.0,164359479.0,84058198742.0,85063055.0,0.0,257.0,375.0
THA,Thailand,RES,19637847.0,596642153850.0,123223676849.0,71619863.0,1970086206.0,719865830724.0,675928426.0,24072433.0,100.0,303.0
TLS,Timor-Leste,COM,16276.0,2032251650.0,439204029.0,0.0,3700782.0,2471455659.0,2151205.0,0.0,227.0,549.0
TLS,Timor-Leste,IND,5709.0,642560072.0,229624097.0,0.0,1228830.0,872184189.0,702241.0,0.0,215.0,523.0
TLS,Timor-Leste,RES,235086.0,6694762015.0,1576527856.0,1381590.0,23633249.0,8271289902.0,7558152.0,247262.0,101.0,283.0
VNM,Vietnam,COM,1433560.0,83368456806.0,16846261607.0,0.0,207074599.0,100214718446.0,121871130.0,0.0,144.0,403.0
VNM,Vietnam,IND,96490.0,3237823571.0,1182105078.0,0.0,12495727.0,4419928648.0,6424970.0,0.0,130.0,259.0
VNM,Vietnam,RES,26077962.0,386725322887.0,87889987004.0,101598506.0,2126438550.0,474615309907.0,913870232.0,27938893.0,82.0,182.0
